hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,65,3.875000,P1,2,65,0.750000
RH,67,4.125000,P1,1,67,1.000000
RH,72,7.375000,P1,1,72,4.000000
RH,73,8.250000,P1,1,73,5.000000
RH,74,9.250000,P1,1,74,6.000000
RH,76,10.250000,P1,1,76,7.000000
RH,74,16.000000,P1,1,74,12.000000
RH,76,16.875000,P1,1,76,13.000000
RH,77,17.750000,P1,1,77,14.000000
RH,78,19.000000,P1,1,78,15.000000
RH,72,23.250000,P1,1,72,18.000000
RH,67,24.250000,P1,1,67,19.000000
RH,69,25.125000,P1,1,69,20.000000
RH,65,25.875000,P1,1,65,21.000000
RH,62,26.875000,P1,1,62,22.000000
RH,67,28.000000,P1,1,67,23.000000
RH,72,32.125000,P1,1,72,26.000000
RH,67,33.125000,P1,1,67,27.000000
RH,69,34.000000,P1,1,69,28.000000
RH,65,35.000000,P1,1,65,29.000000
RH,62,36.125000,P1,1,62,30.000000
RH,69,48.000000,P1,2,69,36.500000
RH,69,50.625000,P1,1,69,39.000000
RH,71,52.000000,P1,1,71,40.000000
LH,59,55.375000,P1,2,59,42.250000
RH,69,57.500000,P1,2,69,44.500000
RH,69,60.125000,P1,1,69,47.000000
RH,67,64.500000,P1,1,67,50.000000
RH,72,66.375000,P1,1,72,52.000000
RH,74,74.500000,P1,1,74,60.000000
RH,67,89.750000,P1,2,67,73.000000
RH,67,310.875000,P1,1,67,210.750000
RH,60,313.250000,P1,2,60,212.250000
RH,67,314.000000,P1,1,67,212.750000
RH,72,354.875000,P1,1,72,228.000000
LH,57,356.875000,P1,2,57,230.250000
RH,65,359.250000,P1,1,65,231.750000
LH,53,361.333333,P1,5,53,233.250000
RH,69,363.000000,P1,1,69,235.000000
LH,57,365.875000,P1,2,57,238.250000
RH,65,368.500000,P1,1,65,239.750000
RH,67,370.250000,P1,1,67,241.000000
RH,64,376.500000,P1,5,64,247.250000
LH,59,390.000000,P1,2,59,256.250000
RH,64,390.500000,P1,2,64,256.500000
RH,67,390.750000,P1,1,67,256.750000
RH,71,392.500000,P1,1,71,258.000000
RH,67,394.375000,P1,1,67,260.000000
RH,69,397.333333,P1,1,69,263.000000
RH,64,399.333333,P1,2,64,264.500000
RH,69,417.875000,P1,1,69,280.000000
LH,57,418.125000,P1,2,57,280.250000
LH,53,419.375000,P1,2,53,281.250000
RH,65,420.125000,P1,1,65,281.750000
LH,52,422.750000,P1,2,52,284.250000
LH,55,426.000000,P1,2,55,287.250000
RH,60,430.250000,P1,2,60,289.500000
RH,67,432.000000,P1,1,67,291.000000
RH,64,439.666667,P1,2,64,297.750000
RH,60,443.250000,P1,2,60,300.750000
LH,59,456.500000,P1,2,59,308.000000
RH,60,458.125000,P1,1,60,310.000000
RH,62,459.625000,P1,1,62,312.250000
LH,57,460.875000,P1,1,57,314.000000
LH,57,470.125000,P1,6,57,322.000000
RH,64,472.500000,P1,1,64,325.000000
RH,60,476.625000,P1,6,60,330.250000
LH,52,489.250000,P1,7,52,344.000000
LH,50,491.250000,P1,7,50,347.000000
RH,62,501.875000,P1,2,62,360.250000
RH,62,502.625000,P1,2,62,361.250000
LH,47,503.125000,P1,7,47,362.000000
LH,50,503.750000,P1,7,50,363.000000
LH,57,506.500000,P1,2,57,366.250000
RH,60,508.875000,P1,2,60,368.500000
RH,64,512.125000,P1,1,64,370.000000
LH,59,513.333333,P1,2,59,371.250000
RH,69,541.875000,P1,1,69,393.000000
LH,57,542.250000,P1,2,57,393.250000
RH,69,543.875000,P1,1,69,395.000000
RH,62,544.375000,P1,2,62,395.500000
LH,59,576.000000,P1,5,59,419.500000
