hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,1.000000,P1,1,58,0.000000
RH,72,2.000000,P1,1,72,0.500000
LH,53,2.125000,P1,2,53,0.500000
RH,60,2.125000,P1,1,60,0.500000
LH,58,6.125000,P1,2,58,3.000000
RH,62,6.125000,P1,1,62,3.000000
RH,74,6.125000,P1,1,74,3.000000
LH,58,19.625000,P1,2,58,9.000000
RH,74,19.625000,P1,1,74,9.000000
RH,62,19.666667,P1,1,62,9.000000
RH,62,32.250000,P1,2,62,15.000000
LH,58,32.333333,P1,5,58,15.000000
RH,62,35.666667,P1,2,62,17.000000
LH,57,36.750000,P1,5,57,18.000000
RH,65,36.875000,P1,2,65,18.000000
RH,60,37.500000,P1,5,60,18.500000
RH,60,39.875000,P1,5,60,19.500000
LH,50,61.375000,P1,5,50,30.000000
RH,70,61.375000,P1,1,70,30.000000
RH,65,64.250000,P1,2,65,31.500000
LH,58,67.000000,P1,2,58,33.500000
RH,65,68.375000,P1,2,65,34.000000
RH,70,72.750000,P1,1,70,36.000000
RH,65,75.875000,P1,2,65,37.500000
RH,67,87.000000,P1,2,67,44.500000
LH,46,111.333333,P1,5,46,57.500000
LH,55,117.625000,P1,5,55,60.000000
RH,65,118.750000,P1,2,65,60.500000
RH,67,119.750000,P1,1,67,61.000000
RH,67,122.250000,P1,1,67,62.500000
RH,62,125.875000,P1,2,62,64.500000
LH,58,127.875000,P1,5,58,66.000000
RH,63,129.500000,P1,5,63,67.000000
RH,67,129.666667,P1,1,67,67.000000
RH,79,129.666667,P1,1,79,67.000000
LH,58,139.500000,P1,5,58,72.000000
RH,62,139.625000,P1,1,62,72.000000
RH,74,143.625000,P1,1,74,74.000000
LH,50,144.333333,P1,6,50,74.500000
RH,72,148.666667,P1,1,72,77.500000
RH,74,149.250000,P1,1,74,78.000000
RH,67,152.500000,P1,1,67,80.000000
RH,65,153.250000,P1,1,65,80.500000
RH,60,154.000000,P1,2,60,81.000000
RH,60,156.250000,P1,1,60,82.000000
RH,60,158.666667,P1,1,60,83.000000
LH,58,166.000000,P1,2,58,85.000000
LH,58,176.500000,P1,5,58,90.000000
RH,72,177.500000,P1,2,72,90.500000
RH,67,180.125000,P1,2,67,92.000000
RH,65,180.750000,P1,2,65,92.500000
RH,77,180.750000,P1,1,77,92.500000
LH,50,182.125000,P1,5,50,93.500000
LH,51,183.250000,P1,5,51,94.000000
LH,46,185.625000,P1,6,46,95.000000
LH,53,188.666667,P1,5,53,97.000000
RH,65,190.250000,P1,2,65,98.000000
LH,52,194.750000,P1,5,52,101.000000
LH,53,195.625000,P1,5,53,101.500000
LH,53,197.000000,P1,5,53,102.500000
RH,65,198.375000,P1,2,65,103.500000
RH,60,200.625000,P1,2,60,105.000000
LH,51,205.375000,P1,5,51,107.500000
RH,60,207.750000,P1,2,60,108.500000
LH,58,208.875000,P1,2,58,109.000000
RH,62,209.000000,P1,1,62,109.000000
LH,57,210.375000,P1,2,57,109.500000
LH,55,211.333333,P1,2,55,110.000000
LH,51,212.666667,P1,1,51,111.000000
RH,67,228.000000,P1,5,67,119.500000
RH,72,229.625000,P1,1,72,120.500000
RH,69,229.666667,P1,1,69,120.500000
RH,70,230.750000,P1,1,70,121.000000
RH,74,234.666667,P1,2,74,123.000000
RH,62,235.500000,P1,2,62,123.500000
RH,64,240.000000,P1,1,64,125.500000
RH,65,240.625000,P1,1,65,126.000000
LH,58,276.000000,P1,1,58,140.500000
RH,72,280.333333,P1,2,72,144.500000
RH,70,281.500000,P1,2,70,145.500000
RH,64,282.000000,P1,5,64,146.000000
RH,70,283.000000,P1,1,70,147.000000
LH,55,284.625000,P1,5,55,148.500000
RH,70,284.625000,P1,2,70,148.500000
RH,62,285.666667,P1,2,62,149.500000
RH,65,286.750000,P1,1,65,150.500000
RH,60,287.875000,P1,2,60,151.500000
LH,46,290.250000,P1,5,46,153.750000
LH,53,290.500000,P1,5,53,154.000000
LH,51,290.750000,P1,5,51,154.250000
LH,58,291.625000,P1,1,58,155.000000
RH,62,303.500000,P1,1,62,166.000000
LH,58,304.000000,P1,1,58,166.500000
RH,70,304.000000,P1,1,70,166.500000
LH,53,304.625000,P1,5,53,167.000000
RH,60,304.625000,P1,1,60,167.000000
RH,65,304.666667,P1,1,65,167.000000
RH,60,307.333333,P1,1,60,169.500000
LH,58,307.875000,P1,5,58,170.000000
RH,62,307.875000,P1,2,62,170.000000
RH,63,309.000000,P1,5,63,171.000000
RH,67,316.000000,P1,2,67,177.500000
RH,65,327.375000,P1,2,65,186.500000
LH,46,332.625000,P1,5,46,187.000000
LH,58,338.375000,P1,2,58,190.500000
RH,70,345.125000,P1,1,70,193.000000
LH,46,347.000000,P1,5,46,194.000000
LH,58,350.875000,P1,5,58,196.500000
RH,60,358.375000,P1,5,60,199.500000
LH,58,359.333333,P1,5,58,200.000000
RH,74,359.333333,P1,1,74,200.000000
RH,62,359.375000,P1,2,62,200.000000
RH,63,361.375000,P1,5,63,201.000000
RH,62,362.000000,P1,5,62,201.500000
LH,58,362.750000,P1,5,58,202.000000
LH,48,364.125000,P1,6,48,203.000000
RH,60,367.750000,P1,5,60,205.500000
RH,70,371.666667,P1,2,70,207.500000
LH,55,372.375000,P1,6,55,208.000000
RH,70,386.750000,P1,1,70,215.000000
RH,60,389.625000,P1,5,60,217.000000
LH,58,390.125000,P1,5,58,217.500000
LH,58,403.125000,P1,1,58,223.500000
LH,51,404.000000,P1,5,51,224.000000
LH,58,409.000000,P1,2,58,227.000000
RH,62,409.125000,P1,1,62,227.000000
RH,74,409.125000,P1,1,74,227.000000
RH,62,410.333333,P1,2,62,227.500000
RH,63,411.250000,P1,2,63,228.000000
RH,62,411.875000,P1,2,62,228.500000
LH,58,412.500000,P1,2,58,229.000000
RH,60,419.375000,P1,1,60,232.500000
RH,62,420.875000,P1,1,62,233.000000
RH,74,420.875000,P1,1,74,233.000000
RH,67,424.750000,P1,1,67,235.000000
LH,52,429.125000,P1,2,52,237.000000
RH,74,431.250000,P1,1,74,238.500000
LH,55,444.333333,P1,5,55,246.000000
RH,65,452.333333,P1,2,65,248.500000
RH,67,453.125000,P1,2,67,249.000000
RH,77,453.750000,P1,1,77,249.500000
LH,57,456.750000,P1,5,57,251.000000
LH,50,461.666667,P1,5,50,253.000000
LH,46,463.666667,P1,5,46,254.000000
RH,62,463.666667,P1,2,62,254.000000
LH,46,466.875000,P1,6,46,256.000000
RH,74,466.875000,P1,1,74,256.000000
LH,53,467.500000,P1,5,53,256.500000
LH,55,480.000000,P1,5,55,263.500000
LH,57,542.000000,P1,5,57,295.000000
LH,45,568.625000,P1,5,45,311.750000
RH,74,571.750000,P1,2,74,315.750000
RH,62,579.333333,P1,2,62,323.250000
LH,57,579.875000,P1,5,57,324.000000
RH,69,593.125000,P1,2,69,337.500000
LH,52,616.875000,P1,6,52,364.500000
RH,64,616.875000,P1,6,64,364.500000
LH,50,644.875000,P1,7,50,391.000000
RH,62,649.750000,P1,1,62,396.000000
RH,70,654.250000,P1,5,70,399.500000
RH,60,669.750000,P1,1,60,415.500000
RH,62,670.500000,P1,2,62,416.500000
RH,70,672.375000,P1,1,70,419.000000
RH,74,676.750000,P1,1,74,423.500000
LH,53,680.000000,P1,7,53,427.500000
LH,58,684.666667,P1,5,58,431.500000
RH,60,687.750000,P1,2,60,433.500000
RH,67,697.250000,P1,1,67,442.500000
LH,57,701.125000,P1,5,57,446.500000
RH,74,708.666667,P1,1,74,453.500000
LH,58,717.750000,P1,5,58,456.500000
RH,65,754.250000,P1,5,65,470.500000
RH,62,756.333333,P1,5,62,471.500000
LH,58,760.875000,P1,5,58,473.500000
RH,62,763.666667,P1,5,62,475.000000
