hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,7.750000,P1,4,58,2.500000
LH,58,9.000000,P1,4,58,4.000000
LH,57,10.750000,P1,4,57,6.000000
LH,57,12.125000,P1,4,57,7.500000
LH,58,14.666667,P1,4,58,10.527344
LH,58,15.875000,P1,4,58,12.000000
LH,58,16.625000,P1,4,58,12.888672
RH,60,18.125000,P1,4,60,14.388672
RH,62,18.333333,P1,4,62,14.888672
RH,62,20.125000,P1,4,62,16.888672
LH,50,22.875000,P1,4,50,20.000000
LH,50,24.333333,P1,4,50,21.500000
RH,70,25.250000,P1,1,70,22.500000
LH,55,26.375000,P1,5,55,24.000000
RH,70,26.500000,P1,1,70,24.000000
RH,69,28.125000,P1,1,69,26.000000
RH,69,29.500000,P1,1,69,27.500000
LH,50,31.250000,P1,4,50,29.500000
RH,70,32.125000,P1,1,70,30.527344
LH,38,43.375000,P1,5,38,44.000000
LH,58,45.666667,P1,4,58,46.388672
LH,50,45.875000,P1,4,50,46.666992
RH,60,46.000000,P1,4,60,46.888672
LH,58,47.000000,P1,4,58,48.000000
LH,58,47.625000,P1,4,58,48.888672
RH,60,49.125000,P1,4,60,50.388672
RH,62,49.500000,P1,4,62,50.888672
RH,62,51.125000,P1,4,62,52.888672
LH,38,51.750000,P1,5,38,53.500000
LH,50,51.750000,P1,5,50,53.500000
LH,37,54.000000,P1,4,37,56.000000
LH,49,54.000000,P1,4,49,56.000000
LH,37,58.000000,P1,4,37,60.000000
LH,49,58.000000,P1,4,49,60.000000
LH,57,81.500000,P1,6,57,76.500000
RH,70,87.875000,P1,1,70,81.599609
RH,65,101.125000,P1,2,65,89.750000
RH,65,117.500000,P1,1,65,100.000000
RH,72,142.625000,P1,1,72,116.500000
LH,57,157.500000,P1,4,57,200.777344
RH,70,175.666667,P1,1,70,212.000000
RH,66,207.375000,P1,1,66,228.000000
LH,58,216.250000,P1,4,58,234.777344
RH,74,246.625000,P1,1,74,252.888672
LH,59,247.125000,P1,4,59,253.388672
RH,62,248.375000,P1,1,62,254.166992
RH,69,259.000000,P1,4,69,261.388672
RH,72,259.875000,P1,4,72,262.500000
RH,60,260.250000,P1,4,60,262.666992
RH,75,263.125000,P1,4,75,265.000000
RH,67,263.750000,P1,4,67,265.388672
RH,67,265.750000,P1,4,67,267.388672
LH,55,285.333333,P1,4,55,277.388672
LH,58,286.333333,P1,4,58,278.777344
LH,38,287.000000,P1,5,38,279.500000
LH,55,287.875000,P1,4,55,280.388672
LH,57,288.125000,P1,4,57,280.888672
LH,55,289.625000,P1,4,55,282.388672
LH,57,289.875000,P1,4,57,282.888672
LH,58,291.500000,P1,4,58,284.388672
LH,38,294.000000,P1,4,38,287.500000
LH,50,294.000000,P1,4,50,287.500000
RH,70,301.000000,P1,1,70,295.000000
RH,70,302.250000,P1,2,70,296.500000
RH,74,302.666667,P1,1,74,297.000000
RH,67,303.125000,P1,2,67,297.500000
RH,70,303.500000,P1,1,70,298.000000
RH,72,311.500000,P1,3,72,307.000000
LH,50,318.000000,P1,7,50,314.500000
