hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,55,3.875000,P1,1,55,0.000000
LH,48,5.500000,P1,5,48,1.500000
RH,60,5.500000,P1,5,60,1.500000
RH,72,5.500000,P1,1,72,1.500000
RH,76,5.500000,P1,1,76,1.500000
RH,84,5.500000,P1,1,84,1.500000
LH,45,6.000000,P1,5,45,2.000000
LH,50,6.000000,P1,5,50,2.000000
LH,57,6.000000,P1,5,57,2.000000
RH,66,6.000000,P1,1,66,2.000000
RH,72,6.000000,P1,1,72,2.000000
RH,78,6.000000,P1,1,78,2.000000
LH,42,6.750000,P1,5,42,2.500000
LH,50,6.750000,P1,5,50,2.500000
LH,54,6.750000,P1,5,54,2.500000
RH,69,6.750000,P1,1,69,2.500000
RH,72,6.750000,P1,1,72,2.500000
RH,81,6.750000,P1,1,81,2.500000
LH,43,7.750000,P1,5,43,3.500000
LH,55,7.750000,P1,5,55,3.500000
RH,67,7.750000,P1,1,67,3.500000
RH,71,7.750000,P1,1,71,3.500000
RH,79,7.750000,P1,1,79,3.500000
LH,48,8.500000,P1,6,48,4.000000
RH,60,8.500000,P1,5,60,4.000000
RH,64,8.500000,P1,2,64,4.000000
RH,72,8.500000,P1,1,72,4.000000
LH,55,8.750000,P1,5,55,4.250000
RH,65,8.750000,P1,2,65,4.250000
RH,71,8.750000,P1,1,71,4.250000
LH,48,9.000000,P1,6,48,4.500000
RH,60,9.000000,P1,5,60,4.500000
RH,64,9.000000,P1,2,64,4.500000
RH,72,9.000000,P1,1,72,4.500000
LH,55,9.250000,P1,5,55,4.750000
RH,65,9.250000,P1,2,65,4.750000
RH,71,9.250000,P1,1,71,4.750000
RH,60,9.500000,P1,5,60,5.000000
RH,64,9.500000,P1,2,64,5.000000
RH,72,9.500000,P1,1,72,5.000000
LH,55,9.750000,P1,5,55,5.250000
RH,65,9.750000,P1,2,65,5.250000
RH,71,9.750000,P1,1,71,5.250000
LH,48,10.000000,P1,6,48,5.500000
RH,60,10.000000,P1,5,60,5.500000
RH,64,10.000000,P1,2,64,5.500000
RH,72,10.000000,P1,1,72,5.500000
LH,55,10.250000,P1,5,55,5.750000
RH,67,10.250000,P1,2,67,5.750000
RH,73,10.250000,P1,1,73,5.750000
LH,48,10.500000,P1,6,48,6.000000
RH,62,10.500000,P1,5,62,6.000000
RH,65,10.500000,P1,2,65,6.000000
RH,74,10.500000,P1,1,74,6.000000
LH,56,10.666667,P1,5,56,6.250000
RH,68,10.666667,P1,2,68,6.250000
RH,73,10.666667,P1,1,73,6.250000
LH,48,10.875000,P1,6,48,6.500000
RH,62,10.875000,P1,5,62,6.500000
RH,65,10.875000,P1,2,65,6.500000
RH,74,10.875000,P1,1,74,6.500000
LH,56,11.125000,P1,5,56,6.750000
RH,68,11.125000,P1,2,68,6.750000
RH,73,11.125000,P1,1,73,6.750000
RH,62,11.375000,P1,5,62,7.000000
RH,65,11.375000,P1,2,65,7.000000
RH,74,11.375000,P1,1,74,7.000000
LH,56,11.666667,P1,5,56,7.250000
RH,68,11.666667,P1,2,68,7.250000
RH,73,11.666667,P1,1,73,7.250000
LH,48,11.875000,P1,6,48,7.500000
RH,62,11.875000,P1,5,62,7.500000
RH,76,11.875000,P1,1,76,7.500000
LH,55,12.125000,P1,5,55,7.750000
RH,71,12.125000,P1,2,71,7.750000
RH,74,12.125000,P1,1,74,7.750000
LH,48,12.333333,P1,6,48,8.000000
RH,60,12.333333,P1,5,60,8.000000
RH,64,12.333333,P1,2,64,8.000000
RH,72,12.333333,P1,1,72,8.000000
RH,65,12.500000,P1,2,65,8.250000
RH,71,12.500000,P1,1,71,8.250000
LH,55,12.625000,P1,5,55,8.250000
LH,48,12.875000,P1,6,48,8.500000
RH,60,12.875000,P1,5,60,8.500000
RH,64,12.875000,P1,2,64,8.500000
RH,72,12.875000,P1,1,72,8.500000
LH,55,13.125000,P1,5,55,8.750000
RH,65,13.125000,P1,2,65,8.750000
RH,71,13.125000,P1,1,71,8.750000
RH,60,13.333333,P1,5,60,9.000000
RH,64,13.333333,P1,2,64,9.000000
RH,72,13.333333,P1,1,72,9.000000
LH,55,13.500000,P1,5,55,9.250000
RH,65,13.500000,P1,2,65,9.250000
RH,71,13.500000,P1,1,71,9.250000
LH,48,13.750000,P1,6,48,9.500000
RH,60,13.750000,P1,5,60,9.500000
RH,72,13.750000,P1,1,72,9.500000
RH,64,13.875000,P1,2,64,9.500000
LH,55,14.000000,P1,5,55,9.750000
RH,67,14.000000,P1,2,67,9.750000
RH,73,14.000000,P1,1,73,9.750000
LH,48,14.250000,P1,6,48,10.000000
RH,62,14.250000,P1,5,62,10.000000
RH,65,14.250000,P1,2,65,10.000000
RH,74,14.250000,P1,1,74,10.000000
LH,56,14.500000,P1,5,56,10.250000
RH,68,14.500000,P1,2,68,10.250000
RH,73,14.500000,P1,1,73,10.250000
LH,48,14.750000,P1,6,48,10.500000
RH,62,14.750000,P1,5,62,10.500000
RH,74,14.750000,P1,1,74,10.500000
