hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,31,2.000000,P1,5,31,0.000000
LH,43,2.000000,P1,5,43,0.000000
RH,62,2.875000,P1,5,62,0.500000
RH,71,2.875000,P1,1,71,0.500000
RH,83,2.875000,P1,1,83,0.500000
LH,48,4.000000,P1,5,48,1.500000
RH,60,4.000000,P1,5,60,1.500000
RH,72,4.000000,P1,1,72,1.500000
RH,76,4.000000,P1,1,76,1.500000
RH,84,4.000000,P1,1,84,1.500000
LH,45,4.625000,P1,5,45,2.000000
LH,50,4.625000,P1,5,50,2.000000
LH,57,4.625000,P1,5,57,2.000000
RH,66,4.625000,P1,1,66,2.000000
RH,72,4.625000,P1,1,72,2.000000
RH,78,4.625000,P1,1,78,2.000000
LH,42,5.375000,P1,5,42,2.500000
LH,50,5.375000,P1,5,50,2.500000
LH,54,5.375000,P1,5,54,2.500000
RH,69,5.375000,P1,1,69,2.500000
RH,72,5.375000,P1,1,72,2.500000
RH,81,5.375000,P1,1,81,2.500000
RH,72,7.875000,P1,1,72,4.000000
LH,48,8.000000,P1,6,48,4.000000
RH,60,8.000000,P1,5,60,4.000000
RH,64,8.000000,P1,2,64,4.000000
LH,55,8.125000,P1,5,55,4.250000
RH,65,8.125000,P1,2,65,4.250000
RH,71,8.125000,P1,1,71,4.250000
LH,48,8.500000,P1,6,48,4.500000
RH,60,8.500000,P1,5,60,4.500000
RH,64,8.500000,P1,2,64,4.500000
RH,72,8.500000,P1,1,72,4.500000
LH,55,8.750000,P1,5,55,4.750000
RH,65,8.750000,P1,2,65,4.750000
RH,71,8.750000,P1,1,71,4.750000
RH,60,9.000000,P1,5,60,5.000000
RH,64,9.000000,P1,2,64,5.000000
RH,72,9.000000,P1,1,72,5.000000
LH,55,9.250000,P1,5,55,5.250000
RH,71,9.250000,P1,1,71,5.250000
RH,65,9.333333,P1,2,65,5.250000
LH,48,9.500000,P1,6,48,5.500000
RH,60,9.500000,P1,5,60,5.500000
RH,64,9.500000,P1,2,64,5.500000
RH,72,9.500000,P1,1,72,5.500000
LH,55,9.750000,P1,5,55,5.750000
RH,73,9.750000,P1,1,73,5.750000
RH,67,9.875000,P1,2,67,5.750000
LH,48,10.000000,P1,6,48,6.000000
RH,62,10.000000,P1,5,62,6.000000
RH,65,10.000000,P1,2,65,6.000000
RH,74,10.000000,P1,1,74,6.000000
LH,56,10.333333,P1,5,56,6.250000
RH,68,10.333333,P1,2,68,6.250000
RH,73,10.333333,P1,1,73,6.250000
LH,48,10.500000,P1,6,48,6.500000
RH,62,10.500000,P1,5,62,6.500000
RH,65,10.500000,P1,2,65,6.500000
RH,74,10.500000,P1,1,74,6.500000
LH,56,10.875000,P1,5,56,6.750000
RH,68,10.875000,P1,2,68,6.750000
RH,73,10.875000,P1,1,73,6.750000
RH,62,11.125000,P1,5,62,7.000000
RH,65,11.125000,P1,2,65,7.000000
RH,74,11.125000,P1,1,74,7.000000
LH,56,11.333333,P1,5,56,7.250000
RH,68,11.333333,P1,2,68,7.250000
RH,73,11.333333,P1,1,73,7.250000
LH,48,11.625000,P1,6,48,7.500000
RH,62,11.625000,P1,5,62,7.500000
RH,65,11.625000,P1,2,65,7.500000
RH,76,11.625000,P1,1,76,7.500000
LH,55,11.875000,P1,5,55,7.750000
RH,71,11.875000,P1,2,71,7.750000
RH,74,11.875000,P1,1,74,7.750000
LH,48,12.125000,P1,6,48,8.000000
RH,60,12.125000,P1,5,60,8.000000
RH,64,12.125000,P1,2,64,8.000000
RH,72,12.125000,P1,1,72,8.000000
LH,55,12.333333,P1,5,55,8.250000
RH,71,12.333333,P1,1,71,8.250000
RH,65,12.375000,P1,2,65,8.250000
LH,48,12.625000,P1,6,48,8.500000
RH,60,12.625000,P1,5,60,8.500000
RH,72,12.625000,P1,1,72,8.500000
RH,64,12.666667,P1,2,64,8.500000
LH,55,12.875000,P1,5,55,8.750000
RH,65,12.875000,P1,2,65,8.750000
RH,71,12.875000,P1,1,71,8.750000
RH,60,13.125000,P1,5,60,9.000000
RH,64,13.125000,P1,2,64,9.000000
RH,72,13.125000,P1,1,72,9.000000
LH,55,13.333333,P1,5,55,9.250000
RH,65,13.333333,P1,2,65,9.250000
RH,71,13.333333,P1,1,71,9.250000
LH,48,13.625000,P1,6,48,9.500000
RH,60,13.625000,P1,5,60,9.500000
RH,64,13.625000,P1,2,64,9.500000
RH,72,13.625000,P1,1,72,9.500000
LH,55,13.875000,P1,5,55,9.750000
RH,67,13.875000,P1,2,67,9.750000
RH,73,13.875000,P1,1,73,9.750000
LH,48,14.125000,P1,6,48,10.000000
RH,62,14.125000,P1,5,62,10.000000
RH,65,14.125000,P1,2,65,10.000000
RH,74,14.125000,P1,1,74,10.000000
LH,56,14.375000,P1,5,56,10.250000
RH,68,14.375000,P1,2,68,10.250000
RH,73,14.375000,P1,1,73,10.250000
LH,48,14.625000,P1,6,48,10.500000
RH,62,14.625000,P1,5,62,10.500000
RH,65,14.625000,P1,2,65,10.500000
RH,74,14.625000,P1,1,74,10.500000
LH,56,14.875000,P1,5,56,10.750000
RH,68,14.875000,P1,2,68,10.750000
RH,73,14.875000,P1,1,73,10.750000
RH,62,15.125000,P1,5,62,11.000000
RH,65,15.125000,P1,2,65,11.000000
RH,74,15.125000,P1,1,74,11.000000
LH,56,15.333333,P1,5,56,11.250000
RH,68,15.333333,P1,2,68,11.250000
RH,73,15.333333,P1,1,73,11.250000
