hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,48,4.875000,P1,5,48,1.500000
RH,60,4.875000,P1,5,60,1.500000
RH,72,4.875000,P1,1,72,1.500000
RH,76,4.875000,P1,1,76,1.500000
RH,84,4.875000,P1,1,84,1.500000
LH,45,5.375000,P1,5,45,2.000000
LH,50,5.375000,P1,5,50,2.000000
LH,57,5.375000,P1,5,57,2.000000
RH,66,5.375000,P1,1,66,2.000000
RH,72,5.375000,P1,1,72,2.000000
RH,78,5.375000,P1,1,78,2.000000
LH,42,6.000000,P1,5,42,2.500000
LH,50,6.000000,P1,5,50,2.500000
LH,54,6.000000,P1,5,54,2.500000
RH,69,6.000000,P1,1,69,2.500000
RH,72,6.000000,P1,1,72,2.500000
RH,81,6.000000,P1,1,81,2.500000
LH,48,8.250000,P1,6,48,4.000000
RH,60,8.250000,P1,5,60,4.000000
RH,64,8.250000,P1,2,64,4.000000
RH,72,8.250000,P1,1,72,4.000000
LH,55,8.500000,P1,5,55,4.250000
RH,71,8.500000,P1,1,71,4.250000
RH,65,8.625000,P1,2,65,4.250000
LH,48,8.750000,P1,6,48,4.500000
RH,72,8.750000,P1,1,72,4.500000
RH,60,8.875000,P1,5,60,4.500000
RH,64,8.875000,P1,2,64,4.500000
LH,55,9.000000,P1,5,55,4.750000
RH,65,9.000000,P1,2,65,4.750000
RH,71,9.000000,P1,1,71,4.750000
RH,60,9.250000,P1,5,60,5.000000
RH,64,9.250000,P1,2,64,5.000000
RH,72,9.250000,P1,1,72,5.000000
LH,55,9.500000,P1,5,55,5.250000
RH,65,9.500000,P1,2,65,5.250000
RH,71,9.500000,P1,1,71,5.250000
LH,48,9.750000,P1,6,48,5.500000
RH,60,9.750000,P1,5,60,5.500000
RH,64,9.750000,P1,2,64,5.500000
RH,72,9.750000,P1,1,72,5.500000
LH,55,10.000000,P1,5,55,5.750000
RH,67,10.000000,P1,2,67,5.750000
RH,73,10.000000,P1,1,73,5.750000
LH,48,10.250000,P1,6,48,6.000000
RH,62,10.250000,P1,5,62,6.000000
RH,65,10.250000,P1,2,65,6.000000
RH,74,10.250000,P1,1,74,6.000000
LH,56,10.500000,P1,5,56,6.250000
RH,68,10.500000,P1,2,68,6.250000
RH,73,10.500000,P1,1,73,6.250000
LH,48,10.666667,P1,6,48,6.500000
RH,65,10.666667,P1,2,65,6.500000
RH,74,10.666667,P1,1,74,6.500000
RH,62,10.750000,P1,5,62,6.500000
RH,73,10.875000,P1,1,73,6.750000
LH,56,11.000000,P1,5,56,6.750000
RH,68,11.000000,P1,2,68,6.750000
RH,62,11.125000,P1,5,62,7.000000
RH,65,11.125000,P1,2,65,7.000000
RH,74,11.125000,P1,1,74,7.000000
