hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,61,2.000000,P1,1,61,0.000000
RH,70,2.000000,P1,1,70,0.000000
RH,65,2.125000,P1,5,65,-0.000000
LH,53,3.625000,P1,5,53,0.500000
RH,65,3.625000,P1,5,65,0.500000
RH,61,5.000000,P1,1,61,1.000000
RH,65,5.000000,P1,5,65,1.000000
RH,70,5.000000,P1,1,70,1.000000
RH,73,5.000000,P1,2,73,1.000000
LH,54,8.000000,P1,5,54,2.000000
RH,66,8.125000,P1,5,66,2.000000
RH,70,8.125000,P1,1,70,2.000000
RH,77,8.125000,P1,2,77,2.000000
RH,63,8.250000,P1,1,63,2.000000
LH,54,9.666667,P1,5,54,2.500000
RH,66,9.875000,P1,5,66,2.500000
RH,70,10.000000,P1,1,70,2.500000
RH,77,10.000000,P1,2,77,2.500000
RH,63,10.125000,P1,1,63,2.500000
RH,75,10.500000,P1,2,75,2.666667
RH,70,11.000000,P1,2,70,2.833333
LH,53,11.625000,P1,5,53,3.000000
RH,61,11.625000,P1,1,61,3.000000
RH,65,11.625000,P1,5,65,3.000000
RH,61,13.000000,P1,1,61,3.500000
RH,65,13.000000,P1,5,65,3.500000
RH,71,13.625000,P1,2,71,3.666667
RH,72,14.125000,P1,2,72,3.833333
LH,53,14.750000,P1,5,53,4.000000
RH,65,14.750000,P1,5,65,4.000000
RH,70,14.750000,P1,1,70,4.000000
RH,75,14.750000,P1,2,75,4.000000
RH,61,14.875000,P1,1,61,4.000000
RH,73,15.625000,P1,2,73,4.250000
LH,53,16.250000,P1,5,53,4.500000
RH,65,16.250000,P1,5,65,4.500000
RH,61,17.375000,P1,1,61,5.000000
RH,65,17.375000,P1,5,65,5.000000
RH,70,17.375000,P1,1,70,5.000000
RH,61,18.625000,P1,1,61,5.500000
RH,65,18.625000,P1,5,65,5.500000
LH,46,19.875000,P1,6,46,6.000000
LH,54,20.000000,P1,5,54,6.000000
RH,63,20.000000,P1,2,63,6.000000
