hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,40,2.000000,P1,1,40,0.000000
LH,27,3.125000,P1,5,27,1.500000
LH,33,3.125000,P1,5,33,1.750000
LH,40,3.500000,P1,1,40,2.000000
LH,27,4.250000,P1,5,27,3.000000
LH,33,4.375000,P1,5,33,3.250000
LH,27,4.625000,P1,5,27,3.500000
LH,33,4.750000,P1,5,33,3.750000
LH,27,5.000000,P1,5,27,4.000000
LH,33,5.250000,P1,5,33,4.250000
LH,40,5.500000,P1,5,40,4.500000
LH,33,5.625000,P1,5,33,4.250000
LH,40,6.500000,P1,1,40,5.000000
LH,27,7.000000,P1,5,27,5.500000
LH,33,7.250000,P1,5,33,5.750000
LH,27,7.375000,P1,5,27,6.000000
LH,40,7.375000,P1,1,40,6.000000
LH,33,7.625000,P1,5,33,6.250000
LH,27,7.750000,P1,5,27,7.000000
LH,33,8.000000,P1,5,33,7.250000
LH,27,8.250000,P1,5,27,7.500000
LH,33,8.375000,P1,5,33,7.750000
LH,27,8.625000,P1,5,27,8.000000
LH,40,8.625000,P1,1,40,8.100000
LH,33,8.875000,P1,5,33,8.250000
LH,40,9.000000,P1,1,40,8.100000
LH,27,9.125000,P1,5,27,8.000000
LH,40,9.250000,P1,1,40,8.100000
LH,33,9.333333,P1,5,33,8.250000
LH,40,9.500000,P1,5,40,8.500000
LH,40,9.750000,P1,5,40,8.500000
LH,40,10.000000,P1,5,40,8.500000
LH,33,10.125000,P1,5,33,8.750000
LH,40,10.666667,P1,1,40,9.000000
LH,33,10.750000,P1,5,33,8.750000
LH,27,11.000000,P1,5,27,9.000000
LH,40,11.000000,P1,1,40,9.000000
LH,33,11.333333,P1,5,33,9.250000
LH,27,11.500000,P1,5,27,9.500000
LH,33,11.666667,P1,5,33,9.750000
LH,27,11.875000,P1,5,27,10.000000
LH,40,11.875000,P1,1,40,10.000000
LH,33,12.125000,P1,5,33,10.250000
LH,27,12.500000,P1,5,27,10.500000
LH,33,12.666667,P1,5,33,10.750000
LH,27,12.875000,P1,5,27,11.000000
LH,33,13.000000,P1,5,33,11.250000
LH,27,13.375000,P1,5,27,11.500000
LH,33,13.500000,P1,5,33,11.750000
LH,27,13.750000,P1,5,27,12.000000
LH,40,13.875000,P1,1,40,12.100000
LH,45,13.875000,P1,1,45,12.200000
LH,33,14.125000,P1,5,33,12.250000
LH,47,14.125000,P1,1,47,12.300000
LH,49,14.125000,P1,1,49,12.400000
LH,51,14.333333,P1,1,51,12.500000
LH,33,14.666667,P1,5,33,12.750000
LH,40,14.875000,P1,5,40,13.000000
LH,45,15.125000,P1,1,45,13.100000
LH,49,15.125000,P1,1,49,13.200000
LH,52,15.250000,P1,1,52,13.300000
LH,54,15.333333,P1,1,54,13.400000
LH,56,15.375000,P1,1,56,13.500000
LH,39,15.750000,P1,5,39,14.000000
LH,45,15.875000,P1,5,45,14.250000
LH,57,16.000000,P1,1,57,14.200000
