hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,27,2.000000,P1,5,27,0.000000
LH,33,2.500000,P1,5,33,0.250000
LH,27,2.625000,P1,5,27,0.500000
LH,27,3.000000,P1,5,27,1.000000
LH,27,3.500000,P1,5,27,1.500000
LH,33,3.875000,P1,5,33,1.750000
LH,27,4.125000,P1,5,27,2.000000
LH,40,4.125000,P1,1,40,2.000000
LH,33,4.375000,P1,5,33,2.250000
LH,27,4.625000,P1,5,27,2.500000
LH,33,5.000000,P1,5,33,2.750000
LH,27,5.125000,P1,5,27,3.000000
LH,27,5.875000,P1,5,27,4.000000
LH,40,5.875000,P1,1,40,4.100000
LH,33,6.000000,P1,5,33,4.250000
LH,40,6.000000,P1,1,40,4.100000
LH,45,6.000000,P1,1,45,4.200000
LH,33,6.500000,P1,5,33,4.750000
LH,27,6.625000,P1,5,27,5.000000
LH,40,6.625000,P1,1,40,5.000000
LH,33,6.875000,P1,5,33,5.250000
LH,27,7.125000,P1,5,27,5.500000
LH,33,7.375000,P1,5,33,5.750000
LH,40,7.500000,P1,1,40,6.000000
LH,27,7.625000,P1,5,27,6.000000
LH,40,7.666667,P1,1,40,6.000000
LH,33,8.000000,P1,5,33,6.250000
LH,27,8.250000,P1,5,27,6.500000
LH,27,8.875000,P1,5,27,7.500000
LH,27,9.250000,P1,5,27,8.000000
LH,40,9.250000,P1,1,40,8.100000
LH,40,9.500000,P1,5,40,8.500000
LH,45,9.500000,P1,1,45,8.200000
LH,49,9.500000,P1,1,49,8.400000
LH,33,9.875000,P1,5,33,8.750000
LH,40,10.000000,P1,1,40,9.000000
LH,27,10.125000,P1,5,27,9.000000
LH,40,10.250000,P1,1,40,9.000000
LH,33,10.333333,P1,5,33,9.250000
LH,27,10.625000,P1,5,27,9.500000
LH,33,10.875000,P1,5,33,9.750000
LH,27,11.125000,P1,5,27,10.000000
LH,40,11.125000,P1,1,40,10.000000
LH,33,11.375000,P1,5,33,10.250000
LH,27,11.666667,P1,5,27,10.500000
LH,27,12.125000,P1,5,27,11.500000
LH,33,12.333333,P1,5,33,11.750000
LH,27,12.500000,P1,5,27,12.000000
LH,40,12.500000,P1,1,40,12.100000
LH,33,12.875000,P1,5,33,12.250000
LH,51,12.875000,P1,1,51,12.500000
LH,27,13.000000,P1,5,27,12.500000
LH,40,13.333333,P1,5,40,13.000000
LH,33,13.625000,P1,5,33,13.333333
LH,56,13.875000,P1,1,56,13.500000
LH,39,14.250000,P1,5,39,14.000000
LH,45,14.375000,P1,5,45,14.250000
LH,39,14.625000,P1,5,39,14.500000
RH,63,14.625000,P1,1,63,14.500000
RH,70,23.333333,P1,5,70,24.000000
RH,66,23.375000,P1,5,66,24.000000
RH,64,23.500000,P1,5,64,24.000000
RH,80,24.875000,P1,1,80,24.500000
RH,75,29.000000,P1,2,75,26.500000
LH,58,29.125000,P1,5,58,26.500000
RH,64,29.125000,P1,5,64,26.500000
RH,68,29.125000,P1,5,68,26.500000
RH,87,29.875000,P1,1,87,27.000000
RH,90,31.000000,P1,1,90,27.500000
RH,87,33.250000,P1,1,87,28.500000
RH,70,34.625000,P1,5,70,29.000000
RH,64,34.750000,P1,5,64,29.000000
RH,66,34.750000,P1,5,66,29.000000
RH,80,36.000000,P1,1,80,29.500000
RH,75,40.000000,P1,2,75,31.500000
RH,68,40.125000,P1,5,68,31.500000
LH,58,40.250000,P1,5,58,31.500000
RH,64,40.250000,P1,5,64,31.500000
RH,87,41.250000,P1,1,87,32.000000
RH,90,42.125000,P1,1,90,32.500000
RH,87,44.000000,P1,1,87,33.500000
RH,70,45.333333,P1,5,70,34.000000
RH,64,45.500000,P1,6,64,34.000000
RH,66,45.500000,P1,6,66,34.000000
RH,80,46.333333,P1,1,80,34.500000
RH,75,49.500000,P1,5,75,36.000000
RH,83,50.750000,P1,1,83,36.500000
RH,84,58.250000,P1,1,84,40.500000
RH,85,59.666667,P1,1,85,41.500000
RH,73,59.750000,P1,5,73,41.500000
RH,86,60.500000,P1,1,86,42.000000
RH,72,60.625000,P1,5,72,42.000000
RH,92,61.333333,P1,1,92,42.500000
RH,92,63.000000,P1,1,92,43.500000
LH,52,68.250000,P1,5,52,45.000000
LH,58,68.333333,P1,5,58,45.000000
RH,68,68.500000,P1,2,68,45.000000
RH,62,68.750000,P1,5,62,45.000000
RH,74,69.500000,P1,1,74,45.500000
RH,78,70.500000,P1,1,78,46.000000
RH,74,72.625000,P1,1,74,47.000000
RH,84,78.250000,P1,1,84,50.500000
RH,73,79.500000,P1,5,73,51.500000
RH,85,79.500000,P1,1,85,51.500000
RH,86,80.333333,P1,1,86,52.000000
RH,72,80.375000,P1,5,72,52.000000
RH,92,81.125000,P1,1,92,52.500000
RH,92,82.750000,P1,1,92,53.500000
RH,68,86.875000,P1,2,68,55.000000
LH,52,87.000000,P1,5,52,55.000000
LH,58,87.000000,P1,5,58,55.000000
RH,62,87.000000,P1,5,62,55.000000
RH,74,88.125000,P1,1,74,55.500000
RH,78,89.125000,P1,1,78,56.000000
RH,74,91.375000,P1,1,74,57.000000
LH,52,92.000000,P1,5,52,57.500000
LH,56,92.375000,P1,5,56,57.500000
RH,68,93.000000,P1,2,68,57.500000
RH,75,94.125000,P1,1,75,58.000000
