hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,27,3.000000,P1,5,27,0.000000
LH,33,3.250000,P1,5,33,0.250000
LH,27,3.333333,P1,5,27,0.500000
LH,33,3.500000,P1,5,33,0.750000
LH,27,3.666667,P1,5,27,1.000000
LH,33,3.875000,P1,5,33,1.250000
LH,27,4.000000,P1,5,27,1.500000
LH,33,4.125000,P1,5,33,1.750000
LH,27,4.333333,P1,5,27,2.000000
LH,33,4.375000,P1,5,33,2.250000
LH,40,4.375000,P1,1,40,2.000000
LH,27,4.625000,P1,5,27,2.500000
LH,33,4.750000,P1,5,33,2.750000
LH,27,4.875000,P1,5,27,3.000000
LH,33,5.000000,P1,5,33,3.250000
LH,27,5.250000,P1,5,27,3.500000
LH,33,5.250000,P1,5,33,3.750000
LH,27,5.500000,P1,5,27,4.000000
LH,33,5.666667,P1,5,33,4.250000
LH,40,5.666667,P1,1,40,4.100000
LH,45,5.750000,P1,1,45,4.200000
LH,47,5.875000,P1,1,47,4.300000
LH,40,6.000000,P1,5,40,4.500000
LH,49,6.000000,P1,1,49,4.400000
LH,51,6.000000,P1,1,51,4.500000
LH,33,6.250000,P1,5,33,4.750000
LH,27,6.500000,P1,5,27,5.000000
LH,40,6.500000,P1,1,40,5.000000
LH,33,6.750000,P1,5,33,5.250000
LH,27,6.875000,P1,5,27,5.500000
LH,27,7.125000,P1,5,27,6.000000
LH,33,7.125000,P1,5,33,5.750000
LH,40,7.125000,P1,1,40,6.000000
LH,33,7.333333,P1,5,33,6.250000
LH,27,7.500000,P1,5,27,6.500000
LH,33,7.625000,P1,5,33,6.750000
LH,27,7.750000,P1,5,27,7.000000
LH,33,7.875000,P1,5,33,7.250000
LH,27,8.125000,P1,5,27,7.500000
LH,33,8.250000,P1,5,33,7.750000
LH,27,8.375000,P1,5,27,8.000000
LH,33,8.500000,P1,5,33,8.250000
LH,40,8.625000,P1,1,40,8.100000
LH,45,8.625000,P1,1,45,8.200000
LH,47,8.750000,P1,1,47,8.300000
LH,49,8.750000,P1,1,49,8.400000
LH,40,8.875000,P1,5,40,8.500000
LH,51,8.875000,P1,1,51,8.500000
LH,33,9.125000,P1,5,33,8.750000
LH,27,9.333333,P1,5,27,9.000000
LH,40,9.375000,P1,1,40,9.000000
LH,33,9.500000,P1,5,33,9.250000
LH,27,9.750000,P1,5,27,9.500000
LH,33,9.875000,P1,5,33,9.750000
LH,27,10.000000,P1,5,27,10.000000
LH,40,10.000000,P1,1,40,10.000000
LH,33,10.125000,P1,5,33,10.250000
LH,27,10.333333,P1,5,27,10.500000
LH,33,10.500000,P1,5,33,10.750000
