hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,48,146.750000,m.37 beat 3.750,0.250000,P1,5,0,0
LH,49,147.000000,m.37 beat 4.000,0.250000,P1,5,0,0
LH,44,147.250000,m.37 beat 4.250,0.250000,P1,5,0,0
LH,53,147.500000,m.37 beat 4.500,0.250000,P1,5,0,0
LH,51,147.750000,m.37 beat 4.750,0.250000,P1,5,0,0
LH,53,148.000000,m.38 beat 1.000,0.250000,P1,5,0,0
LH,44,148.250000,m.38 beat 1.250,0.250000,P1,5,0,0
LH,56,148.500000,m.38 beat 1.500,0.250000,P1,5,0,0
LH,54,148.750000,m.38 beat 1.750,0.250000,P1,5,0,0
LH,56,149.000000,m.38 beat 2.000,0.250000,P1,5,0,0
LH,44,149.250000,m.38 beat 2.250,0.250000,P1,5,0,0
LH,58,149.500000,m.38 beat 2.500,0.250000,P1,5,0,0
LH,44,149.750000,m.38 beat 2.750,0.250000,P1,5,0,0
LH,56,151.000000,m.38 beat 4.000,0.250000,P1,5,0,0
LH,56,155.250000,m.39 beat 4.250,0.250000,P1,5,0,0
RH,63,146.750000,m.37 beat 3.750,0.250000,P1,1,0,0
RH,65,147.000000,m.37 beat 4.000,0.250000,P1,1,0,0
RH,68,147.250000,m.37 beat 4.250,0.250000,P1,1,0,0
RH,70,147.500000,m.37 beat 4.500,0.250000,P1,1,0,0
RH,72,147.750000,m.37 beat 4.750,0.250000,P1,1,0,0
RH,73,148.000000,m.38 beat 1.000,0.250000,P1,1,0,0
RH,75,148.250000,m.38 beat 1.250,0.250000,P1,1,0,0
RH,77,148.500000,m.38 beat 1.500,0.250000,P1,1,0,0
RH,75,148.750000,m.38 beat 1.750,0.250000,P1,1,0,0
RH,78,149.000000,m.38 beat 2.000,0.250000,P1,1,0,0
RH,77,149.250000,m.38 beat 2.250,0.250000,P1,1,0,0
RH,75,149.500000,m.38 beat 2.500,0.250000,P1,1,0,0
RH,73,149.750000,m.38 beat 2.750,0.250000,P1,1,0,0
RH,60,150.000000,m.38 beat 3.000,0.250000,P1,5,0,0
RH,80,150.000000,m.38 beat 3.000,2.250000,P1,1,1,1
RH,82,150.000000,m.38 beat 3.000,0.125000,P1,2,0,0
RH,80,150.125000,m.38 beat 3.125,0.125000,P1,2,0,0
RH,61,150.250000,m.38 beat 3.250,0.250000,P1,5,0,0
RH,79,150.250000,m.38 beat 3.250,0.125000,P1,2,0,0
RH,80,150.375000,m.38 beat 3.375,0.125000,P1,2,0,0
