segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:LH:59:16.250000:1,LH,59,16.250000,m.5 beat 1.250,1,2.625,3.986979167,1.361979167,3.5,medium,P1,6,8.0,2.0,0,0,reference-duration-not-candidate,2.500000;2.625000;2.666667;3.500000,key-release-grid;next-voice-onset,yes,hold,none,2.0,independent-voice,independent voice: written 2.0 covers following LH onset (gap 3.500)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:LH:59:19.750000:1,LH,59,19.750000,m.5 beat 4.750,1,4.0,4.015625,0.015625,-1.0,normal,P1,6,10.0,2.0,0,0,reference-duration-not-candidate,0.250000;4.000000,barline;key-release-grid+pedal-acoustic-grid,no,hold,none,2.0,,key duration 4.000 exceeds notation 2.0 (pedal/sustain hold); score convention kept
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:60:12.666667:3,RH,60,12.666667,m.4 beat 1.667,3,3.75,4.145833333,0.395833333,4.083333333,medium,P1,6,6.0,2.0,0,0,reference-duration-not-candidate,3.333333;3.666667;3.750000;4.000000;4.083333,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,hold,none,2.0,independent-voice,independent voice: written 2.0 covers following RH onset (gap 4.083)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:60:5.500000:2,RH,60,5.500000,m.2 beat 2.500,2,1.875,4.143229167,2.268229167,3.166666667,medium,P1,6,2.0,2.0,0,0,ambiguous-candidate,1.875000;2.000000;2.500000;3.166667,barline;key-release-grid;next-voice-onset,yes,hold,none,2.0,notation-shortening,reference duration 2.0; shorten acoustic extension to 2.0 (score convention; pedal carries the tail)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:60:9.125000:1,RH,60,9.125000,m.3 beat 2.125,1,2.125,3.963541667,1.838541667,3.125,medium,P1,6,4.0,2.0,0,0,ambiguous-candidate,2.000000;2.125000;2.875000;3.125000,barline;key-release-grid;next-voice-onset,yes,hold,none,2.0,independent-voice,independent voice: written 2.0 covers following RH onset (gap 3.125)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:62:13.125000:2,RH,62,13.125000,m.4 beat 2.125,2,2.25,3.6875,1.4375,2.625,medium,P1,5,6.25,1.75,1,1,reference-duration-not-candidate,2.250000;2.333333;2.625000,key-release-grid;next-voice-onset,yes,release,none,1.75,independent-voice,independent voice: written 1.75 covers following RH onset (gap 2.625)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:62:16.750000:3,RH,62,16.750000,m.5 beat 1.750,3,3.25,3.486979167,0.236979167,3.5,normal,P1,5,8.25,1.75,1,1,reference-duration-not-candidate,3.250000;3.333333;3.500000,barline+key-release-grid;key-release-grid+pedal-acoustic-grid;next-voice-onset+pedal-acoustic-grid,no,release,none,1.75,independent-voice,independent voice: written 1.75 covers following RH onset (gap 3.500)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:62:9.500000:3,RH,62,9.500000,m.3 beat 2.500,3,3.125,3.588541667,0.463541667,3.166666667,medium,P1,5,4.25,1.75,1,1,reference-duration-not-candidate,2.500000;3.000000;3.125000;3.166667,barline;key-release-grid;next-voice-onset,yes,release,none,1.75,independent-voice,independent voice: written 1.75 covers following RH onset (gap 3.167)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:64:6.000000:4,RH,64,6.000000,m.2 beat 3.000,4,3.875,3.875,0.0,4.0,normal,P1,5,2.25,1.75,1,1,reference-duration-not-candidate,2.000000;3.875000;4.000000,barline;key-release-grid+next-voice-onset+pedal-acoustic-grid;key-release-grid+pedal-acoustic-grid,no,hold,none,1.75,independent-voice,independent voice: written 1.75 covers following RH onset (gap 4.000)
Bach_Prelude_bwv_846_2,BachPrelude_bwv_846,Bach,Prelude_bwv_846,BachPrelude_bwv_846:RH:67:17.125000:1,RH,67,17.125000,m.5 beat 2.125,1,0.875,3.111979167,2.236979167,1.375,medium,P1,1,8.5,0.25,0,0,reference-duration-not-candidate,0.875000;1.000000;1.375000,key-release-grid;next-voice-onset,yes,none,none,0.25,,key duration 0.875 exceeds notation 0.25 (pedal/sustain hold); score convention kept
