hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,59,8.000000,m.3 beat 1.000,2.000000,P1,6,0,0
LH,59,10.000000,m.3 beat 3.000,2.000000,P1,6,0,0
RH,60,4.000000,m.2 beat 1.000,2.000000,P1,6,0,0
RH,62,4.250000,m.2 beat 1.250,1.750000,P1,5,1,1
RH,69,4.500000,m.2 beat 1.500,0.250000,P1,1,0,0
RH,74,4.750000,m.2 beat 1.750,0.250000,P1,1,0,0
RH,77,5.000000,m.2 beat 2.000,0.250000,P1,1,0,0
RH,69,5.250000,m.2 beat 2.250,0.250000,P1,1,0,0
RH,74,5.500000,m.2 beat 2.500,0.250000,P1,1,0,0
RH,77,5.750000,m.2 beat 2.750,0.250000,P1,1,0,0
RH,60,6.000000,m.2 beat 3.000,2.000000,P1,6,0,0
RH,62,6.250000,m.2 beat 3.250,1.750000,P1,5,1,1
RH,69,6.500000,m.2 beat 3.500,0.250000,P1,1,0,0
RH,74,6.750000,m.2 beat 3.750,0.250000,P1,1,0,0
RH,77,7.000000,m.2 beat 4.000,0.250000,P1,1,0,0
RH,69,7.250000,m.2 beat 4.250,0.250000,P1,1,0,0
RH,74,7.500000,m.2 beat 4.500,0.250000,P1,1,0,0
RH,77,7.750000,m.2 beat 4.750,0.250000,P1,1,0,0
RH,62,8.250000,m.3 beat 1.250,1.750000,P1,5,1,1
RH,67,8.500000,m.3 beat 1.500,0.250000,P1,1,0,0
RH,74,8.750000,m.3 beat 1.750,0.250000,P1,1,0,0
RH,77,9.000000,m.3 beat 2.000,0.250000,P1,1,0,0
RH,67,9.250000,m.3 beat 2.250,0.250000,P1,1,0,0
RH,74,9.500000,m.3 beat 2.500,0.250000,P1,1,0,0
RH,77,9.750000,m.3 beat 2.750,0.250000,P1,1,0,0
RH,62,10.250000,m.3 beat 3.250,1.750000,P1,5,1,1
RH,67,10.500000,m.3 beat 3.500,0.250000,P1,1,0,0
RH,74,10.750000,m.3 beat 3.750,0.250000,P1,1,0,0
RH,77,11.000000,m.3 beat 4.000,0.250000,P1,1,0,0
RH,67,11.250000,m.3 beat 4.250,0.250000,P1,1,0,0
RH,74,11.500000,m.3 beat 4.500,0.250000,P1,1,0,0
RH,77,11.750000,m.3 beat 4.750,0.250000,P1,1,0,0
RH,60,12.000000,m.4 beat 1.000,2.000000,P1,6,0,0
RH,64,12.250000,m.4 beat 1.250,1.750000,P1,5,1,1
RH,67,12.500000,m.4 beat 1.500,0.250000,P1,1,0,0
RH,72,12.750000,m.4 beat 1.750,0.250000,P1,1,0,0
RH,76,13.000000,m.4 beat 2.000,0.250000,P1,1,0,0
RH,67,13.250000,m.4 beat 2.250,0.250000,P1,1,0,0
RH,72,13.500000,m.4 beat 2.500,0.250000,P1,1,0,0
RH,76,13.750000,m.4 beat 2.750,0.250000,P1,1,0,0
RH,60,14.000000,m.4 beat 3.000,2.000000,P1,6,0,0
RH,64,14.250000,m.4 beat 3.250,1.750000,P1,5,1,1
RH,67,14.500000,m.4 beat 3.500,0.250000,P1,1,0,0
RH,72,14.750000,m.4 beat 3.750,0.250000,P1,1,0,0
RH,76,15.000000,m.4 beat 4.000,0.250000,P1,1,0,0
RH,67,15.250000,m.4 beat 4.250,0.250000,P1,1,0,0
RH,72,15.500000,m.4 beat 4.500,0.250000,P1,1,0,0
RH,76,15.750000,m.4 beat 4.750,0.250000,P1,1,0,0
RH,60,16.000000,m.5 beat 1.000,2.000000,P1,6,0,0
RH,64,16.250000,m.5 beat 1.250,1.750000,P1,5,1,1
RH,69,16.500000,m.5 beat 1.500,0.250000,P1,1,0,0
RH,76,16.750000,m.5 beat 1.750,0.250000,P1,1,0,0
RH,81,17.000000,m.5 beat 2.000,0.250000,P1,1,0,0
RH,69,17.250000,m.5 beat 2.250,0.250000,P1,1,0,0
RH,76,17.500000,m.5 beat 2.500,0.250000,P1,1,0,0
RH,81,17.750000,m.5 beat 2.750,0.250000,P1,1,0,0
RH,60,18.000000,m.5 beat 3.000,2.000000,P1,6,0,0
RH,64,18.250000,m.5 beat 3.250,1.750000,P1,5,1,1
RH,69,18.500000,m.5 beat 3.500,0.250000,P1,1,0,0
RH,76,18.750000,m.5 beat 3.750,0.250000,P1,1,0,0
RH,81,19.000000,m.5 beat 4.000,0.250000,P1,1,0,0
RH,69,19.250000,m.5 beat 4.250,0.250000,P1,1,0,0
RH,76,19.500000,m.5 beat 4.500,0.250000,P1,1,0,0
RH,81,19.750000,m.5 beat 4.750,0.250000,P1,1,0,0
