interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
154,287.507812,288.200521,m.72 beat 4.508,m.73 beat 1.201,288.000000,288.200521,
155,288.393229,289.007812,m.73 beat 1.393,m.73 beat 2.008,288.393229,289.007812,0.192708
156,289.205729,289.880208,m.73 beat 2.206,m.73 beat 2.880,289.205729,289.880208,0.197917
157,290.033854,290.690104,m.73 beat 3.034,m.73 beat 3.690,290.033854,290.690104,0.153646
158,290.843750,291.601562,m.73 beat 3.844,m.73 beat 4.602,290.843750,291.601562,0.153646
159,291.750000,292.367188,m.73 beat 4.750,m.74 beat 1.367,291.750000,292.367188,0.148438
160,292.520833,293.195312,m.74 beat 1.521,m.74 beat 2.195,292.520833,293.195312,0.153646
161,293.354167,298.143229,m.74 beat 2.354,m.75 beat 3.143,293.354167,298.143229,0.158854
162,298.257812,298.992187,m.75 beat 3.258,m.75 beat 3.992,298.257812,298.992187,0.114583
163,299.125000,299.744792,m.75 beat 4.125,m.75 beat 4.745,299.125000,299.744792,0.132813
164,299.901042,300.708333,m.75 beat 4.901,m.76 beat 1.708,299.901042,300.708333,0.156250
165,300.786458,301.229167,m.76 beat 1.786,m.76 beat 2.229,300.786458,301.229167,0.078125
166,301.343750,304.380208,m.76 beat 2.344,m.77 beat 1.380,301.343750,304.000000,0.114583
