hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,59,288.750000,m.73 beat 1.750,0.250000,P1,5,0,0
LH,58,289.500000,m.73 beat 2.500,0.250000,P1,5,0,0
LH,56,289.750000,m.73 beat 2.750,0.250000,P1,5,0,0
LH,55,290.000000,m.73 beat 3.000,0.250000,P1,5,0,0
LH,56,290.250000,m.73 beat 3.250,0.250000,P1,5,0,0
LH,55,290.500000,m.73 beat 3.500,0.250000,P1,5,0,0
LH,54,290.750000,m.73 beat 3.750,0.250000,P1,5,0,0
LH,55,291.000000,m.73 beat 4.000,0.250000,P1,5,0,0
LH,53,291.250000,m.73 beat 4.250,0.250000,P1,5,0,0
LH,51,291.500000,m.73 beat 4.500,0.250000,P1,5,0,0
LH,50,291.750000,m.73 beat 4.750,0.250000,P1,5,0,0
LH,48,292.000000,m.74 beat 1.000,0.250000,P1,5,0,0
LH,50,292.250000,m.74 beat 1.250,0.250000,P1,5,0,0
LH,51,292.500000,m.74 beat 1.500,0.250000,P1,5,0,0
LH,47,292.750000,m.74 beat 1.750,0.250000,P1,5,0,0
LH,59,292.750000,m.74 beat 1.750,0.250000,P1,1,0,0
LH,50,293.000000,m.74 beat 2.000,0.250000,P1,5,0,0
LH,48,293.250000,m.74 beat 2.250,0.250000,P1,5,0,0
LH,46,293.500000,m.74 beat 2.500,0.250000,P1,5,0,0
LH,58,293.500000,m.74 beat 2.500,0.250000,P1,1,0,0
LH,44,293.750000,m.74 beat 2.750,0.250000,P1,5,0,0
LH,56,293.750000,m.74 beat 2.750,0.250000,P1,1,0,0
LH,43,294.000000,m.74 beat 3.000,0.250000,P1,5,0,0
LH,55,294.000000,m.74 beat 3.000,0.250000,P1,1,0,0
LH,45,294.250000,m.74 beat 3.250,0.250000,P1,5,0,0
LH,57,294.250000,m.74 beat 3.250,0.250000,P1,1,0,0
LH,46,294.500000,m.74 beat 3.500,0.250000,P1,5,0,0
LH,58,294.500000,m.74 beat 3.500,0.250000,P1,1,0,0
LH,45,294.750000,m.74 beat 3.750,0.250000,P1,5,0,0
LH,57,294.750000,m.74 beat 3.750,0.250000,P1,1,0,0
LH,43,295.000000,m.74 beat 4.000,0.250000,P1,5,0,0
LH,55,295.000000,m.74 beat 4.000,0.250000,P1,1,0,0
LH,41,295.250000,m.74 beat 4.250,0.250000,P1,5,0,0
LH,53,295.250000,m.74 beat 4.250,0.250000,P1,1,0,0
LH,40,295.500000,m.74 beat 4.500,0.250000,P1,5,0,0
LH,52,295.500000,m.74 beat 4.500,0.250000,P1,1,0,0
LH,38,295.750000,m.74 beat 4.750,0.250000,P1,5,0,0
LH,50,295.750000,m.74 beat 4.750,0.250000,P1,1,0,0
LH,37,296.000000,m.75 beat 1.000,0.250000,P1,5,0,0
LH,49,296.000000,m.75 beat 1.000,0.500000,P1,1,0,0
LH,40,296.250000,m.75 beat 1.250,0.250000,P1,5,0,0
LH,38,296.500000,m.75 beat 1.500,0.250000,P1,5,0,0
LH,41,296.750000,m.75 beat 1.750,0.250000,P1,5,0,0
LH,40,297.000000,m.75 beat 2.000,0.250000,P1,5,0,0
LH,43,297.250000,m.75 beat 2.250,0.250000,P1,5,0,0
LH,41,297.500000,m.75 beat 2.500,0.250000,P1,5,0,0
LH,45,297.750000,m.75 beat 2.750,0.250000,P1,5,0,0
LH,43,298.018750,m.75 beat 3.019,0.250000,P1,5,0,0
LH,46,298.268750,m.75 beat 3.269,0.250000,P1,5,0,0
LH,45,298.518750,m.75 beat 3.519,0.250000,P1,5,0,0
LH,43,298.768750,m.75 beat 3.769,0.250000,P1,5,0,0
LH,41,299.018750,m.75 beat 4.019,0.250000,P1,5,0,0
LH,40,299.268750,m.75 beat 4.269,0.250000,P1,5,0,0
LH,38,299.518750,m.75 beat 4.519,0.250000,P1,5,0,0
LH,37,299.768750,m.75 beat 4.769,0.250000,P1,5,0,0
LH,38,300.000000,m.76 beat 1.000,0.500000,P1,5,0,0
RH,60,288.000000,m.73 beat 1.000,0.250000,P1,5,0,0
RH,72,288.000000,m.73 beat 1.000,0.250000,P1,1,0,0
RH,62,288.250000,m.73 beat 1.250,0.250000,P1,5,0,0
RH,74,288.250000,m.73 beat 1.250,0.250000,P1,1,0,0
RH,63,288.500000,m.73 beat 1.500,0.250000,P1,5,0,0
RH,75,288.500000,m.73 beat 1.500,0.250000,P1,1,0,0
RH,71,288.750000,m.73 beat 1.750,0.250000,P1,1,0,0
RH,62,289.000000,m.73 beat 2.000,0.250000,P1,5,0,0
RH,74,289.000000,m.73 beat 2.000,0.250000,P1,1,0,0
RH,60,289.250000,m.73 beat 2.250,0.250000,P1,5,0,0
RH,72,289.250000,m.73 beat 2.250,0.250000,P1,1,0,0
RH,70,289.500000,m.73 beat 2.500,0.250000,P1,1,0,0
RH,68,289.750000,m.73 beat 2.750,0.250000,P1,1,0,0
RH,67,290.000000,m.73 beat 3.000,0.250000,P1,1,0,0
RH,68,290.250000,m.73 beat 3.250,0.250000,P1,1,0,0
RH,67,290.500000,m.73 beat 3.500,0.250000,P1,1,0,0
RH,66,290.750000,m.73 beat 3.750,0.250000,P1,1,0,0
RH,67,291.000000,m.73 beat 4.000,0.250000,P1,1,0,0
RH,65,291.250000,m.73 beat 4.250,0.250000,P1,1,0,0
RH,63,291.500000,m.73 beat 4.500,0.250000,P1,1,0,0
RH,62,291.750000,m.73 beat 4.750,0.250000,P1,1,0,0
RH,60,292.000000,m.74 beat 1.000,0.250000,P1,1,0,0
RH,62,292.250000,m.74 beat 1.250,0.250000,P1,1,0,0
RH,63,292.500000,m.74 beat 1.500,0.250000,P1,1,0,0
RH,62,293.000000,m.74 beat 2.000,0.250000,P1,1,0,0
RH,60,293.250000,m.74 beat 2.250,0.250000,P1,1,0,0
RH,81,297.000000,m.75 beat 2.000,2.000000,P1,1,1,1
RH,79,299.000000,m.75 beat 4.000,1.000000,P1,1,0,0
RH,79,299.000000,m.75 beat 4.000,0.100000,P1,2,0,0
RH,81,299.100000,m.75 beat 4.100,0.100000,P1,2,0,0
RH,79,299.200000,m.75 beat 4.200,0.100000,P1,2,0,0
RH,81,299.300000,m.75 beat 4.300,0.100000,P1,2,0,0
RH,79,299.400000,m.75 beat 4.400,0.100000,P1,2,0,0
RH,81,299.500000,m.75 beat 4.500,0.100000,P1,2,0,0
RH,79,299.600000,m.75 beat 4.600,0.072917,P1,2,0,0
RH,81,299.672917,m.75 beat 4.673,0.072917,P1,2,0,0
RH,79,299.745833,m.75 beat 4.746,0.072917,P1,2,0,0
RH,77,299.818750,m.75 beat 4.819,0.100000,P1,2,0,0
RH,79,299.918750,m.75 beat 4.919,0.100000,P1,2,0,0
RH,77,300.000000,m.76 beat 1.000,0.250000,P1,1,0,0
RH,76,300.250000,m.76 beat 1.250,0.250000,P1,1,0,0
RH,77,300.500000,m.76 beat 1.500,0.250000,P1,1,0,0
