pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
73,77,1,120.25,0.0625,0.333333333,3.536458333,3.203125,1.25,0.333333333,0.0,3.203125,0,0,0,0.705353288,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:120.250000:1,medium,,,unmatched,external,,,,,,,,,,,,
73,77,1,120.25,0.0625,0.333333333,3.536458333,3.203125,1.25,0.375,0.041666667,3.161458333,0,0,0,0.649658847,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:120.250000:1,medium,,,unmatched,external,,,,,,,,,,,,
73,77,1,120.25,0.0625,0.333333333,3.536458333,3.203125,1.25,0.25,0.083333333,3.286458333,0,0,0,0.597381063,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:120.250000:1,medium,,,unmatched,external,,,,,,,,,,,,
73,77,1,120.25,0.0625,0.333333333,3.536458333,3.203125,1.25,1.25,0.916666667,2.286458333,0,0,1,0.147997988,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:120.250000:1,medium,,,unmatched,external,,,,,,,,,,,,
85,81,2,120.25,0.0625,0.375,3.536458333,3.161458333,1.25,0.375,0.0,3.161458333,0,0,0,0.705627757,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:120.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
85,81,2,120.25,0.0625,0.375,3.536458333,3.161458333,1.25,0.333333333,0.041666667,3.203125,0,0,0,0.649384378,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:120.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
85,81,2,120.25,0.0625,0.375,3.536458333,3.161458333,1.25,0.5,0.125,3.036458333,0,0,0,0.551699069,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:120.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
85,81,2,120.25,0.0625,0.375,3.536458333,3.161458333,1.25,1.25,0.875,2.286458333,0,0,1,0.157723926,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:120.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
70,73,1,121.5,0.375,0.125,2.286458333,2.161458333,0.5,0.125,0.0,2.161458333,0,0,0,0.71868481,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:121.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
70,73,1,121.5,0.375,0.125,2.286458333,2.161458333,0.5,0.5,0.375,1.786458333,0,0,1,0.379960203,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:121.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
82,74,2,121.5,0.375,0.125,2.286458333,2.161458333,0.5,0.125,0.0,2.161458333,0,0,0,0.71868481,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:121.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
82,74,2,121.5,0.375,0.125,2.286458333,2.161458333,0.5,0.5,0.375,1.786458333,0,0,1,0.379960203,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:121.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
65,74,1,122.0,0.5,0.25,1.786458333,1.536458333,1.125,0.25,0.0,1.536458333,0,0,0,0.739555744,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:65:122.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
65,74,1,122.0,0.5,0.25,1.786458333,1.536458333,1.125,0.333333333,0.083333333,1.453125,0,0,0,0.636253066,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:65:122.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
65,74,1,122.0,0.5,0.25,1.786458333,1.536458333,1.125,1.125,0.875,0.661458333,0,0,1,0.254678277,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:65:122.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
77,80,2,122.0,0.5,0.375,1.786458333,1.411458333,1.125,0.375,0.0,1.411458333,0,0,0,0.745957218,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:122.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
77,80,2,122.0,0.5,0.375,1.786458333,1.411458333,1.125,0.333333333,0.041666667,1.453125,0,0,0,0.687746948,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:122.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
77,80,2,122.0,0.5,0.375,1.786458333,1.411458333,1.125,0.5,0.125,1.286458333,0,0,0,0.598555218,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:122.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
77,80,2,122.0,0.5,0.375,1.786458333,1.411458333,1.125,1.125,0.75,0.661458333,0,0,1,0.289227628,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:122.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
70,82,1,123.125,0.78125,0.125,0.661458333,0.536458333,0.625,0.125,0.0,0.536458333,0,0,0,0.831329695,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:123.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
70,82,1,123.125,0.78125,0.125,0.661458333,0.536458333,0.625,0.625,0.5,0.036458333,0,0,1,0.516813915,next-voice-onset+pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:123.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
82,90,2,123.125,0.78125,0.25,0.661458333,0.411458333,0.625,0.25,0.0,0.411458333,0,0,0,0.852583337,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:123.125000:2,medium,,,unmatched,external,,,,,,,,,,,,
82,90,2,123.125,0.78125,0.25,0.661458333,0.411458333,0.625,0.333333333,0.083333333,0.328125,0,0,0,0.761167874,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:123.125000:2,medium,,,unmatched,external,,,,,,,,,,,,
82,90,2,123.125,0.78125,0.25,0.661458333,0.411458333,0.625,0.625,0.375,0.036458333,0,0,1,0.589954893,next-voice-onset+pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:123.125000:2,medium,,,unmatched,external,,,,,,,,,,,,
73,84,1,123.75,0.9375,0.125,0.125,0.0,1.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:123.750000:1,normal,,,unmatched,external,,,,,,,,,,,,
73,84,1,123.75,0.9375,0.125,0.125,0.0,1.25,0.25,0.125,0.125,0,1,0,0.800337542,barline,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:123.750000:1,normal,,,unmatched,external,,,,,,,,,,,,
73,84,1,123.75,0.9375,0.125,0.125,0.0,1.25,1.25,1.125,1.125,1,0,1,0.149353988,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:123.750000:1,normal,,,unmatched,external,,,,,,,,,,,,
85,86,2,123.75,0.9375,0.25,1.947916667,1.697916667,1.25,0.25,0.0,1.697916667,0,1,0,0.772588547,barline+key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:123.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
85,86,2,123.75,0.9375,0.25,1.947916667,1.697916667,1.25,0.333333333,0.083333333,1.614583334,1,0,0,0.591949038,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:123.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
85,86,2,123.75,0.9375,0.25,1.947916667,1.697916667,1.25,1.25,1.0,0.697916667,1,0,1,0.209949908,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:85:123.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
77,71,1,125.0,0.25,0.125,0.697916667,0.572916667,0.75,0.125,0.0,0.572916667,0,0,0,0.825707894,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:125.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
77,71,1,125.0,0.25,0.125,0.697916667,0.572916667,0.75,0.666666667,0.541666667,0.03125,0,0,0,0.477724402,pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:125.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
77,71,1,125.0,0.25,0.125,0.697916667,0.572916667,0.75,0.75,0.625,0.052083333,0,0,1,0.455406624,next-voice-onset+pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:77:125.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
89,72,2,125.0,0.25,0.125,0.697916667,0.572916667,0.75,0.125,0.0,0.572916667,0,0,0,0.825707894,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:89:125.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
89,72,2,125.0,0.25,0.125,0.697916667,0.572916667,0.75,0.666666667,0.541666667,0.03125,0,0,0,0.477724402,pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:89:125.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
89,72,2,125.0,0.25,0.125,0.697916667,0.572916667,0.75,0.75,0.625,0.052083333,0,0,1,0.455406624,next-voice-onset+pedal-acoustic-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:89:125.000000:2,medium,,,unmatched,external,,,,,,,,,,,,
70,59,1,125.75,0.4375,0.5,2.591145833,2.091145833,1.375,0.5,0.0,2.091145833,0,0,0,0.720329762,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:125.750000:1,medium,,,unmatched,external,,,,,,,,,,,,
70,59,1,125.75,0.4375,0.5,2.591145833,2.091145833,1.375,0.666666667,0.166666667,1.924479166,0,0,0,0.526402744,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:125.750000:1,medium,,,unmatched,external,,,,,,,,,,,,
70,59,1,125.75,0.4375,0.5,2.591145833,2.091145833,1.375,1.375,0.875,1.216145833,0,0,1,0.199737127,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:70:125.750000:1,medium,,,unmatched,external,,,,,,,,,,,,
82,66,2,125.75,0.4375,0.5,2.591145833,2.091145833,1.375,0.5,0.0,2.091145833,0,0,0,0.720329762,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:125.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
82,66,2,125.75,0.4375,0.5,2.591145833,2.091145833,1.375,0.666666667,0.166666667,1.924479166,0,0,0,0.526402744,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:125.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
82,66,2,125.75,0.4375,0.5,2.591145833,2.091145833,1.375,1.375,0.875,1.216145833,0,0,1,0.199737127,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:82:125.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
61,52,1,127.125,0.78125,0.25,1.216145833,0.966145833,0.625,0.25,0.0,0.966145833,0,0,0,0.778420543,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:61:127.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
61,52,1,127.125,0.78125,0.25,1.216145833,0.966145833,0.625,0.333333333,0.083333333,0.8828125,0,0,0,0.679205311,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:61:127.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
61,52,1,127.125,0.78125,0.25,1.216145833,0.966145833,0.625,0.625,0.375,0.591145833,0,0,1,0.47364448,next-voice-onset,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:61:127.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
73,68,2,127.125,0.78125,0.333333333,1.216145833,0.8828125,0.625,0.333333333,0.0,0.8828125,0,0,0,0.786668103,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:127.125000:2,medium,,,unmatched,external,,,,,,,,,,,,
73,68,2,127.125,0.78125,0.333333333,1.216145833,0.8828125,0.625,0.375,0.041666667,0.841145833,0,0,0,0.735142762,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:127.125000:2,medium,,,unmatched,external,,,,,,,,,,,,
73,68,2,127.125,0.78125,0.333333333,1.216145833,0.8828125,0.625,0.25,0.083333333,0.966145833,0,0,0,0.670957751,key-release-grid,BeethovenPiano_Sonatas_29-2,RH,BeethovenPiano_Sonatas_29-2:RH:73:127.125000:2,medium,,,unmatched,external,,,,,,,,,,,,
