hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,29,200.000000,m.51 beat 1.000,4.000000,P1,5,0,0
LH,41,200.000000,m.51 beat 1.000,4.000000,P1,5,0,0
LH,48,200.250000,m.51 beat 1.250,0.250000,P1,1,0,0
LH,57,200.500000,m.51 beat 1.500,0.250000,P1,1,0,0
LH,30,204.000000,m.52 beat 1.000,4.000000,P1,5,0,0
LH,42,204.000000,m.52 beat 1.000,4.000000,P1,5,0,0
LH,57,207.500000,m.52 beat 4.500,0.250000,P1,1,0,0
LH,48,207.750000,m.52 beat 4.750,0.250000,P1,1,0,0
LH,31,208.000000,m.53 beat 1.000,2.000000,P1,5,0,0
LH,43,208.000000,m.53 beat 1.000,2.000000,P1,5,0,0
LH,47,208.250000,m.53 beat 1.250,0.250000,P1,1,0,0
LH,55,208.500000,m.53 beat 1.500,0.250000,P1,1,0,0
LH,59,208.750000,m.53 beat 1.750,0.250000,P1,1,0,0
LH,59,209.250000,m.53 beat 2.250,0.250000,P1,1,0,0
LH,30,210.000000,m.53 beat 3.000,1.000000,P1,5,0,0
LH,42,210.000000,m.53 beat 3.000,1.000000,P1,5,0,0
LH,28,211.000000,m.53 beat 4.000,1.000000,P1,5,0,0
LH,40,211.000000,m.53 beat 4.000,1.000000,P1,5,0,0
LH,26,212.000000,m.54 beat 1.000,4.000000,P1,5,0,0
LH,38,212.000000,m.54 beat 1.000,4.000000,P1,5,0,0
LH,57,215.250000,m.54 beat 4.250,0.250000,P1,1,0,0
LH,54,215.500000,m.54 beat 4.500,0.250000,P1,1,0,0
LH,48,215.750000,m.54 beat 4.750,0.250000,P1,1,0,0
RH,60,200.750000,m.51 beat 1.750,0.250000,P1,1,0,0
RH,65,201.000000,m.51 beat 2.000,0.250000,P1,1,0,0
RH,60,201.250000,m.51 beat 2.250,0.250000,P1,1,0,0
RH,69,201.500000,m.51 beat 2.500,0.250000,P1,1,0,0
RH,72,201.750000,m.51 beat 2.750,0.250000,P1,1,0,0
RH,77,202.000000,m.51 beat 3.000,0.250000,P1,1,0,0
RH,72,202.250000,m.51 beat 3.250,0.250000,P1,1,0,0
RH,81,202.500000,m.51 beat 3.500,0.250000,P1,1,0,0
RH,84,202.750000,m.51 beat 3.750,0.250000,P1,1,0,0
RH,89,203.000000,m.51 beat 4.000,0.250000,P1,1,0,0
RH,84,203.250000,m.51 beat 4.250,0.250000,P1,1,0,0
RH,93,203.500000,m.51 beat 4.500,0.250000,P1,1,0,0
RH,96,203.750000,m.51 beat 4.750,0.250000,P1,1,0,0
RH,100,204.000000,m.52 beat 1.000,0.250000,P1,1,0,0
RH,96,204.250000,m.52 beat 1.250,0.250000,P1,1,0,0
RH,93,204.500000,m.52 beat 1.500,0.250000,P1,1,0,0
RH,84,204.750000,m.52 beat 1.750,0.250000,P1,1,0,0
RH,88,205.000000,m.52 beat 2.000,0.250000,P1,1,0,0
RH,84,205.250000,m.52 beat 2.250,0.250000,P1,1,0,0
RH,81,205.500000,m.52 beat 2.500,0.250000,P1,1,0,0
RH,72,205.750000,m.52 beat 2.750,0.250000,P1,1,0,0
RH,76,206.000000,m.52 beat 3.000,0.250000,P1,1,0,0
RH,72,206.250000,m.52 beat 3.250,0.250000,P1,1,0,0
RH,69,206.500000,m.52 beat 3.500,0.250000,P1,1,0,0
RH,60,206.750000,m.52 beat 3.750,0.250000,P1,1,0,0
RH,62,207.000000,m.52 beat 4.000,0.250000,P1,1,0,0
RH,60,207.250000,m.52 beat 4.250,0.250000,P1,1,0,0
RH,62,209.000000,m.53 beat 2.000,0.250000,P1,1,0,0
RH,67,209.500000,m.53 beat 2.500,0.250000,P1,1,0,0
RH,71,209.750000,m.53 beat 2.750,0.250000,P1,1,0,0
RH,74,210.000000,m.53 beat 3.000,0.250000,P1,1,0,0
RH,71,210.250000,m.53 beat 3.250,0.250000,P1,1,0,0
RH,79,210.500000,m.53 beat 3.500,0.250000,P1,1,0,0
RH,83,210.750000,m.53 beat 3.750,0.250000,P1,1,0,0
RH,86,211.000000,m.53 beat 4.000,0.250000,P1,1,0,0
RH,83,211.250000,m.53 beat 4.250,0.250000,P1,1,0,0
RH,91,211.500000,m.53 beat 4.500,0.250000,P1,1,0,0
RH,93,211.750000,m.53 beat 4.750,0.250000,P1,1,0,0
RH,98,212.000000,m.54 beat 1.000,0.250000,P1,1,0,0
RH,93,212.250000,m.54 beat 1.250,0.250000,P1,1,0,0
RH,90,212.500000,m.54 beat 1.500,0.250000,P1,1,0,0
RH,84,212.750000,m.54 beat 1.750,0.250000,P1,1,0,0
RH,86,213.000000,m.54 beat 2.000,0.250000,P1,1,0,0
RH,81,213.250000,m.54 beat 2.250,0.250000,P1,1,0,0
RH,78,213.500000,m.54 beat 2.500,0.250000,P1,1,0,0
RH,72,213.750000,m.54 beat 2.750,0.250000,P1,1,0,0
RH,74,214.000000,m.54 beat 3.000,0.250000,P1,1,0,0
RH,69,214.250000,m.54 beat 3.250,0.250000,P1,1,0,0
RH,66,214.500000,m.54 beat 3.500,0.250000,P1,1,0,0
RH,60,214.750000,m.54 beat 3.750,0.250000,P1,1,0,0
RH,62,215.000000,m.54 beat 4.000,0.250000,P1,1,0,0
