pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
73,80,2,156.0,0.0,0.125,5.283854167,5.158854167,0.25,0.125,0.0,5.158854167,0,0,0,0.700512137,key-release-grid,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:73:156.000000:2,medium,,,ambiguous-candidate,external,P1,1,158.666666667,0.166666667,0,0,,,,,,
73,80,2,156.0,0.0,0.125,5.283854167,5.158854167,0.25,0.25,0.125,5.033854167,0,0,1,0.565755566,next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:73:156.000000:2,medium,,,ambiguous-candidate,external,P1,1,158.666666667,0.166666667,0,0,,,,,,
78,77,2,156.0,0.0,0.125,5.283854167,5.158854167,0.25,0.125,0.0,5.158854167,0,0,0,0.700512137,key-release-grid,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:78:156.000000:2,medium,,,ambiguous-candidate,external,P1,1,158.5,0.166666667,0,0,,,,,,
78,77,2,156.0,0.0,0.125,5.283854167,5.158854167,0.25,0.25,0.125,5.033854167,0,0,1,0.565755566,next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:78:156.000000:2,medium,,,ambiguous-candidate,external,P1,1,158.5,0.166666667,0,0,,,,,,
75,77,3,156.0,0.0,0.25,5.283854167,5.033854167,0.25,0.25,0.0,5.033854167,0,0,1,0.720595018,key-release-grid+next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:75:156.000000:3,medium,1,reference-score,labeled,external,P1,1,158.5,0.166666667,0,0,,,,,,
61,83,2,156.25,0.125,0.125,5.033854167,4.908854167,0.125,0.125,0.0,4.908854167,0,0,1,0.720691312,key-release-grid+next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:61:156.250000:2,medium,1,reference-score,labeled,external,P1,5,158.833333333,0.166666667,0,0,,,,,,
70,82,3,156.25,0.125,0.125,5.033854167,4.908854167,0.125,0.125,0.0,4.908854167,0,0,1,0.720691312,key-release-grid+next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:70:156.250000:3,medium,1,reference-score,labeled,external,P1,1,158.833333333,0.166666667,0,0,,,,,,
82,76,2,156.375,0.1875,0.125,4.908854167,4.783854167,0.125,0.125,0.0,4.783854167,0,0,1,0.72080319,key-release-grid+next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:82:156.375000:2,medium,1,reference-score,labeled,external,P1,1,159.0,0.166666667,0,0,,,,,,
78,77,3,156.375,0.1875,0.25,4.908854167,4.658854167,0.375,0.25,0.0,4.658854167,0,0,0,0.700933174,key-release-grid,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:78:156.375000:3,medium,1,reference-score,labeled,external,P1,1,159.0,0.166666667,0,0,,,,,,
78,77,3,156.375,0.1875,0.25,4.908854167,4.658854167,0.375,0.333333333,0.083333333,4.575520834,0,0,0,0.593568524,key-release-grid,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:78:156.375000:3,medium,0,reference-score,labeled,external,P1,1,159.0,0.166666667,0,0,,,,,,
78,77,3,156.375,0.1875,0.25,4.908854167,4.658854167,0.375,0.375,0.125,4.533854167,0,0,1,0.566244741,next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:78:156.375000:3,medium,0,reference-score,labeled,external,P1,1,159.0,0.166666667,0,0,,,,,,
75,78,2,156.5,0.25,0.125,4.783854167,4.658854167,0.25,0.125,0.0,4.658854167,0,0,0,0.700933174,key-release-grid,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:75:156.500000:2,medium,,,ambiguous-candidate,external,P1,1,159.166666667,0.166666667,0,0,,,,,,
75,78,2,156.5,0.25,0.125,4.783854167,4.658854167,0.25,0.25,0.125,4.533854167,0,0,1,0.566244741,next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:75:156.500000:2,medium,,,ambiguous-candidate,external,P1,1,159.166666667,0.166666667,0,0,,,,,,
80,13,2,156.5,0.25,0.125,4.783854167,4.658854167,0.25,0.125,0.0,4.658854167,0,0,0,0.700933174,key-release-grid,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:80:156.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
80,13,2,156.5,0.25,0.125,4.783854167,4.658854167,0.25,0.25,0.125,4.533854167,0,0,1,0.566244741,next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:80:156.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
66,41,2,156.75,0.375,0.125,4.533854167,4.408854167,0.125,0.125,0.0,4.408854167,0,0,1,0.721259653,key-release-grid+next-voice-onset,ChopinEtudes_op_10_5,RH,ChopinEtudes_op_10_5:RH:66:156.750000:2,medium,1,reference-score,labeled,external,P1,5,159.333333333,0.166666667,0,0,,,,,,
