pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
83,55,4,1012.0,0.0,0.25,4.838541667,4.588541667,0.5,0.25,0.0,4.588541667,0,0,0,0.701015327,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1012.000000:4,medium,,,reference-duration-not-candidate,external,P1,1,1783.0,1.0,0,0,,,,,,
83,55,4,1012.0,0.0,0.25,4.838541667,4.588541667,0.5,0.333333333,0.083333333,4.505208334,0,0,0,0.593659318,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1012.000000:4,medium,,,reference-duration-not-candidate,external,P1,1,1783.0,1.0,0,0,,,,,,
83,55,4,1012.0,0.0,0.25,4.838541667,4.588541667,0.5,0.5,0.25,4.338541667,0,0,1,0.44594201,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1012.000000:4,medium,,,reference-duration-not-candidate,external,P1,1,1783.0,1.0,0,0,,,,,,
89,29,8,1012.0,0.0,0.125,4.838541667,4.713541667,0.5,0.125,0.0,4.713541667,0,0,0,0.7008739,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:89:1012.000000:8,medium,,,unmatched,external,,,,,,,,,,,,
89,29,8,1012.0,0.0,0.125,4.838541667,4.713541667,0.5,0.5,0.375,4.338541667,0,0,1,0.352027135,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:89:1012.000000:8,medium,,,unmatched,external,,,,,,,,,,,,
62,30,2,1012.5,0.125,0.25,4.338541667,4.088541667,0.5,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:62:1012.500000:2,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
62,30,2,1012.5,0.125,0.25,4.338541667,4.088541667,0.5,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:62:1012.500000:2,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
62,30,2,1012.5,0.125,0.25,4.338541667,4.088541667,0.5,0.5,0.25,3.838541667,0,0,1,0.447068764,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:62:1012.500000:2,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
65,69,3,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1012.500000:3,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
65,69,3,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1012.500000:3,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
65,69,3,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.375,0.125,3.963541667,0,0,1,0.567309996,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1012.500000:3,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
67,70,3,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1012.500000:3,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
67,70,3,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1012.500000:3,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
67,70,3,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.375,0.125,3.963541667,0,0,1,0.567309996,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1012.500000:3,medium,,,reference-duration-not-candidate,external,P1,5,1784.0,1.0,0,0,,,,,,
83,73,4,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1012.500000:4,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
83,73,4,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1012.500000:4,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
83,73,4,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.375,0.125,3.963541667,0,0,1,0.567309996,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1012.500000:4,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
77,78,5,1012.5,0.125,0.125,4.338541667,4.213541667,0.375,0.125,0.0,4.213541667,0,0,0,0.70159235,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:77:1012.500000:5,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
77,78,5,1012.5,0.125,0.125,4.338541667,4.213541667,0.375,0.375,0.25,3.963541667,0,0,1,0.446720909,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:77:1012.500000:5,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
86,74,6,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:86:1012.500000:6,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
86,74,6,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:86:1012.500000:6,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
86,74,6,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.375,0.125,3.963541667,0,0,1,0.567309996,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:86:1012.500000:6,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
91,84,6,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:91:1012.500000:6,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
91,84,6,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:91:1012.500000:6,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
91,84,6,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.375,0.125,3.963541667,0,0,1,0.567309996,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:91:1012.500000:6,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
79,64,7,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.25,0.0,4.088541667,0,0,0,0.701850047,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:79:1012.500000:7,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
79,64,7,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.333333333,0.083333333,4.005208334,0,0,0,0.594581826,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:79:1012.500000:7,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
79,64,7,1012.5,0.125,0.25,4.338541667,4.088541667,0.375,0.375,0.125,3.963541667,0,0,1,0.567309996,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:79:1012.500000:7,medium,,,reference-duration-not-candidate,external,P1,1,1784.0,1.0,0,0,,,,,,
89,47,8,1012.5,0.125,0.125,4.338541667,4.213541667,0.375,0.125,0.0,4.213541667,0,0,0,0.70159235,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:89:1012.500000:8,medium,,,unmatched,external,,,,,,,,,,,,
89,47,8,1012.5,0.125,0.125,4.338541667,4.213541667,0.375,0.375,0.25,3.963541667,0,0,1,0.446720909,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:89:1012.500000:8,medium,,,unmatched,external,,,,,,,,,,,,
65,77,3,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.125,0.0,3.838541667,0,0,0,0.702497302,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1012.875000:3,medium,,,reference-duration-not-candidate,external,P1,5,1785.0,1.0,0,0,,,,,,
65,77,3,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.375,0.25,3.588541667,0,0,1,0.447942467,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1012.875000:3,medium,,,reference-duration-not-candidate,external,P1,5,1785.0,1.0,0,0,,,,,,
67,84,3,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.125,0.0,3.838541667,0,0,0,0.702497302,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1012.875000:3,medium,,,reference-duration-not-candidate,external,P1,5,1785.0,1.0,0,0,,,,,,
67,84,3,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.375,0.25,3.588541667,0,0,1,0.447942467,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1012.875000:3,medium,,,reference-duration-not-candidate,external,P1,5,1785.0,1.0,0,0,,,,,,
82,89,4,1012.875,0.21875,0.125,3.963541667,3.838541667,0.125,0.125,0.0,3.838541667,0,0,1,0.722497302,key-release-grid+next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:82:1012.875000:4,medium,,,unmatched,external,,,,,,,,,,,,
77,83,5,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.125,0.0,3.838541667,0,0,0,0.702497302,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:77:1012.875000:5,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
77,83,5,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.375,0.25,3.588541667,0,0,1,0.447942467,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:77:1012.875000:5,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
86,79,6,1012.875,0.21875,0.25,3.963541667,3.713541667,0.375,0.25,0.0,3.713541667,0,0,0,0.702901451,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:86:1012.875000:6,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
86,79,6,1012.875,0.21875,0.25,3.963541667,3.713541667,0.375,0.333333333,0.083333333,3.630208334,0,0,0,0.595743807,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:86:1012.875000:6,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
86,79,6,1012.875,0.21875,0.25,3.963541667,3.713541667,0.375,0.375,0.125,3.588541667,0,0,1,0.568531553,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:86:1012.875000:6,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
79,80,7,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.125,0.0,3.838541667,0,0,0,0.702497302,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:79:1012.875000:7,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
79,80,7,1012.875,0.21875,0.125,3.963541667,3.838541667,0.375,0.375,0.25,3.588541667,0,0,1,0.447942467,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:79:1012.875000:7,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
89,73,8,1012.875,0.21875,0.125,3.963541667,3.838541667,0.125,0.125,0.0,3.838541667,0,0,1,0.722497302,key-release-grid+next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:89:1012.875000:8,medium,,,unmatched,external,,,,,,,,,,,,
91,83,8,1012.875,0.21875,0.125,3.963541667,3.838541667,0.125,0.125,0.0,3.838541667,0,0,1,0.722497302,key-release-grid+next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:91:1012.875000:8,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
62,42,2,1013.0,0.25,0.125,3.838541667,3.713541667,0.333333333,0.125,0.0,3.713541667,0,0,0,0.702901451,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:62:1013.000000:2,medium,,,reference-duration-not-candidate,external,P1,5,1785.0,1.0,0,0,,,,,,
62,42,2,1013.0,0.25,0.125,3.838541667,3.713541667,0.333333333,0.333333333,0.208333333,3.505208334,0,0,1,0.485193978,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:62:1013.000000:2,medium,,,reference-duration-not-candidate,external,P1,5,1785.0,1.0,0,0,,,,,,
83,58,4,1013.0,0.25,0.125,3.838541667,3.713541667,0.25,0.125,0.0,3.713541667,0,0,0,0.702901451,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1013.000000:4,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
83,58,4,1013.0,0.25,0.125,3.838541667,3.713541667,0.25,0.25,0.125,3.588541667,0,0,1,0.568531553,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:83:1013.000000:4,medium,,,reference-duration-not-candidate,external,P1,1,1785.0,1.0,0,0,,,,,,
88,54,8,1013.0,0.25,0.125,3.838541667,3.713541667,0.25,0.125,0.0,3.713541667,0,0,0,0.702901451,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:88:1013.000000:8,medium,,,unmatched,external,,,,,,,,,,,,
88,54,8,1013.0,0.25,0.125,3.838541667,3.713541667,0.25,0.25,0.125,3.588541667,0,0,1,0.568531553,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:88:1013.000000:8,medium,,,unmatched,external,,,,,,,,,,,,
65,82,3,1013.25,0.3125,0.125,3.588541667,3.463541667,0.375,0.125,0.0,3.463541667,0,0,0,0.703916549,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1013.250000:3,medium,,,reference-duration-not-candidate,external,P1,5,1786.0,1.0,0,0,,,,,,
65,82,3,1013.25,0.3125,0.125,3.588541667,3.463541667,0.375,0.375,0.25,3.213541667,0,0,1,0.44985825,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:65:1013.250000:3,medium,,,reference-duration-not-candidate,external,P1,5,1786.0,1.0,0,0,,,,,,
67,81,3,1013.25,0.3125,0.125,3.588541667,3.463541667,0.375,0.125,0.0,3.463541667,0,0,0,0.703916549,key-release-grid,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1013.250000:3,medium,,,reference-duration-not-candidate,external,P1,5,1786.0,1.0,0,0,,,,,,
67,81,3,1013.25,0.3125,0.125,3.588541667,3.463541667,0.375,0.375,0.25,3.213541667,0,0,1,0.44985825,next-voice-onset,ChopinScherzos_20,RH,ChopinScherzos_20:RH:67:1013.250000:3,medium,,,reference-duration-not-candidate,external,P1,5,1786.0,1.0,0,0,,,,,,
