pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
74,82,1,432.125,0.03125,0.25,0.833333333,0.583333333,0.375,0.25,0.0,0.583333333,0,0,0,0.824146326,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:74:432.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
74,82,1,432.125,0.03125,0.25,0.833333333,0.583333333,0.375,0.333333333,0.083333333,0.5,0,0,0,0.729740117,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:74:432.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
74,82,1,432.125,0.03125,0.25,0.833333333,0.583333333,0.375,0.375,0.125,0.458333333,0,0,1,0.709398001,next-voice-onset,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:74:432.125000:1,medium,,,unmatched,external,,,,,,,,,,,,
86,77,4,432.125,0.03125,0.375,0.833333333,0.458333333,0.375,0.375,0.0,0.458333333,0,0,1,0.864237453,key-release-grid+next-voice-onset,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:86:432.125000:4,medium,,,unmatched,external,,,,,,,,,,,,
86,77,4,432.125,0.03125,0.375,0.833333333,0.458333333,0.375,0.333333333,0.041666667,0.5,0,0,0,0.781233999,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:86:432.125000:4,medium,,,unmatched,external,,,,,,,,,,,,
88,46,3,432.25,0.0625,0.125,0.708333333,0.583333333,0.75,0.125,0.0,0.583333333,0,0,0,0.824146326,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:88:432.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
88,46,3,432.25,0.0625,0.125,0.708333333,0.583333333,0.75,0.666666667,0.541666667,0.041666666,0,0,0,0.474733154,pedal-acoustic-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:88:432.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
88,46,3,432.25,0.0625,0.125,0.708333333,0.583333333,0.75,0.75,0.625,0.041666667,0,0,1,0.458360714,next-voice-onset+pedal-acoustic-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:88:432.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
78,59,1,432.5,0.125,0.125,0.458333333,0.333333333,0.166666667,0.125,0.0,0.333333333,0,0,0,0.867580012,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:78:432.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
78,59,1,432.5,0.125,0.125,0.458333333,0.333333333,0.166666667,0.166666667,0.041666667,0.291666666,0,0,1,0.840203112,next-voice-onset,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:78:432.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
79,77,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.25,0.0,0.208333333,0,0,0,0.894700196,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:79:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
79,77,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.333333333,0.083333333,0.125,0,0,0,0.807714202,key-release-grid+pedal-acoustic-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:79:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
79,77,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.5,0.25,0.041666667,0,0,0,0.662378818,pedal-acoustic-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:79:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
79,77,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.75,0.5,0.291666667,0,0,1,0.453687631,next-voice-onset,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:79:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
82,80,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.25,0.0,0.208333333,0,0,0,0.894700196,key-release-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:82:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
82,80,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.333333333,0.083333333,0.125,0,0,0,0.807714202,key-release-grid+pedal-acoustic-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:82:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
82,80,4,432.5,0.125,0.25,0.458333333,0.208333333,0.75,0.5,0.25,0.041666667,0,0,0,0.662378818,pedal-acoustic-grid,ChopinSonata_3_4th,RH,ChopinSonata_3_4th:RH:82:432.500000:4,normal,,,unmatched,external,,,,,,,,,,,,
