hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,54,734.000000,m.245 beat 3.000,0.250000,P1,5,0,0
LH,54,734.500000,m.245 beat 3.500,0.250000,P1,5,0,0
LH,49,734.750000,m.245 beat 3.750,0.250000,P1,5,0,0
LH,47,735.000000,m.246 beat 1.000,0.250000,P1,5,0,0
LH,54,735.250000,m.246 beat 1.250,0.250000,P1,5,0,0
LH,59,735.500000,m.246 beat 1.500,0.250000,P1,5,0,0
LH,59,736.000000,m.246 beat 2.000,0.250000,P1,5,0,0
LH,54,736.250000,m.246 beat 2.250,0.250000,P1,5,0,0
LH,41,736.500000,m.246 beat 2.500,0.250000,P1,5,0,0
LH,47,736.750000,m.246 beat 2.750,0.250000,P1,5,0,0
LH,50,737.000000,m.246 beat 3.000,0.250000,P1,5,0,0
LH,56,737.250000,m.246 beat 3.250,0.250000,P1,5,0,0
LH,50,737.500000,m.246 beat 3.500,0.250000,P1,5,0,0
LH,47,737.750000,m.246 beat 3.750,0.250000,P1,5,0,0
LH,40,738.000000,m.247 beat 1.000,0.250000,P1,5,0,0
LH,46,738.250000,m.247 beat 1.250,0.250000,P1,5,0,0
LH,50,738.500000,m.247 beat 1.500,0.250000,P1,5,0,0
LH,55,738.750000,m.247 beat 1.750,0.250000,P1,5,0,0
LH,50,739.000000,m.247 beat 2.000,0.250000,P1,5,0,0
LH,46,739.250000,m.247 beat 2.250,0.250000,P1,5,0,0
LH,40,739.500000,m.247 beat 2.500,0.250000,P1,5,0,0
LH,46,739.750000,m.247 beat 2.750,0.250000,P1,5,0,0
LH,49,740.000000,m.247 beat 3.000,0.250000,P1,5,0,0
LH,54,740.250000,m.247 beat 3.250,0.250000,P1,5,0,0
LH,49,740.500000,m.247 beat 3.500,0.250000,P1,5,0,0
LH,45,740.750000,m.247 beat 3.750,0.250000,P1,5,0,0
LH,38,741.000000,m.248 beat 1.000,0.250000,P1,5,0,0
LH,42,741.250000,m.248 beat 1.250,0.250000,P1,5,0,0
LH,49,741.500000,m.248 beat 1.500,0.250000,P1,5,0,0
LH,54,741.750000,m.248 beat 1.750,0.250000,P1,5,0,0
LH,49,742.000000,m.248 beat 2.000,0.250000,P1,5,0,0
LH,42,742.250000,m.248 beat 2.250,0.250000,P1,5,0,0
LH,38,742.500000,m.248 beat 2.500,0.250000,P1,5,0,0
LH,42,742.750000,m.248 beat 2.750,0.250000,P1,5,0,0
LH,47,743.000000,m.248 beat 3.000,0.250000,P1,5,0,0
LH,54,743.250000,m.248 beat 3.250,0.250000,P1,5,0,0
LH,47,743.500000,m.248 beat 3.500,0.250000,P1,5,0,0
LH,42,743.750000,m.248 beat 3.750,0.250000,P1,5,0,0
LH,37,744.000000,m.249 beat 1.000,0.250000,P1,5,0,0
LH,44,744.250000,m.249 beat 1.250,0.250000,P1,5,0,0
LH,49,744.500000,m.249 beat 1.500,0.250000,P1,5,0,0
LH,56,744.750000,m.249 beat 1.750,0.250000,P1,5,0,0
LH,49,745.000000,m.249 beat 2.000,0.250000,P1,5,0,0
LH,44,745.250000,m.249 beat 2.250,0.250000,P1,5,0,0
LH,43,745.500000,m.249 beat 2.500,0.250000,P1,5,0,0
LH,47,745.750000,m.249 beat 2.750,0.250000,P1,5,0,0
LH,52,746.000000,m.249 beat 3.000,0.250000,P1,5,0,0
LH,59,746.250000,m.249 beat 3.250,0.250000,P1,5,0,0
LH,52,746.500000,m.249 beat 3.500,0.250000,P1,5,0,0
LH,47,746.750000,m.249 beat 3.750,0.250000,P1,5,0,0
LH,42,747.000000,m.250 beat 1.000,0.250000,P1,5,0,0
LH,47,747.250000,m.250 beat 1.250,0.250000,P1,5,0,0
LH,54,747.500000,m.250 beat 1.500,0.250000,P1,5,0,0
LH,59,747.750000,m.250 beat 1.750,0.250000,P1,5,0,0
LH,54,748.000000,m.250 beat 2.000,0.250000,P1,5,0,0
LH,47,748.250000,m.250 beat 2.250,0.250000,P1,5,0,0
LH,41,748.500000,m.250 beat 2.500,0.250000,P1,5,0,0
LH,43,748.750000,m.250 beat 2.750,0.250000,P1,5,0,0
LH,47,749.000000,m.250 beat 3.000,0.250000,P1,5,0,0
LH,55,749.250000,m.250 beat 3.250,0.250000,P1,5,0,0
LH,47,749.500000,m.250 beat 3.500,0.250000,P1,5,0,0
LH,43,749.750000,m.250 beat 3.750,0.250000,P1,5,0,0
LH,40,750.000000,m.251 beat 1.000,0.250000,P1,5,0,0
LH,43,750.250000,m.251 beat 1.250,0.250000,P1,5,0,0
LH,48,750.500000,m.251 beat 1.500,0.250000,P1,5,0,0
LH,55,750.750000,m.251 beat 1.750,0.250000,P1,5,0,0
LH,48,751.000000,m.251 beat 2.000,0.250000,P1,5,0,0
LH,59,751.000000,m.251 beat 2.000,0.500000,P1,1,0,0
LH,43,751.250000,m.251 beat 2.250,0.250000,P1,5,0,0
LH,40,751.500000,m.251 beat 2.500,0.250000,P1,5,0,0
LH,42,751.750000,m.251 beat 2.750,0.250000,P1,5,0,0
LH,49,752.000000,m.251 beat 3.000,0.250000,P1,5,0,0
LH,58,752.000000,m.251 beat 3.000,0.500000,P1,1,0,0
