pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
74,87,1,81.125,0.041666667,0.5,0.775,0.275,0.75,0.5,0.0,0.275,0,0,0,0.879730933,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:74:81.125000:1,medium,,,reference-duration-not-candidate,external,P1,1,48.5,0.25,0,0,,,,,,
74,87,1,81.125,0.041666667,0.5,0.775,0.275,0.75,0.666666667,0.166666667,0.108333333,0,0,0,0.721095775,key-release-grid+pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:74:81.125000:1,medium,,,reference-duration-not-candidate,external,P1,1,48.5,0.25,0,0,,,,,,
74,87,1,81.125,0.041666667,0.5,0.775,0.275,0.75,0.75,0.25,0.025,0,0,1,0.687182845,next-voice-onset+pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:74:81.125000:1,medium,,,reference-duration-not-candidate,external,P1,1,48.5,0.25,0,0,,,,,,
62,58,2,81.5,0.166666667,0.125,0.4,0.275,0.75,0.125,0.0,0.275,0,0,0,0.879730933,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:81.500000:2,medium,,,ambiguous-candidate,external,P1,1,48.75,0.25,0,0,,,,,,
62,58,2,81.5,0.166666667,0.125,0.4,0.275,0.75,0.333333333,0.208333333,0.066666667,0,0,0,0.692247528,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:81.500000:2,medium,,,ambiguous-candidate,external,P1,1,48.75,0.25,0,0,,,,,,
62,58,2,81.5,0.166666667,0.125,0.4,0.275,0.75,0.375,0.25,0.025,0,0,0,0.667182845,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:81.500000:2,medium,,,ambiguous-candidate,external,P1,1,48.75,0.25,0,0,,,,,,
62,58,2,81.5,0.166666667,0.125,0.4,0.275,0.75,0.5,0.375,0.1,0,0,0,0.552386696,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:81.500000:2,medium,,,ambiguous-candidate,external,P1,1,48.75,0.25,0,0,,,,,,
62,58,2,81.5,0.166666667,0.125,0.4,0.275,0.75,0.75,0.625,0.35,0,0,1,0.384815063,next-voice-onset,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:81.500000:2,medium,,,ambiguous-candidate,external,P1,1,48.75,0.25,0,0,,,,,,
73,81,1,81.875,0.291666667,0.5,0.677083333,0.177083333,0.75,0.5,0.0,0.177083333,0,0,0,0.902140079,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:73:81.875000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.0,0.25,0,0,,,,,,
73,81,1,81.875,0.291666667,0.5,0.677083333,0.177083333,0.75,0.625,0.125,0.052083333,0,0,0,0.780013814,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:73:81.875000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.0,0.25,0,0,,,,,,
73,81,1,81.875,0.291666667,0.5,0.677083333,0.177083333,0.75,0.666666667,0.166666667,0.010416666,0,0,0,0.748466367,key-release-grid+pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:73:81.875000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.0,0.25,0,0,,,,,,
73,81,1,81.875,0.291666667,0.5,0.677083333,0.177083333,0.75,0.75,0.25,0.072916667,0,0,1,0.67362618,next-voice-onset+pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:73:81.875000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.0,0.25,0,0,,,,,,
62,69,2,82.25,0.416666667,0.125,0.302083333,0.177083333,0.75,0.125,0.0,0.177083333,0,0,0,0.902140079,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:82.250000:2,normal,,,ambiguous-candidate,external,P1,1,49.25,0.25,0,0,,,,,,
62,69,2,82.25,0.416666667,0.125,0.302083333,0.177083333,0.75,0.25,0.125,0.052083333,0,0,0,0.780013814,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:82.250000:2,normal,,,ambiguous-candidate,external,P1,1,49.25,0.25,0,0,,,,,,
62,69,2,82.25,0.416666667,0.125,0.302083333,0.177083333,0.75,0.333333333,0.208333333,0.03125,0,0,0,0.702267046,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:82.250000:2,normal,,,ambiguous-candidate,external,P1,1,49.25,0.25,0,0,,,,,,
62,69,2,82.25,0.416666667,0.125,0.302083333,0.177083333,0.75,0.75,0.625,0.447916667,0,0,1,0.366605094,next-voice-onset,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:82.250000:2,normal,,,ambiguous-candidate,external,P1,1,49.25,0.25,0,0,,,,,,
72,81,1,82.625,0.541666667,0.5,0.652083333,0.152083333,0.708333333,0.5,0.0,0.152083333,0,0,0,0.908296161,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:72:82.625000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.5,0.25,0,0,,,,,,
72,81,1,82.625,0.541666667,0.5,0.652083333,0.152083333,0.708333333,0.625,0.125,0.027083333,0,0,0,0.787166161,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:72:82.625000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.5,0.25,0,0,,,,,,
72,81,1,82.625,0.541666667,0.5,0.652083333,0.152083333,0.708333333,0.666666667,0.166666667,0.014583334,0,0,0,0.747234976,key-release-grid+pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:72:82.625000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.5,0.25,0,0,,,,,,
72,81,1,82.625,0.541666667,0.5,0.652083333,0.152083333,0.708333333,0.708333333,0.208333333,0.05625,0,0,1,0.715150372,next-voice-onset,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:72:82.625000:1,normal,,,reference-duration-not-candidate,external,P1,1,49.5,0.25,0,0,,,,,,
62,69,2,83.0,0.666666667,0.125,0.277083333,0.152083333,0.75,0.125,0.0,0.152083333,0,0,0,0.908296161,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:83.000000:2,normal,,,ambiguous-candidate,external,P1,1,49.75,0.25,0,0,,,,,,
62,69,2,83.0,0.666666667,0.125,0.277083333,0.152083333,0.75,0.25,0.125,0.027083333,0,0,0,0.787166161,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:83.000000:2,normal,,,ambiguous-candidate,external,P1,1,49.75,0.25,0,0,,,,,,
62,69,2,83.0,0.666666667,0.125,0.277083333,0.152083333,0.75,0.333333333,0.208333333,0.05625,0,0,0,0.695150372,pedal-acoustic-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:83.000000:2,normal,,,ambiguous-candidate,external,P1,1,49.75,0.25,0,0,,,,,,
62,69,2,83.0,0.666666667,0.125,0.277083333,0.152083333,0.75,0.75,0.625,0.472916667,0,0,1,0.362288613,next-voice-onset,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:62:83.000000:2,normal,,,ambiguous-candidate,external,P1,1,49.75,0.25,0,0,,,,,,
71,80,1,83.333333333,0.777777778,0.375,0.708333333,0.333333333,0.791666667,0.375,0.0,0.333333333,0,0,0,0.867580012,key-release-grid,HaydnKeyboard_Sonatas_32-1,RH,HaydnKeyboard_Sonatas_32-1:RH:71:83.333333:1,medium,,,ambiguous-candidate,external,P1,1,50.0,0.25,0,0,,,,,,
