hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,50,48.500000,m.13 beat 1.500,0.500000,P1,5,0,0
LH,50,48.500000,m.13 beat 1.500,3.500000,P1,6,1,1
LH,52,49.000000,m.13 beat 2.000,0.500000,P1,5,0,0
LH,54,49.500000,m.13 beat 2.500,0.500000,P1,5,0,0
LH,55,50.000000,m.13 beat 3.000,0.500000,P1,5,0,0
LH,54,50.500000,m.13 beat 3.500,0.500000,P1,5,0,0
LH,55,51.000000,m.13 beat 4.000,0.500000,P1,5,0,0
LH,59,51.500000,m.13 beat 4.500,0.500000,P1,5,0,0
LH,38,52.000000,m.14 beat 1.000,0.500000,P1,5,0,0
LH,42,52.000000,m.14 beat 1.000,0.500000,P1,5,0,0
LH,45,52.000000,m.14 beat 1.000,0.500000,P1,5,0,0
LH,50,52.000000,m.14 beat 1.000,0.500000,P1,5,0,0
LH,50,52.500000,m.14 beat 1.500,0.500000,P1,5,0,0
LH,50,52.500000,m.14 beat 1.500,3.500000,P1,6,1,1
LH,52,53.000000,m.14 beat 2.000,0.500000,P1,5,0,0
LH,54,53.500000,m.14 beat 2.500,0.500000,P1,5,0,0
LH,55,54.000000,m.14 beat 3.000,0.500000,P1,5,0,0
LH,54,54.500000,m.14 beat 3.500,0.500000,P1,5,0,0
LH,55,55.000000,m.14 beat 4.000,0.500000,P1,5,0,0
LH,59,55.500000,m.14 beat 4.500,0.500000,P1,5,0,0
LH,38,56.000000,m.15 beat 1.000,0.500000,P1,5,0,0
LH,42,56.000000,m.15 beat 1.000,0.500000,P1,5,0,0
LH,45,56.000000,m.15 beat 1.000,0.500000,P1,5,0,0
LH,50,56.000000,m.15 beat 1.000,0.500000,P1,5,0,0
RH,74,48.500000,m.13 beat 1.500,0.250000,P1,1,0,0
RH,62,48.750000,m.13 beat 1.750,0.250000,P1,1,0,0
RH,73,49.000000,m.13 beat 2.000,0.250000,P1,1,0,0
RH,62,49.250000,m.13 beat 2.250,0.250000,P1,1,0,0
RH,72,49.500000,m.13 beat 2.500,0.250000,P1,1,0,0
RH,62,49.750000,m.13 beat 2.750,0.250000,P1,1,0,0
RH,71,50.000000,m.13 beat 3.000,0.250000,P1,1,0,0
RH,62,50.250000,m.13 beat 3.250,0.250000,P1,1,0,0
RH,70,50.500000,m.13 beat 3.500,0.250000,P1,1,0,0
RH,62,50.750000,m.13 beat 3.750,0.250000,P1,1,0,0
RH,71,51.000000,m.13 beat 4.000,0.250000,P1,1,0,0
RH,62,51.250000,m.13 beat 4.250,0.250000,P1,1,0,0
RH,67,51.500000,m.13 beat 4.500,0.250000,P1,1,0,0
RH,62,51.750000,m.13 beat 4.750,0.250000,P1,1,0,0
RH,66,52.000000,m.14 beat 1.000,0.250000,P1,1,0,0
RH,62,52.250000,m.14 beat 1.250,0.250000,P1,1,0,0
RH,74,52.500000,m.14 beat 1.500,0.250000,P1,1,0,0
RH,62,52.750000,m.14 beat 1.750,0.250000,P1,1,0,0
RH,73,53.000000,m.14 beat 2.000,0.250000,P1,1,0,0
RH,62,53.250000,m.14 beat 2.250,0.250000,P1,1,0,0
RH,72,53.500000,m.14 beat 2.500,0.250000,P1,1,0,0
RH,62,53.750000,m.14 beat 2.750,0.250000,P1,1,0,0
RH,71,54.000000,m.14 beat 3.000,0.250000,P1,1,0,0
RH,62,54.250000,m.14 beat 3.250,0.250000,P1,1,0,0
RH,70,54.500000,m.14 beat 3.500,0.250000,P1,1,0,0
RH,62,54.750000,m.14 beat 3.750,0.250000,P1,1,0,0
RH,71,55.000000,m.14 beat 4.000,0.250000,P1,1,0,0
RH,62,55.250000,m.14 beat 4.250,0.250000,P1,1,0,0
RH,67,55.500000,m.14 beat 4.500,0.250000,P1,1,0,0
RH,62,55.750000,m.14 beat 4.750,0.250000,P1,1,0,0
RH,66,56.000000,m.15 beat 1.000,0.250000,P1,1,0,0
