interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
1,66.270833,68.841146,m.17 beat 3.271,m.18 beat 1.841,68.000000,68.841146,
2,68.958333,70.403646,m.18 beat 1.958,m.18 beat 3.404,68.958333,70.403646,0.117188
3,70.557292,72.007812,m.18 beat 3.557,m.19 beat 1.008,70.557292,72.007812,0.153646
4,72.161458,73.513021,m.19 beat 1.161,m.19 beat 2.513,72.161458,73.513021,0.153646
5,73.684896,75.268229,m.19 beat 2.685,m.19 beat 4.268,73.684896,75.268229,0.171875
6,75.539062,76.906250,m.19 beat 4.539,m.20 beat 1.906,75.539062,76.906250,0.270833
7,77.065104,78.744792,m.20 beat 2.065,m.20 beat 3.745,77.065104,78.744792,0.158854
8,79.364583,80.346354,m.20 beat 4.365,m.21 beat 1.346,79.364583,80.346354,0.619792
9,80.690104,81.348958,m.21 beat 1.690,m.21 beat 2.349,80.690104,81.348958,0.343750
10,81.523438,82.408854,m.21 beat 2.523,m.21 beat 3.409,81.523438,82.408854,0.174479
