pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
91,89,3,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.125,0.0,0.135416667,0,0,0,0.912504022,key-release-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:91:292.000000:3,normal,,,ambiguous-candidate,external,P1,1,253.0,0.25,0,0,,,,,,
91,89,3,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.25,0.125,0.010416667,0,0,1,0.812054998,next-voice-onset+pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:91:292.000000:3,normal,,,ambiguous-candidate,external,P1,1,253.0,0.25,0,0,,,,,,
93,83,3,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.125,0.0,0.135416667,0,0,0,0.912504022,key-release-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:93:292.000000:3,normal,,,unmatched,external,,,,,,,,,,,,
93,83,3,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.25,0.125,0.010416667,0,0,1,0.812054998,next-voice-onset+pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:93:292.000000:3,normal,,,unmatched,external,,,,,,,,,,,,
95,108,3,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.125,0.0,0.135416667,0,0,0,0.912504022,key-release-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:95:292.000000:3,normal,,,ambiguous-candidate,external,P1,1,253.0,0.25,0,0,,,,,,
95,108,3,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.25,0.125,0.010416667,0,0,1,0.812054998,next-voice-onset+pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:95:292.000000:3,normal,,,ambiguous-candidate,external,P1,1,253.0,0.25,0,0,,,,,,
83,106,4,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.125,0.0,0.135416667,0,0,0,0.912504022,key-release-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:83:292.000000:4,normal,,,ambiguous-candidate,external,P1,1,253.0,0.25,0,0,,,,,,
83,106,4,292.0,0.0,0.125,0.260416667,0.135416667,0.25,0.25,0.125,0.010416667,0,0,1,0.812054998,next-voice-onset+pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:83:292.000000:4,normal,,,ambiguous-candidate,external,P1,1,253.0,0.25,0,0,,,,,,
93,92,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.125,0.0,0.236979167,0,0,0,0.888121102,key-release-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:93:292.250000:3,normal,,,ambiguous-candidate,external,P1,1,253.25,0.25,0,0,,,,,,
93,92,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.25,0.125,0.111979167,0,0,0,0.763726087,pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:93:292.250000:3,normal,,,ambiguous-candidate,external,P1,1,253.25,0.25,0,0,,,,,,
93,92,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.333333333,0.208333333,0.028645834,0,0,0,0.703020718,pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:93:292.250000:3,normal,,,ambiguous-candidate,external,P1,1,253.25,0.25,0,0,,,,,,
93,92,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.375,0.25,0.013020833,0,0,1,0.690695571,next-voice-onset+pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:93:292.250000:3,normal,,,ambiguous-candidate,external,P1,1,253.25,0.25,0,0,,,,,,
95,87,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.125,0.0,0.236979167,0,0,0,0.888121102,key-release-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:95:292.250000:3,normal,,,unmatched,external,,,,,,,,,,,,
95,87,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.25,0.125,0.111979167,0,0,0,0.763726087,pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:95:292.250000:3,normal,,,unmatched,external,,,,,,,,,,,,
95,87,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.333333333,0.208333333,0.028645834,0,0,0,0.703020718,pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:95:292.250000:3,normal,,,unmatched,external,,,,,,,,,,,,
95,87,3,292.25,0.125,0.125,0.361979167,0.236979167,0.375,0.375,0.25,0.013020833,0,0,1,0.690695571,next-voice-onset+pedal-acoustic-grid,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations,RH,LisztGran_Etudes_de_Paganini_6_Theme_and_Variations:RH:95:292.250000:3,normal,,,unmatched,external,,,,,,,,,,,,
