segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:44:462.875000:1,LH,44,462.875000,m.116 beat 3.875,1,0.666666667,1.320833333,0.654166667,1.375,medium,P1,5,592.5,0.5,0,0,labeled,0.166667;0.250000;0.333333;0.333333;0.375000;0.500000;0.625000;0.666667;0.750000;1.000000;1.000000;1.125000;1.250000;1.333333;1.333333;1.375000,barline;key-release-grid;next-voice-onset+pedal-acoustic-grid;pedal-acoustic-grid;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 1.375)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:46:461.750000:1,LH,46,461.750000,m.116 beat 2.750,1,0.75,1.04375,0.29375,1.125,medium,P1,5,591.0,0.5,0,0,reference-duration-not-candidate,0.166667;0.250000;0.333333;0.375000;0.500000;0.666667;0.750000;1.000000;1.125000,key-release-grid;next-voice-onset;pedal-acoustic-grid;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 1.125)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:48:448.500000:2,LH,48,448.500000,m.113 beat 1.500,2,0.666666667,1.264583333,0.597916667,1.625,high,P1,5,574.5,0.5,0,0,labeled,0.166667;0.250000;0.333333;0.333333;0.375000;0.500000;0.625000;0.666667;0.750000;1.000000;1.000000;1.250000;1.333333;1.333333;1.625000,key-release-grid;next-voice-onset;pedal-acoustic-grid;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 1.625)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:48:460.625000:1,LH,48,460.625000,m.116 beat 1.625,1,0.75,1.05,0.3,1.125,medium,P1,5,589.5,0.5,0,0,reference-duration-not-candidate,0.166667;0.250000;0.333333;0.375000;0.500000;0.666667;0.750000;1.000000;1.125000,key-release-grid;next-voice-onset;pedal-acoustic-grid;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 1.125)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:49:459.375000:2,LH,49,459.375000,m.115 beat 4.375,2,0.75,1.177083333,0.427083333,0.75,medium,P1,5,588.0,0.5,0,0,labeled,0.166667;0.250000;0.333333;0.375000;0.500000;0.625000;0.666667;0.750000,barline;key-release-grid;key-release-grid+next-voice-onset;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 0.750)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:50:458.250000:2,LH,50,458.250000,m.115 beat 3.250,2,0.375,1.06875,0.69375,0.375,medium,P1,5,586.5,0.5,0,0,labeled,0.166667;0.187500;0.250000;0.333333;0.333333;0.375000,key-release-grid;key-release-grid+next-voice-onset;P1.5-extended,yes,release,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:51:457.000000:1,LH,51,457.000000,m.115 beat 2.000,1,0.666666667,1.120833333,0.454166667,0.75,medium,P1,5,585.0,0.5,0,0,labeled,0.166667;0.250000;0.333333;0.333333;0.375000;0.500000;0.625000;0.666667;0.750000,key-release-grid;key-release-grid+next-voice-onset;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 0.750)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:52:448.875000:1,LH,52,448.875000,m.113 beat 1.875,1,0.25,0.889583333,0.639583333,0.875,medium,P1,5,575.0,0.5,0,0,reference-duration-not-candidate,0.125000;0.166667;0.250000;0.333333;0.333333;0.375000;0.500000;0.750000;0.875000,key-release-grid;next-voice-onset+pedal-acoustic-grid;P1.5-extended,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:52:452.250000:1,LH,52,452.250000,m.114 beat 1.250,1,0.875,1.235416667,0.360416667,1.125,medium,P1,5,579.0,0.5,0,0,reference-duration-not-candidate,0.166667;0.250000;0.333333;0.375000;0.437500;0.500000;0.875000;1.000000;1.125000,key-release-grid;next-voice-onset;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 1.125)
Mozart_Piano_Sonatas_12-3_113,MozartPiano_Sonatas_12-3,Mozart,Piano_Sonatas_12-3,MozartPiano_Sonatas_12-3:LH:52:453.375000:1,LH,52,453.375000,m.114 beat 2.375,1,0.75,1.229166667,0.479166667,1.291666667,medium,P1,5,580.5,0.5,0,0,reference-duration-not-candidate,0.166667;0.250000;0.333333;0.375000;0.500000;0.666667;0.750000;1.000000;1.125000;1.250000,key-release-grid;next-voice-onset;pedal-acoustic-grid;P1.5-extended,yes,release,none,0.5,independent-voice,independent voice: written 0.5 covers following LH onset (gap 1.292)
