hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,57,448.500000,m.113 beat 1.500,0.500000,P1,5,0,0
LH,55,449.000000,m.113 beat 2.000,0.500000,P1,5,0,0
LH,57,449.500000,m.113 beat 2.500,0.500000,P1,5,0,0
LH,58,450.000000,m.113 beat 3.000,0.500000,P1,5,0,0
LH,57,450.500000,m.113 beat 3.500,0.500000,P1,5,0,0
LH,58,451.000000,m.113 beat 4.000,0.500000,P1,5,0,0
LH,58,452.000000,m.114 beat 1.000,0.500000,P1,5,0,0
LH,59,456.000000,m.115 beat 1.000,0.500000,P1,5,0,0
LH,59,456.500000,m.115 beat 1.500,0.500000,P1,5,0,0
LH,59,457.000000,m.115 beat 2.000,0.500000,P1,5,0,0
LH,41,459.000000,m.115 beat 4.000,1.000000,P1,5,0,0
LH,45,459.000000,m.115 beat 4.000,1.000000,P1,5,0,0
LH,48,459.000000,m.115 beat 4.000,1.000000,P1,5,0,0
LH,53,459.000000,m.115 beat 4.000,1.000000,P1,5,0,0
RH,72,448.000000,m.113 beat 1.000,0.250000,P1,1,0,0
RH,69,448.250000,m.113 beat 1.250,0.250000,P1,1,0,0
RH,65,448.500000,m.113 beat 1.500,0.250000,P1,1,0,0
RH,77,448.750000,m.113 beat 1.750,0.250000,P1,1,0,0
RH,64,449.000000,m.113 beat 2.000,0.250000,P1,1,0,0
RH,77,449.250000,m.113 beat 2.250,0.250000,P1,1,0,0
RH,65,449.500000,m.113 beat 2.500,0.250000,P1,1,0,0
RH,77,449.750000,m.113 beat 2.750,0.250000,P1,1,0,0
RH,67,450.000000,m.113 beat 3.000,0.250000,P1,1,0,0
RH,77,450.250000,m.113 beat 3.250,0.250000,P1,1,0,0
RH,65,450.500000,m.113 beat 3.500,0.250000,P1,1,0,0
RH,77,450.750000,m.113 beat 3.750,0.250000,P1,1,0,0
RH,67,451.000000,m.113 beat 4.000,0.250000,P1,1,0,0
RH,77,451.250000,m.113 beat 4.250,0.250000,P1,1,0,0
RH,60,451.500000,m.113 beat 4.500,0.500000,P1,5,0,0
RH,69,451.500000,m.113 beat 4.500,0.250000,P1,1,0,0
RH,77,451.750000,m.113 beat 4.750,0.250000,P1,1,0,0
RH,67,452.000000,m.114 beat 1.000,0.250000,P1,1,0,0
RH,77,452.250000,m.114 beat 1.250,0.250000,P1,1,0,0
RH,60,452.500000,m.114 beat 1.500,0.500000,P1,5,0,0
RH,69,452.500000,m.114 beat 1.500,0.250000,P1,1,0,0
RH,77,452.750000,m.114 beat 1.750,0.250000,P1,1,0,0
RH,61,453.000000,m.114 beat 2.000,1.000000,P1,5,0,0
RH,70,453.000000,m.114 beat 2.000,0.250000,P1,1,0,0
RH,77,453.250000,m.114 beat 2.250,0.250000,P1,1,0,0
RH,70,453.500000,m.114 beat 2.500,0.250000,P1,1,0,0
RH,77,453.750000,m.114 beat 2.750,0.250000,P1,1,0,0
RH,60,454.000000,m.114 beat 3.000,0.500000,P1,5,0,0
RH,69,454.000000,m.114 beat 3.000,0.250000,P1,1,0,0
RH,77,454.250000,m.114 beat 3.250,0.250000,P1,1,0,0
RH,61,454.500000,m.114 beat 3.500,1.000000,P1,5,0,0
RH,70,454.500000,m.114 beat 3.500,0.250000,P1,1,0,0
RH,77,454.750000,m.114 beat 3.750,0.250000,P1,1,0,0
RH,70,455.000000,m.114 beat 4.000,0.250000,P1,1,0,0
RH,77,455.250000,m.114 beat 4.250,0.250000,P1,1,0,0
RH,60,455.500000,m.114 beat 4.500,0.500000,P1,5,0,0
RH,69,455.500000,m.114 beat 4.500,0.250000,P1,1,0,0
RH,77,455.750000,m.114 beat 4.750,0.250000,P1,1,0,0
RH,68,456.000000,m.115 beat 1.000,0.250000,P1,1,0,0
RH,77,456.250000,m.115 beat 1.250,0.250000,P1,1,0,0
RH,68,456.500000,m.115 beat 1.500,0.250000,P1,1,0,0
RH,77,456.750000,m.115 beat 1.750,0.250000,P1,1,0,0
RH,68,457.000000,m.115 beat 2.000,0.250000,P1,1,0,0
RH,77,457.250000,m.115 beat 2.250,0.250000,P1,1,0,0
RH,60,457.500000,m.115 beat 2.500,0.500000,P1,5,0,0
RH,67,457.500000,m.115 beat 2.500,0.500000,P1,1,0,0
RH,76,457.500000,m.115 beat 2.500,0.500000,P1,1,0,0
RH,84,459.250000,m.115 beat 4.250,0.250000,P1,1,0,0
RH,83,459.500000,m.115 beat 4.500,0.250000,P1,1,0,0
RH,84,459.750000,m.115 beat 4.750,0.250000,P1,1,0,0
RH,89,460.000000,m.116 beat 1.000,0.250000,P1,1,0,0
RH,84,460.250000,m.116 beat 1.250,0.250000,P1,1,0,0
RH,82,460.500000,m.116 beat 1.500,0.250000,P1,1,0,0
RH,81,460.750000,m.116 beat 1.750,0.250000,P1,1,0,0
RH,80,461.000000,m.116 beat 2.000,0.250000,P1,1,0,0
RH,81,461.250000,m.116 beat 2.250,0.250000,P1,1,0,0
RH,84,461.500000,m.116 beat 2.500,0.250000,P1,1,0,0
RH,81,461.750000,m.116 beat 2.750,0.250000,P1,1,0,0
RH,79,462.000000,m.116 beat 3.000,0.250000,P1,1,0,0
RH,77,462.250000,m.116 beat 3.250,0.250000,P1,1,0,0
RH,76,462.500000,m.116 beat 3.500,0.250000,P1,1,0,0
RH,77,462.750000,m.116 beat 3.750,0.250000,P1,1,0,0
RH,81,463.000000,m.116 beat 4.000,0.250000,P1,1,0,0
