pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
78,78,2,172.625,0.15625,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:78:172.625000:2,normal,,,unmatched,external,,,,,,,,,,,,
67,78,1,172.666666667,0.166666667,0.375,4.067708333,3.692708333,0.833333333,0.375,0.0,3.692708333,0,0,0,0.702974901,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:67:172.666667:1,medium,,,unmatched,external,,,,,,,,,,,,
67,78,1,172.666666667,0.166666667,0.375,4.067708333,3.692708333,0.833333333,0.333333333,0.041666667,3.734375,0,0,0,0.646860904,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:67:172.666667:1,medium,,,unmatched,external,,,,,,,,,,,,
67,78,1,172.666666667,0.166666667,0.375,4.067708333,3.692708333,0.833333333,0.5,0.125,3.567708333,0,0,0,0.548616891,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:67:172.666667:1,medium,,,unmatched,external,,,,,,,,,,,,
67,78,1,172.666666667,0.166666667,0.375,4.067708333,3.692708333,0.833333333,0.833333333,0.458333333,3.234375,0,0,1,0.305051015,next-voice-onset,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:67:172.666667:1,medium,,,unmatched,external,,,,,,,,,,,,
79,93,3,172.666666667,0.166666667,1.0,4.067708333,3.067708333,1.208333333,1.0,0.0,3.067708333,0,0,0,0.706297866,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:79:172.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
79,93,3,172.666666667,0.166666667,1.0,4.067708333,3.067708333,1.208333333,1.208333333,0.208333333,2.859375,0,0,1,0.489555062,next-voice-onset,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:79:172.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
60,72,2,172.75,0.1875,0.5,3.984375,3.484375,0.75,0.5,0.0,3.484375,0,0,0,0.703819849,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:60:172.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
60,72,2,172.75,0.1875,0.5,3.984375,3.484375,0.75,0.666666667,0.166666667,3.317708333,0,0,0,0.506237491,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:60:172.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
60,72,2,172.75,0.1875,0.5,3.984375,3.484375,0.75,0.75,0.25,3.234375,0,0,1,0.449727719,next-voice-onset,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:60:172.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
64,69,2,172.75,0.1875,0.5,3.984375,3.484375,0.75,0.5,0.0,3.484375,0,0,0,0.703819849,key-release-grid,MozartPiano_Sonatas_8-1,RH,MozartPiano_Sonatas_8-1:RH:64:172.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
