pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
81,76,4,392.125,0.0625,0.125,1.84375,1.71875,0.25,0.125,0.0,1.71875,0,0,0,0.731783933,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:81:392.125000:4,medium,,,unmatched,external,,,,,,,,,,,,
81,76,4,392.125,0.0625,0.125,1.84375,1.71875,0.25,0.25,0.125,1.59375,0,0,1,0.60208821,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:81:392.125000:4,medium,,,unmatched,external,,,,,,,,,,,,
82,87,3,392.375,0.1875,0.125,1.59375,1.46875,0.125,0.125,0.0,1.46875,0,0,1,0.762903822,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:82:392.375000:3,medium,,,unmatched,external,,,,,,,,,,,,
78,104,4,392.375,0.1875,0.375,1.59375,1.21875,0.375,0.375,0.0,1.21875,0,0,1,0.777914102,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:78:392.375000:4,medium,1,reference-score,labeled,external,P1,2,361.5,0.5,0,0,,,,,,
78,104,4,392.375,0.1875,0.375,1.59375,1.21875,0.375,0.333333333,0.041666667,1.260416667,0,0,0,0.699120688,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:78:392.375000:4,medium,0,reference-score,labeled,external,P1,2,361.5,0.5,0,0,,,,,,
83,58,3,392.5,0.25,0.125,1.46875,1.34375,0.166666667,0.125,0.0,1.34375,0,0,0,0.74984713,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:83:392.500000:3,medium,,,ambiguous-candidate,external,P1,1,361.5,0.25,0,0,,,,,,
83,58,3,392.5,0.25,0.125,1.46875,1.34375,0.166666667,0.166666667,0.041666667,1.302083333,0,0,1,0.716433937,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:83:392.500000:3,medium,,,ambiguous-candidate,external,P1,1,361.5,0.25,0,0,,,,,,
84,53,3,392.5,0.25,0.125,1.46875,1.34375,0.166666667,0.125,0.0,1.34375,0,0,0,0.74984713,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:84:392.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
84,53,3,392.5,0.25,0.125,1.46875,1.34375,0.166666667,0.166666667,0.041666667,1.302083333,0,0,1,0.716433937,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:84:392.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
79,80,3,392.666666667,0.333333333,0.125,1.302083333,1.177083333,0.333333333,0.125,0.0,1.177083333,0,0,0,0.760883422,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:79:392.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
79,80,3,392.666666667,0.333333333,0.125,1.302083333,1.177083333,0.333333333,0.333333333,0.208333333,0.96875,0,0,1,0.559644303,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:79:392.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
82,75,4,392.75,0.375,0.125,1.21875,1.09375,0.25,0.125,0.0,1.09375,0,0,0,0.767286587,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:82:392.750000:4,medium,,,unmatched,external,,,,,,,,,,,,
82,75,4,392.75,0.375,0.125,1.21875,1.09375,0.25,0.25,0.125,0.96875,0,0,1,0.643336409,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:82:392.750000:4,medium,,,unmatched,external,,,,,,,,,,,,
66,101,3,393.0,0.5,0.125,0.96875,0.84375,0.25,0.125,0.0,0.84375,0,0,0,0.790827392,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:66:393.000000:3,medium,,,unmatched,external,,,,,,,,,,,,
66,101,3,393.0,0.5,0.125,0.96875,0.84375,0.25,0.25,0.125,0.71875,0,0,1,0.670686923,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:66:393.000000:3,medium,,,unmatched,external,,,,,,,,,,,,
78,100,4,393.0,0.5,0.25,0.96875,0.71875,0.25,0.25,0.0,0.71875,0,0,1,0.825526375,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:78:393.000000:4,medium,,,unmatched,external,,,,,,,,,,,,
81,92,4,393.0,0.5,0.25,0.96875,0.71875,0.25,0.25,0.0,0.71875,0,0,1,0.825526375,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:81:393.000000:4,medium,,,unmatched,external,,,,,,,,,,,,
64,58,3,393.25,0.625,0.125,0.71875,0.59375,0.25,0.125,0.0,0.59375,0,0,0,0.822604156,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:64:393.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
64,58,3,393.25,0.625,0.125,0.71875,0.59375,0.25,0.25,0.125,0.46875,0,0,1,0.707606254,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:64:393.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
65,65,3,393.25,0.625,0.125,0.71875,0.59375,0.25,0.125,0.0,0.59375,0,0,0,0.822604156,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:65:393.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
65,65,3,393.25,0.625,0.125,0.71875,0.59375,0.25,0.25,0.125,0.46875,0,0,1,0.707606254,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:65:393.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
82,84,4,393.25,0.625,0.125,0.71875,0.59375,0.25,0.125,0.0,0.59375,0,0,0,0.822604156,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:82:393.250000:4,medium,,,unmatched,external,,,,,,,,,,,,
82,84,4,393.25,0.625,0.125,0.71875,0.59375,0.25,0.25,0.125,0.46875,0,0,1,0.707606254,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:82:393.250000:4,medium,,,unmatched,external,,,,,,,,,,,,
64,84,3,393.5,0.75,0.125,0.46875,0.34375,0.25,0.125,0.0,0.34375,0,0,0,0.865498299,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:64:393.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
64,84,3,393.5,0.75,0.125,0.46875,0.34375,0.25,0.25,0.125,0.21875,0,0,1,0.757442139,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:64:393.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
