pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
89,39,4,360.5,0.25,0.25,7.1875,6.9375,0.25,0.25,0.0,6.9375,0,0,1,0.720060595,key-release-grid+next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:89:360.500000:4,medium,,,unmatched,external,,,,,,,,,,,,
91,27,4,360.5,0.25,0.25,7.1875,6.9375,0.25,0.25,0.0,6.9375,0,0,1,0.720060595,key-release-grid+next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:91:360.500000:4,medium,,,unmatched,external,,,,,,,,,,,,
98,54,5,360.5,0.25,0.333333333,7.1875,6.854166667,0.625,0.333333333,0.0,6.854166667,0,0,0,0.700066968,key-release-grid,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:98:360.500000:5,medium,,,unmatched,external,,,,,,,,,,,,
98,54,5,360.5,0.25,0.333333333,7.1875,6.854166667,0.625,0.375,0.041666667,6.8125,0,0,0,0.644101491,key-release-grid,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:98:360.500000:5,medium,,,unmatched,external,,,,,,,,,,,,
98,54,5,360.5,0.25,0.333333333,7.1875,6.854166667,0.625,0.25,0.083333333,6.9375,0,0,0,0.592597803,key-release-grid,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:98:360.500000:5,medium,,,unmatched,external,,,,,,,,,,,,
98,54,5,360.5,0.25,0.333333333,7.1875,6.854166667,0.625,0.625,0.291666667,6.5625,0,0,1,0.410719634,next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:98:360.500000:5,medium,,,unmatched,external,,,,,,,,,,,,
103,53,4,360.75,0.375,0.125,6.9375,6.8125,0.5,0.125,0.0,6.8125,0,0,0,0.700070402,key-release-grid,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:103:360.750000:4,medium,,,unmatched,external,,,,,,,,,,,,
103,53,4,360.75,0.375,0.125,6.9375,6.8125,0.5,0.5,0.375,6.4375,0,0,1,0.350766999,next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:103:360.750000:4,medium,,,unmatched,external,,,,,,,,,,,,
98,53,5,361.125,0.5625,0.125,6.5625,6.4375,0.208333333,0.125,0.0,6.4375,0,0,0,0.700110412,key-release-grid,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:98:361.125000:5,medium,,,unmatched,external,,,,,,,,,,,,
98,53,5,361.125,0.5625,0.125,6.5625,6.4375,0.208333333,0.208333333,0.083333333,6.354166667,0,0,1,0.612659232,next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:98:361.125000:5,medium,,,unmatched,external,,,,,,,,,,,,
103,60,4,361.25,0.625,0.125,6.4375,6.3125,0.125,0.125,0.0,6.3125,0,0,1,0.72012828,key-release-grid+next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:103:361.250000:4,medium,,,unmatched,external,,,,,,,,,,,,
101,47,5,361.333333333,0.666666667,0.125,6.354166667,6.229166667,0.291666667,0.125,0.0,6.229166667,0,0,0,0.700141771,key-release-grid,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:101:361.333333:5,medium,,,unmatched,external,,,,,,,,,,,,
101,47,5,361.333333333,0.666666667,0.125,6.354166667,6.229166667,0.291666667,0.291666667,0.166666667,6.0625,0,0,1,0.521745077,next-voice-onset,RavelMiroirs_3_Une_Barque,RH,RavelMiroirs_3_Une_Barque:RH:101:361.333333:5,medium,,,unmatched,external,,,,,,,,,,,,
