hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,54,360.000000,m.181 beat 1.000,0.083333,P1,5,0,0
LH,54,360.500000,m.181 beat 1.500,0.083333,P1,5,0,0
LH,54,364.000000,m.183 beat 1.000,0.083333,P1,5,0,0
LH,54,365.000000,m.183 beat 2.000,0.083333,P1,5,0,0
LH,54,365.500000,m.183 beat 2.500,0.083333,P1,5,0,0
RH,85,360.000000,m.181 beat 1.000,0.333333,P1,1,0,0
RH,61,360.083333,m.181 beat 1.083,0.083333,P1,5,0,0
RH,64,360.166667,m.181 beat 1.167,0.083333,P1,5,0,0
RH,69,360.250000,m.181 beat 1.250,0.083333,P1,5,0,0
RH,64,360.333333,m.181 beat 1.333,0.083333,P1,5,0,0
RH,73,360.333333,m.181 beat 1.333,0.333333,P1,1,0,0
RH,80,360.333333,m.181 beat 1.333,0.333333,P1,1,0,0
RH,61,360.416667,m.181 beat 1.417,0.083333,P1,5,0,0
RH,61,360.583333,m.181 beat 1.583,0.083333,P1,5,0,0
RH,64,360.666667,m.181 beat 1.667,0.083333,P1,5,0,0
RH,69,360.750000,m.181 beat 1.750,0.083333,P1,5,0,0
RH,64,360.833333,m.181 beat 1.833,0.083333,P1,5,0,0
RH,61,360.916667,m.181 beat 1.917,0.083333,P1,5,0,0
RH,64,361.000000,m.181 beat 2.000,0.500000,P1,5,0,0
RH,68,361.000000,m.181 beat 2.000,0.500000,P1,5,0,0
RH,85,361.000000,m.181 beat 2.000,0.500000,P1,1,0,0
RH,92,361.000000,m.181 beat 2.000,0.500000,P1,1,0,0
RH,61,361.500000,m.181 beat 2.500,0.500000,P1,5,0,0
RH,66,361.500000,m.181 beat 2.500,0.500000,P1,5,0,0
RH,88,361.500000,m.181 beat 2.500,0.500000,P1,1,0,0
RH,90,361.500000,m.181 beat 2.500,0.500000,P1,1,0,0
RH,64,362.062500,m.182 beat 1.062,0.062500,P1,1,0,0
RH,73,362.125000,m.182 beat 1.125,0.062500,P1,1,0,0
RH,76,362.187500,m.182 beat 1.188,0.062500,P1,1,0,0
RH,73,362.250000,m.182 beat 1.250,0.062500,P1,1,0,0
RH,76,362.312500,m.182 beat 1.312,0.062500,P1,1,0,0
RH,85,362.375000,m.182 beat 1.375,0.062500,P1,1,0,0
RH,88,362.437500,m.182 beat 1.438,0.062500,P1,1,0,0
RH,85,362.500000,m.182 beat 1.500,0.062500,P1,1,0,0
RH,88,362.562500,m.182 beat 1.562,0.062500,P1,1,0,0
RH,97,362.625000,m.182 beat 1.625,0.062500,P1,1,0,0
RH,100,362.687500,m.182 beat 1.688,0.062500,P1,1,0,0
RH,100,363.250000,m.182 beat 2.250,0.062500,P1,1,0,0
RH,97,363.312500,m.182 beat 2.312,0.062500,P1,1,0,0
RH,88,363.375000,m.182 beat 2.375,0.062500,P1,1,0,0
RH,85,363.437500,m.182 beat 2.438,0.062500,P1,1,0,0
RH,88,363.500000,m.182 beat 2.500,0.062500,P1,1,0,0
RH,85,363.562500,m.182 beat 2.562,0.062500,P1,1,0,0
RH,76,363.625000,m.182 beat 2.625,0.062500,P1,1,0,0
RH,73,363.687500,m.182 beat 2.688,0.062500,P1,1,0,0
RH,76,363.750000,m.182 beat 2.750,0.062500,P1,1,0,0
RH,73,363.812500,m.182 beat 2.812,0.062500,P1,1,0,0
RH,76,363.875000,m.182 beat 2.875,0.062500,P1,1,0,0
RH,81,363.937500,m.182 beat 2.938,0.562500,P1,1,1,1
RH,88,364.000000,m.183 beat 1.000,0.500000,P1,1,0,0
RH,61,364.083333,m.183 beat 1.083,0.083333,P1,5,0,0
RH,64,364.166667,m.183 beat 1.167,0.083333,P1,5,0,0
RH,69,364.250000,m.183 beat 1.250,0.083333,P1,5,0,0
RH,73,364.333333,m.183 beat 1.333,0.083333,P1,5,0,0
