pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
72,62,1,616.25,0.0625,0.125,0.677083333,0.552083333,0.375,0.125,0.0,0.552083333,0,0,0,0.828890205,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:616.250000:1,medium,,,unmatched,external,,,,,,,,,,,,
72,62,1,616.25,0.0625,0.125,0.677083333,0.552083333,0.375,0.375,0.25,0.302083333,0,0,1,0.61855504,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:616.250000:1,medium,,,unmatched,external,,,,,,,,,,,,
63,78,2,616.25,0.0625,0.125,0.677083333,0.552083333,0.375,0.125,0.0,0.552083333,0,0,0,0.828890205,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:63:616.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
63,78,2,616.25,0.0625,0.125,0.677083333,0.552083333,0.375,0.375,0.25,0.302083333,0,0,1,0.61855504,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:63:616.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
72,69,1,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.125,0.0,0.177083333,0,0,0,0.902140079,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:616.625000:1,normal,,,unmatched,external,,,,,,,,,,,,
72,69,1,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.25,0.125,0.052083333,0,0,0,0.780013814,pedal-acoustic-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:616.625000:1,normal,,,unmatched,external,,,,,,,,,,,,
72,69,1,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.333333333,0.208333333,0.03125,0,0,0,0.702267046,pedal-acoustic-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:616.625000:1,normal,,,unmatched,external,,,,,,,,,,,,
72,69,1,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.375,0.25,0.072916667,0,0,1,0.67362618,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:616.625000:1,normal,,,unmatched,external,,,,,,,,,,,,
63,71,2,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.125,0.0,0.177083333,0,0,0,0.902140079,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:63:616.625000:2,normal,,,unmatched,external,,,,,,,,,,,,
63,71,2,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.25,0.125,0.052083333,0,0,0,0.780013814,pedal-acoustic-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:63:616.625000:2,normal,,,unmatched,external,,,,,,,,,,,,
63,71,2,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.333333333,0.208333333,0.03125,0,0,0,0.702267046,pedal-acoustic-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:63:616.625000:2,normal,,,unmatched,external,,,,,,,,,,,,
63,71,2,616.625,0.15625,0.125,0.302083333,0.177083333,0.375,0.375,0.25,0.072916667,0,0,1,0.67362618,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:63:616.625000:2,normal,,,unmatched,external,,,,,,,,,,,,
72,62,1,617.0,0.25,0.25,2.010416667,1.760416667,0.5,0.25,0.0,1.760416667,0,0,0,0.730233813,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.000000:1,medium,,,reference-duration-not-candidate,external,P1,1,479.0,1.0,0,0,,,,,,
72,62,1,617.0,0.25,0.25,2.010416667,1.760416667,0.5,0.333333333,0.083333333,1.677083334,0,0,0,0.625950738,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.000000:1,medium,,,reference-duration-not-candidate,external,P1,1,479.0,1.0,0,0,,,,,,
72,62,1,617.0,0.25,0.25,2.010416667,1.760416667,0.5,0.5,0.25,1.510416667,0,0,1,0.48538284,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.000000:1,medium,,,reference-duration-not-candidate,external,P1,1,479.0,1.0,0,0,,,,,,
64,69,2,617.0,0.25,0.25,2.010416667,1.760416667,0.5,0.25,0.0,1.760416667,0,0,0,0.730233813,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.000000:2,medium,,,reference-duration-not-candidate,external,P1,1,479.0,1.0,0,0,,,,,,
64,69,2,617.0,0.25,0.25,2.010416667,1.760416667,0.5,0.333333333,0.083333333,1.677083334,0,0,0,0.625950738,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.000000:2,medium,,,reference-duration-not-candidate,external,P1,1,479.0,1.0,0,0,,,,,,
64,69,2,617.0,0.25,0.25,2.010416667,1.760416667,0.5,0.5,0.25,1.510416667,0,0,1,0.48538284,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.000000:2,medium,,,reference-duration-not-candidate,external,P1,1,479.0,1.0,0,0,,,,,,
72,56,1,617.5,0.375,0.125,1.510416667,1.385416667,0.25,0.125,0.0,1.385416667,0,0,0,0.747416057,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
72,56,1,617.5,0.375,0.125,1.510416667,1.385416667,0.25,0.25,0.125,1.260416667,0,0,1,0.620250146,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
64,68,2,617.5,0.375,0.125,1.510416667,1.385416667,0.25,0.125,0.0,1.385416667,0,0,0,0.747416057,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
64,68,2,617.5,0.375,0.125,1.510416667,1.385416667,0.25,0.25,0.125,1.260416667,0,0,1,0.620250146,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
72,69,1,617.75,0.4375,0.125,1.260416667,1.135416667,0.375,0.125,0.0,1.135416667,0,0,0,0.764004982,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.750000:1,medium,,,unmatched,external,,,,,,,,,,,,
72,69,1,617.75,0.4375,0.125,1.260416667,1.135416667,0.375,0.375,0.25,0.885416667,0,0,1,0.53096915,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:617.750000:1,medium,,,unmatched,external,,,,,,,,,,,,
64,71,2,617.75,0.4375,0.125,1.260416667,1.135416667,0.375,0.125,0.0,1.135416667,0,0,0,0.764004982,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
64,71,2,617.75,0.4375,0.125,1.260416667,1.135416667,0.375,0.375,0.25,0.885416667,0,0,1,0.53096915,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:617.750000:2,medium,,,unmatched,external,,,,,,,,,,,,
72,78,1,618.125,0.53125,0.125,0.885416667,0.760416667,0.375,0.125,0.0,0.760416667,0,0,0,0.800379793,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:618.125000:1,medium,,,reference-duration-not-candidate,external,P1,1,480.0,2.0,0,0,,,,,,
72,78,1,618.125,0.53125,0.125,0.885416667,0.760416667,0.375,0.375,0.25,0.510416667,0,0,1,0.580070009,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:618.125000:1,medium,,,reference-duration-not-candidate,external,P1,1,480.0,2.0,0,0,,,,,,
64,82,2,618.125,0.53125,0.125,0.885416667,0.760416667,0.375,0.125,0.0,0.760416667,0,0,0,0.800379793,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:618.125000:2,medium,,,reference-duration-not-candidate,external,P1,1,480.0,2.0,0,0,,,,,,
64,82,2,618.125,0.53125,0.125,0.885416667,0.760416667,0.375,0.375,0.25,0.510416667,0,0,1,0.580070009,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:618.125000:2,medium,,,reference-duration-not-candidate,external,P1,1,480.0,2.0,0,0,,,,,,
72,82,1,618.5,0.625,0.125,0.510416667,0.385416667,0.375,0.125,0.0,0.385416667,0,0,0,0.857426852,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:618.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
72,82,1,618.5,0.625,0.125,0.510416667,0.385416667,0.375,0.375,0.25,0.135416667,0,0,1,0.657075484,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:618.500000:1,medium,,,unmatched,external,,,,,,,,,,,,
64,86,2,618.5,0.625,0.125,0.510416667,0.385416667,0.375,0.125,0.0,0.385416667,0,0,0,0.857426852,key-release-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:618.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
64,86,2,618.5,0.625,0.125,0.510416667,0.385416667,0.375,0.375,0.25,0.135416667,0,0,1,0.657075484,next-voice-onset,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:64:618.500000:2,medium,,,unmatched,external,,,,,,,,,,,,
72,80,1,618.875,0.71875,0.125,0.135416667,0.010416667,0.25,0.125,0.0,0.010416667,0,0,0,0.94689445,key-release-grid+pedal-acoustic-grid,SchubertImpromptu_op.90_D.899_1,RH,SchubertImpromptu_op.90_D.899_1:RH:72:618.875000:1,normal,,,unmatched,external,,,,,,,,,,,,
