hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,58,809.000000,m.270 beat 3.000,1.000000,P1,3,0,0
LH,51,810.000000,m.271 beat 1.000,1.000000,P1,3,0,0
LH,58,811.000000,m.271 beat 2.000,2.000000,P1,3,0,0
LH,46,813.000000,m.272 beat 1.000,1.000000,P1,3,0,0
LH,58,814.000000,m.272 beat 2.000,2.000000,P1,3,0,0
LH,51,816.000000,m.273 beat 1.000,1.000000,P1,3,0,0
LH,58,817.000000,m.273 beat 2.000,2.000000,P1,3,0,0
LH,56,819.000000,m.274 beat 1.000,1.000000,P1,3,0,0
LH,59,819.000000,m.274 beat 1.000,1.000000,P1,3,0,0
LH,58,820.000000,m.274 beat 2.000,1.000000,P1,3,0,0
LH,58,821.000000,m.274 beat 3.000,1.000000,P1,3,0,0
LH,51,822.000000,m.275 beat 1.000,1.000000,P1,3,0,0
LH,58,823.000000,m.275 beat 2.000,2.000000,P1,3,0,0
LH,56,825.000000,m.276 beat 1.000,1.000000,P1,3,0,0
LH,59,825.000000,m.276 beat 1.000,1.000000,P1,3,0,0
LH,58,826.000000,m.276 beat 2.000,1.000000,P1,3,0,0
LH,58,827.000000,m.276 beat 3.000,1.000000,P1,3,0,0
LH,51,828.000000,m.277 beat 1.000,2.000000,P1,3,0,0
LH,54,828.000000,m.277 beat 1.000,2.000000,P1,3,0,0
LH,58,828.000000,m.277 beat 1.000,2.000000,P1,3,0,0
LH,51,830.000000,m.277 beat 3.000,0.500000,P1,3,0,0
LH,56,830.000000,m.277 beat 3.000,0.500000,P1,3,0,0
LH,59,830.000000,m.277 beat 3.000,0.500000,P1,3,0,0
LH,51,831.000000,m.278 beat 1.000,2.000000,P1,3,0,0
LH,54,831.000000,m.278 beat 1.000,2.000000,P1,3,0,0
LH,58,831.000000,m.278 beat 1.000,2.000000,P1,3,0,0
LH,51,833.000000,m.278 beat 3.000,0.500000,P1,3,0,0
LH,56,833.000000,m.278 beat 3.000,0.500000,P1,3,0,0
LH,59,833.000000,m.278 beat 3.000,0.500000,P1,3,0,0
LH,39,834.000000,m.279 beat 1.000,2.000000,P1,3,0,0
LH,42,834.000000,m.279 beat 1.000,2.000000,P1,3,0,0
LH,46,834.000000,m.279 beat 1.000,2.000000,P1,3,0,0
LH,51,834.000000,m.279 beat 1.000,2.000000,P1,3,0,0
LH,44,836.000000,m.279 beat 3.000,0.500000,P1,3,0,0
LH,47,836.000000,m.279 beat 3.000,0.500000,P1,3,0,0
LH,51,836.000000,m.279 beat 3.000,0.500000,P1,3,0,0
RH,65,809.000000,m.270 beat 3.000,0.500000,P1,1,0,0
RH,65,809.000000,m.270 beat 3.000,1.000000,P1,3,0,0
RH,68,809.000000,m.270 beat 3.000,1.000000,P1,3,0,0
RH,74,809.000000,m.270 beat 3.000,0.500000,P1,1,0,0
RH,77,809.500000,m.270 beat 3.500,0.500000,P1,1,0,0
RH,75,810.000000,m.271 beat 1.000,3.000000,P1,1,0,0
RH,63,811.000000,m.271 beat 2.000,0.333333,P1,2,0,0
RH,63,811.000000,m.271 beat 2.000,2.000000,P1,3,0,0
RH,66,811.000000,m.271 beat 2.000,2.000000,P1,3,0,0
RH,66,811.333333,m.271 beat 2.333,0.333333,P1,2,0,0
RH,70,811.666667,m.271 beat 2.667,0.333333,P1,2,0,0
RH,63,812.000000,m.271 beat 3.000,1.000000,P1,2,0,0
RH,82,813.000000,m.272 beat 1.000,3.000000,P1,1,0,0
