segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:LH:56:249.375000:1,LH,56,249.375000,m.125 beat 2.375,1,0.125,2.473958333,2.348958333,9.375,medium,P1,5,228.0,0.5,0,0,labeled,0.125000;0.625000;2.333333;2.500000;9.375000,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,change,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:61:254.000000:5,RH,61,254.000000,m.128 beat 1.000,5,0.875,0.875,0.0,-1.0,normal,P1,6,232.0,2.5,1,1,reference-duration-not-candidate,0.875000;1.000000;2.000000,barline;key-release-grid+pedal-acoustic-grid,no,change,none,2.5,notation-shortening,reference duration 2.5; shorten acoustic extension to 2.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:62:251.750000:1,RH,62,251.750000,m.126 beat 2.750,1,0.75,2.494791667,1.744791667,2.375,medium,P1,5,230.0,0.5,0,0,reference-duration-not-candidate,0.250000;0.666667;0.750000;2.333333;2.375000,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,change,none,0.5,independent-voice,independent voice: written 0.5 covers following RH onset (gap 2.375)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:248.125000:1,RH,63,248.125000,m.125 beat 1.125,1,0.375,1.208333333,0.833333333,0.541666667,medium,P1,5,227.0,0.5,0,0,ambiguous-candidate,0.333333;0.375000;0.500000;0.541667,key-release-grid;next-voice-onset,uncertain,uncertain,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:248.666667:1,RH,63,248.666667,m.125 beat 1.667,1,0.125,0.666666667,0.541666667,1.458333333,medium,P1,5,227.5,0.5,0,0,labeled,0.125000;0.625000;0.666667;0.750000;1.333333;1.458333,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:250.125000:1,RH,63,250.125000,m.126 beat 1.125,1,0.125,1.723958333,1.598958333,0.5,medium,P1,5,228.5,0.5,0,0,labeled,0.125000;0.500000,key-release-grid;next-voice-onset,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:250.625000:1,RH,63,250.625000,m.126 beat 1.625,1,0.125,1.223958333,1.098958333,0.5,medium,P1,5,229.0,0.5,0,0,labeled,0.125000;0.500000,key-release-grid;next-voice-onset,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:251.125000:1,RH,63,251.125000,m.126 beat 2.125,1,0.25,0.723958333,0.473958333,0.625,medium,P1,5,229.5,0.5,0,0,labeled,0.250000;0.333333;0.625000,key-release-grid;next-voice-onset,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:252.375000:5,RH,63,252.375000,m.127 beat 1.375,5,0.25,1.869791667,1.619791667,0.375,medium,P1,5,230.5,0.5,0,0,labeled,0.250000;0.333333;0.375000,key-release-grid;next-voice-onset,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
Schubert_Impromptu_op142_1_125,SchubertImpromptu_op142_1,Schubert,Impromptu_op142_1,SchubertImpromptu_op142_1:RH:63:252.750000:5,RH,63,252.750000,m.127 beat 1.750,5,0.25,1.494791667,1.244791667,0.625,medium,P1,5,231.0,0.5,0,0,labeled,0.250000;0.333333;0.625000,key-release-grid;next-voice-onset,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail)
