hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,53,2381.750000,m.596 beat 2.750,0.250000,P1,5,0,0
LH,47,2382.000000,m.596 beat 3.000,0.250000,P1,5,0,0
LH,59,2382.250000,m.596 beat 3.250,0.250000,P1,5,0,0
LH,47,2382.500000,m.596 beat 3.500,0.250000,P1,5,0,0
LH,59,2382.750000,m.596 beat 3.750,0.250000,P1,5,0,0
LH,40,2383.000000,m.596 beat 4.000,0.250000,P1,5,0,0
LH,52,2383.250000,m.596 beat 4.250,0.250000,P1,5,0,0
LH,40,2383.500000,m.596 beat 4.500,0.250000,P1,5,0,0
LH,52,2383.750000,m.596 beat 4.750,0.250000,P1,5,0,0
LH,41,2384.000000,m.597 beat 1.000,0.250000,P1,5,0,0
LH,53,2384.250000,m.597 beat 1.250,0.250000,P1,5,0,0
LH,41,2384.500000,m.597 beat 1.500,0.250000,P1,5,0,0
LH,53,2384.750000,m.597 beat 1.750,0.250000,P1,5,0,0
LH,41,2385.000000,m.597 beat 2.000,0.250000,P1,5,0,0
LH,45,2385.000000,m.597 beat 2.000,0.250000,P1,5,0,0
LH,50,2385.000000,m.597 beat 2.000,0.250000,P1,5,0,0
LH,53,2385.250000,m.597 beat 2.250,0.250000,P1,5,0,0
LH,41,2385.500000,m.597 beat 2.500,0.250000,P1,5,0,0
LH,45,2385.500000,m.597 beat 2.500,0.250000,P1,5,0,0
LH,50,2385.500000,m.597 beat 2.500,0.250000,P1,5,0,0
LH,53,2385.750000,m.597 beat 2.750,0.250000,P1,5,0,0
LH,43,2386.000000,m.597 beat 3.000,0.250000,P1,5,0,0
LH,48,2386.000000,m.597 beat 3.000,0.250000,P1,5,0,0
LH,52,2386.000000,m.597 beat 3.000,0.250000,P1,5,0,0
LH,55,2386.250000,m.597 beat 3.250,0.250000,P1,5,0,0
LH,43,2386.500000,m.597 beat 3.500,0.250000,P1,5,0,0
LH,48,2386.500000,m.597 beat 3.500,0.250000,P1,5,0,0
LH,52,2386.500000,m.597 beat 3.500,0.250000,P1,5,0,0
LH,55,2386.750000,m.597 beat 3.750,0.250000,P1,5,0,0
LH,43,2387.000000,m.597 beat 4.000,0.250000,P1,5,0,0
LH,47,2387.000000,m.597 beat 4.000,0.250000,P1,5,0,0
LH,50,2387.000000,m.597 beat 4.000,0.250000,P1,5,0,0
LH,55,2387.250000,m.597 beat 4.250,0.250000,P1,5,0,0
LH,43,2387.500000,m.597 beat 4.500,0.250000,P1,5,0,0
LH,47,2387.500000,m.597 beat 4.500,0.250000,P1,5,0,0
LH,50,2387.500000,m.597 beat 4.500,0.250000,P1,5,0,0
LH,55,2387.750000,m.597 beat 4.750,0.250000,P1,5,0,0
LH,52,2388.000000,m.598 beat 1.000,0.250000,P1,5,0,0
LH,55,2388.000000,m.598 beat 1.000,0.250000,P1,5,0,0
LH,52,2388.500000,m.598 beat 1.500,0.250000,P1,5,0,0
LH,55,2388.500000,m.598 beat 1.500,0.250000,P1,5,0,0
LH,53,2389.000000,m.598 beat 2.000,0.250000,P1,5,0,0
LH,57,2389.000000,m.598 beat 2.000,0.250000,P1,5,0,0
LH,53,2389.500000,m.598 beat 2.500,0.250000,P1,5,0,0
LH,57,2389.500000,m.598 beat 2.500,0.250000,P1,5,0,0
LH,55,2390.000000,m.598 beat 3.000,0.250000,P1,5,0,0
LH,55,2390.500000,m.598 beat 3.500,0.250000,P1,5,0,0
LH,55,2391.000000,m.598 beat 4.000,0.250000,P1,5,0,0
RH,88,2381.750000,m.596 beat 2.750,0.250000,P1,1,0,0
RH,93,2382.000000,m.596 beat 3.000,0.250000,P1,1,0,0
RH,98,2382.000000,m.596 beat 3.000,0.250000,P1,1,0,0
RH,86,2382.250000,m.596 beat 3.250,0.250000,P1,1,0,0
RH,93,2382.500000,m.596 beat 3.500,0.250000,P1,1,0,0
RH,98,2382.500000,m.596 beat 3.500,0.250000,P1,1,0,0
RH,86,2382.750000,m.596 beat 3.750,0.250000,P1,1,0,0
RH,92,2383.000000,m.596 beat 4.000,0.250000,P1,1,0,0
RH,98,2383.000000,m.596 beat 4.000,0.250000,P1,1,0,0
RH,86,2383.250000,m.596 beat 4.250,0.250000,P1,1,0,0
RH,92,2383.500000,m.596 beat 4.500,0.250000,P1,1,0,0
RH,98,2383.500000,m.596 beat 4.500,0.250000,P1,1,0,0
RH,86,2383.750000,m.596 beat 4.750,0.250000,P1,1,0,0
RH,93,2384.000000,m.597 beat 1.000,0.250000,P1,1,0,0
RH,96,2384.000000,m.597 beat 1.000,0.250000,P1,1,0,0
RH,84,2384.250000,m.597 beat 1.250,0.250000,P1,1,0,0
RH,93,2384.500000,m.597 beat 1.500,0.250000,P1,1,0,0
RH,96,2384.500000,m.597 beat 1.500,0.250000,P1,1,0,0
RH,84,2384.750000,m.597 beat 1.750,0.250000,P1,1,0,0
RH,89,2385.000000,m.597 beat 2.000,0.250000,P1,1,0,0
RH,93,2385.000000,m.597 beat 2.000,0.250000,P1,1,0,0
RH,98,2385.000000,m.597 beat 2.000,0.250000,P1,1,0,0
RH,86,2385.250000,m.597 beat 2.250,0.250000,P1,1,0,0
RH,89,2385.500000,m.597 beat 2.500,0.250000,P1,1,0,0
RH,93,2385.500000,m.597 beat 2.500,0.250000,P1,1,0,0
RH,98,2385.500000,m.597 beat 2.500,0.250000,P1,1,0,0
RH,86,2385.750000,m.597 beat 2.750,0.250000,P1,1,0,0
RH,88,2386.000000,m.597 beat 3.000,0.250000,P1,1,0,0
RH,91,2386.000000,m.597 beat 3.000,0.250000,P1,1,0,0
RH,96,2386.000000,m.597 beat 3.000,0.250000,P1,1,0,0
RH,84,2386.250000,m.597 beat 3.250,0.250000,P1,1,0,0
RH,88,2386.500000,m.597 beat 3.500,0.250000,P1,1,0,0
RH,91,2386.500000,m.597 beat 3.500,0.250000,P1,1,0,0
RH,96,2386.500000,m.597 beat 3.500,0.250000,P1,1,0,0
RH,84,2386.750000,m.597 beat 3.750,0.250000,P1,1,0,0
RH,86,2387.000000,m.597 beat 4.000,0.250000,P1,1,0,0
RH,91,2387.000000,m.597 beat 4.000,0.250000,P1,1,0,0
RH,95,2387.000000,m.597 beat 4.000,0.250000,P1,1,0,0
RH,83,2387.250000,m.597 beat 4.250,0.250000,P1,1,0,0
RH,86,2387.500000,m.597 beat 4.500,0.250000,P1,1,0,0
RH,91,2387.500000,m.597 beat 4.500,0.250000,P1,1,0,0
RH,95,2387.500000,m.597 beat 4.500,0.250000,P1,1,0,0
RH,83,2387.750000,m.597 beat 4.750,0.250000,P1,1,0,0
