pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
69,99,1,220.0,0.0,0.5,0.975,0.475,1.0,0.5,0.0,0.475,0,0,0,0.84138136,key-release-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:69:220.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
69,99,1,220.0,0.0,0.5,0.975,0.475,1.0,0.666666667,0.166666667,0.308333333,0,0,0,0.6742555,key-release-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:69:220.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
69,99,1,220.0,0.0,0.5,0.975,0.475,1.0,1.0,0.5,0.025,0,0,1,0.520126992,next-voice-onset+pedal-acoustic-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:69:220.000000:1,medium,,,unmatched,external,,,,,,,,,,,,
81,88,2,220.25,0.0625,0.25,0.725,0.475,1.125,0.25,0.0,0.475,0,0,0,0.84138136,key-release-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:81:220.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
81,88,2,220.25,0.0625,0.25,0.725,0.475,1.125,0.333333333,0.083333333,0.391666667,0,0,0,0.748787775,key-release-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:81:220.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
81,88,2,220.25,0.0625,0.25,0.725,0.475,1.125,0.666666667,0.416666667,0.058333333,0,0,0,0.537317201,pedal-acoustic-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:81:220.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
81,88,2,220.25,0.0625,0.25,0.725,0.475,1.125,0.75,0.5,0.025,0,0,0,0.500126992,pedal-acoustic-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:81:220.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
81,88,2,220.25,0.0625,0.25,0.725,0.475,1.125,1.125,0.875,0.4,0,0,1,0.296337608,next-voice-onset,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:81:220.250000:2,medium,,,unmatched,external,,,,,,,,,,,,
74,88,3,220.375,0.09375,0.25,0.6,0.35,0.25,0.25,0.0,0.35,0,0,1,0.884261705,key-release-grid+next-voice-onset,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:74:220.375000:3,medium,,,unmatched,external,,,,,,,,,,,,
75,85,3,220.625,0.15625,0.375,0.375,0.0,1.125,0.375,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,SchumannKreisleriana_5,RH,SchumannKreisleriana_5:RH:75:220.625000:3,normal,,,unmatched,external,,,,,,,,,,,,
