hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,38,162.000000,m.82 beat 1.000,1.000000,P1,5,0,0
LH,50,162.000000,m.82 beat 1.000,1.000000,P1,5,0,0
LH,56,162.750000,m.82 beat 1.750,0.250000,P1,2,0,0
LH,50,163.000000,m.82 beat 2.000,1.000000,P1,5,0,0
LH,31,164.000000,m.83 beat 1.000,1.000000,P1,5,0,0
LH,43,164.000000,m.83 beat 1.000,1.000000,P1,5,0,0
LH,59,164.250000,m.83 beat 1.250,0.250000,P1,2,0,0
LH,57,164.500000,m.83 beat 1.500,0.250000,P1,2,0,0
LH,55,164.750000,m.83 beat 1.750,0.250000,P1,2,0,0
LH,50,165.000000,m.83 beat 2.000,1.000000,P1,5,0,0
RH,67,161.750000,m.81 beat 2.750,0.250000,P1,2,0,0
RH,65,162.000000,m.82 beat 1.000,1.000000,P1,1,0,0
RH,65,162.000000,m.82 beat 1.000,0.250000,P1,2,0,0
RH,62,162.500000,m.82 beat 1.500,0.250000,P1,2,0,0
RH,77,163.000000,m.82 beat 2.000,0.500000,P1,1,0,0
RH,65,163.500000,m.82 beat 2.500,0.500000,P1,1,0,0
RH,65,163.500000,m.82 beat 2.500,0.250000,P1,2,0,0
RH,67,163.750000,m.82 beat 2.750,0.250000,P1,2,0,0
RH,65,164.000000,m.83 beat 1.000,1.000000,P1,1,0,0
RH,65,164.000000,m.83 beat 1.000,0.250000,P1,2,0,0
RH,71,165.000000,m.83 beat 2.000,0.500000,P1,1,0,0
RH,65,165.500000,m.83 beat 2.500,0.500000,P1,1,0,0
RH,65,165.500000,m.83 beat 2.500,0.250000,P1,2,0,0
