hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,59,244.250000,m.123 beat 1.250,0.250000,P1,5,0,0
LH,54,244.500000,m.123 beat 1.500,0.250000,P1,5,0,0
LH,54,244.500000,m.123 beat 1.500,1.000000,P1,6,0,0
LH,59,244.750000,m.123 beat 1.750,0.250000,P1,5,0,0
LH,59,245.000000,m.123 beat 2.000,0.250000,P1,5,0,0
LH,59,245.250000,m.123 beat 2.250,0.250000,P1,5,0,0
LH,54,245.500000,m.123 beat 2.500,0.250000,P1,5,0,0
LH,54,245.500000,m.123 beat 2.500,0.500000,P1,6,0,0
LH,59,245.750000,m.123 beat 2.750,0.250000,P1,5,0,0
LH,50,246.000000,m.124 beat 1.000,0.250000,P1,5,0,0
LH,52,248.000000,m.125 beat 1.000,0.250000,P1,5,0,0
LH,52,250.000000,m.126 beat 1.000,0.250000,P1,5,0,0
LH,59,250.500000,m.126 beat 1.500,0.250000,P1,5,0,0
LH,59,250.500000,m.126 beat 1.500,1.000000,P1,6,0,0
LH,59,251.500000,m.126 beat 2.500,0.250000,P1,5,0,0
LH,59,251.500000,m.126 beat 2.500,0.500000,P1,6,0,0
RH,62,244.250000,m.123 beat 1.250,0.250000,P1,5,0,0
RH,71,244.250000,m.123 beat 1.250,0.250000,P1,1,0,0
RH,83,244.250000,m.123 beat 1.250,0.250000,P1,1,0,0
RH,71,244.500000,m.123 beat 1.500,0.250000,P1,1,0,0
RH,83,244.500000,m.123 beat 1.500,0.250000,P1,1,0,0
RH,62,244.750000,m.123 beat 1.750,0.250000,P1,5,0,0
RH,71,244.750000,m.123 beat 1.750,0.250000,P1,1,0,0
RH,83,244.750000,m.123 beat 1.750,0.250000,P1,1,0,0
RH,62,245.000000,m.123 beat 2.000,0.250000,P1,5,0,0
RH,71,245.000000,m.123 beat 2.000,0.250000,P1,1,0,0
RH,83,245.000000,m.123 beat 2.000,0.250000,P1,1,0,0
RH,62,245.250000,m.123 beat 2.250,0.250000,P1,5,0,0
RH,73,245.250000,m.123 beat 2.250,0.250000,P1,1,0,0
RH,85,245.250000,m.123 beat 2.250,0.250000,P1,1,0,0
RH,74,245.500000,m.123 beat 2.500,0.250000,P1,1,0,0
RH,86,245.500000,m.123 beat 2.500,0.250000,P1,1,0,0
RH,62,245.750000,m.123 beat 2.750,0.250000,P1,5,0,0
RH,76,245.750000,m.123 beat 2.750,0.250000,P1,1,0,0
RH,88,245.750000,m.123 beat 2.750,0.250000,P1,1,0,0
RH,78,246.000000,m.124 beat 1.000,0.250000,P1,1,0,0
RH,90,246.000000,m.124 beat 1.000,0.250000,P1,1,0,0
RH,66,246.250000,m.124 beat 1.250,0.250000,P1,5,0,0
RH,71,246.250000,m.124 beat 1.250,0.250000,P1,5,0,0
RH,78,246.250000,m.124 beat 1.250,0.250000,P1,1,0,0
RH,90,246.250000,m.124 beat 1.250,0.250000,P1,1,0,0
RH,62,246.500000,m.124 beat 1.500,0.250000,P1,5,0,0
RH,62,246.500000,m.124 beat 1.500,1.000000,P1,6,0,0
RH,78,246.500000,m.124 beat 1.500,0.250000,P1,1,0,0
RH,90,246.500000,m.124 beat 1.500,0.250000,P1,1,0,0
RH,66,246.750000,m.124 beat 1.750,0.250000,P1,5,0,0
RH,71,246.750000,m.124 beat 1.750,0.250000,P1,5,0,0
RH,78,246.750000,m.124 beat 1.750,0.250000,P1,1,0,0
RH,90,246.750000,m.124 beat 1.750,0.250000,P1,1,0,0
RH,66,247.000000,m.124 beat 2.000,0.250000,P1,5,0,0
RH,71,247.000000,m.124 beat 2.000,0.250000,P1,5,0,0
RH,83,247.000000,m.124 beat 2.000,0.250000,P1,1,0,0
RH,95,247.000000,m.124 beat 2.000,0.250000,P1,1,0,0
RH,66,247.250000,m.124 beat 2.250,0.250000,P1,5,0,0
RH,71,247.250000,m.124 beat 2.250,0.250000,P1,5,0,0
RH,81,247.250000,m.124 beat 2.250,0.250000,P1,1,0,0
RH,93,247.250000,m.124 beat 2.250,0.250000,P1,1,0,0
RH,62,247.500000,m.124 beat 2.500,0.250000,P1,5,0,0
RH,62,247.500000,m.124 beat 2.500,0.500000,P1,6,0,0
RH,80,247.500000,m.124 beat 2.500,0.250000,P1,1,0,0
RH,92,247.500000,m.124 beat 2.500,0.250000,P1,1,0,0
RH,66,247.750000,m.124 beat 2.750,0.250000,P1,5,0,0
RH,71,247.750000,m.124 beat 2.750,0.250000,P1,5,0,0
RH,78,247.750000,m.124 beat 2.750,0.250000,P1,1,0,0
RH,90,247.750000,m.124 beat 2.750,0.250000,P1,1,0,0
RH,76,248.000000,m.125 beat 1.000,0.250000,P1,1,0,0
RH,88,248.000000,m.125 beat 1.000,0.250000,P1,1,0,0
RH,64,248.250000,m.125 beat 1.250,0.250000,P1,5,0,0
RH,69,248.250000,m.125 beat 1.250,0.250000,P1,5,0,0
RH,76,248.250000,m.125 beat 1.250,0.250000,P1,1,0,0
RH,88,248.250000,m.125 beat 1.250,0.250000,P1,1,0,0
RH,61,248.500000,m.125 beat 1.500,0.250000,P1,5,0,0
RH,61,248.500000,m.125 beat 1.500,1.000000,P1,6,0,0
RH,76,248.500000,m.125 beat 1.500,0.250000,P1,1,0,0
RH,88,248.500000,m.125 beat 1.500,0.250000,P1,1,0,0
RH,64,248.750000,m.125 beat 1.750,0.250000,P1,5,0,0
RH,69,248.750000,m.125 beat 1.750,0.250000,P1,5,0,0
RH,76,248.750000,m.125 beat 1.750,0.250000,P1,1,0,0
RH,88,248.750000,m.125 beat 1.750,0.250000,P1,1,0,0
RH,64,249.000000,m.125 beat 2.000,0.250000,P1,5,0,0
RH,69,249.000000,m.125 beat 2.000,0.250000,P1,5,0,0
RH,81,249.000000,m.125 beat 2.000,0.250000,P1,1,0,0
RH,93,249.000000,m.125 beat 2.000,0.250000,P1,1,0,0
RH,64,249.250000,m.125 beat 2.250,0.250000,P1,5,0,0
RH,69,249.250000,m.125 beat 2.250,0.250000,P1,5,0,0
RH,80,249.250000,m.125 beat 2.250,0.250000,P1,1,0,0
RH,92,249.250000,m.125 beat 2.250,0.250000,P1,1,0,0
RH,61,249.500000,m.125 beat 2.500,0.250000,P1,5,0,0
RH,61,249.500000,m.125 beat 2.500,0.500000,P1,6,0,0
RH,78,249.500000,m.125 beat 2.500,0.250000,P1,1,0,0
RH,90,249.500000,m.125 beat 2.500,0.250000,P1,1,0,0
RH,64,249.750000,m.125 beat 2.750,0.250000,P1,5,0,0
RH,69,249.750000,m.125 beat 2.750,0.250000,P1,5,0,0
RH,76,249.750000,m.125 beat 2.750,0.250000,P1,1,0,0
RH,88,249.750000,m.125 beat 2.750,0.250000,P1,1,0,0
RH,74,250.000000,m.126 beat 1.000,0.250000,P1,1,0,0
RH,86,250.000000,m.126 beat 1.000,0.250000,P1,1,0,0
RH,62,250.250000,m.126 beat 1.250,0.250000,P1,5,0,0
RH,68,250.250000,m.126 beat 1.250,0.250000,P1,5,0,0
RH,74,250.250000,m.126 beat 1.250,0.250000,P1,1,0,0
RH,86,250.250000,m.126 beat 1.250,0.250000,P1,1,0,0
RH,74,250.500000,m.126 beat 1.500,0.250000,P1,1,0,0
RH,86,250.500000,m.126 beat 1.500,0.250000,P1,1,0,0
RH,62,250.750000,m.126 beat 1.750,0.250000,P1,5,0,0
RH,68,250.750000,m.126 beat 1.750,0.250000,P1,5,0,0
RH,74,250.750000,m.126 beat 1.750,0.250000,P1,1,0,0
RH,86,250.750000,m.126 beat 1.750,0.250000,P1,1,0,0
RH,62,251.000000,m.126 beat 2.000,0.250000,P1,5,0,0
RH,68,251.000000,m.126 beat 2.000,0.250000,P1,5,0,0
RH,80,251.000000,m.126 beat 2.000,0.250000,P1,1,0,0
RH,92,251.000000,m.126 beat 2.000,0.250000,P1,1,0,0
RH,62,251.250000,m.126 beat 2.250,0.250000,P1,5,0,0
RH,68,251.250000,m.126 beat 2.250,0.250000,P1,5,0,0
RH,78,251.250000,m.126 beat 2.250,0.250000,P1,1,0,0
RH,90,251.250000,m.126 beat 2.250,0.250000,P1,1,0,0
RH,76,251.500000,m.126 beat 2.500,0.250000,P1,1,0,0
RH,88,251.500000,m.126 beat 2.500,0.250000,P1,1,0,0
RH,62,251.750000,m.126 beat 2.750,0.250000,P1,5,0,0
RH,68,251.750000,m.126 beat 2.750,0.250000,P1,5,0,0
RH,74,251.750000,m.126 beat 2.750,0.250000,P1,1,0,0
RH,86,251.750000,m.126 beat 2.750,0.250000,P1,1,0,0
