segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:25:1260.750000:1,LH,25,1260.750000,m.316 beat 1.750,1,0.125,16.591145833,16.466145833,0.375,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:27:1256.000000:1,LH,27,1256.000000,m.315 beat 1.000,1,0.125,21.341145833,21.216145833,0.5,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000,key-release-grid;next-voice-onset;P1.5-extended,uncertain,uncertain,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:27:1260.750000:1,LH,27,1260.750000,m.316 beat 1.750,1,0.125,16.591145833,16.466145833,0.375,medium,P2,1,1215.0,3.0,0,1,reference-duration-not-candidate,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail)
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:27:1264.750000:1,LH,27,1264.750000,m.317 beat 1.750,1,0.125,12.591145833,12.466145833,0.375,medium,P2,3,1218.0,3.0,0,1,reference-duration-not-candidate,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail)
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:27:1270.500000:1,LH,27,1270.500000,m.318 beat 3.500,1,0.125,6.841145833,6.716145833,0.75,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;0.750000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:37:1260.750000:1,LH,37,1260.750000,m.316 beat 1.750,1,0.125,16.591145833,16.466145833,0.375,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1256.000000:1,LH,39,1256.000000,m.315 beat 1.000,1,0.125,21.341145833,21.216145833,0.5,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000,key-release-grid;next-voice-onset;P1.5-extended,uncertain,uncertain,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1260.750000:1,LH,39,1260.750000,m.316 beat 1.750,1,0.125,16.591145833,16.466145833,0.375,medium,P2,1,1215.0,3.0,0,1,reference-duration-not-candidate,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail)
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1264.750000:1,LH,39,1264.750000,m.317 beat 1.750,1,0.125,12.591145833,12.466145833,0.375,medium,P2,3,1218.0,3.0,0,1,reference-duration-not-candidate,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail)
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1270.500000:1,LH,39,1270.500000,m.318 beat 3.500,1,0.125,6.841145833,6.716145833,0.75,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;0.750000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:46:1271.333333:2,LH,46,1271.333333,m.318 beat 4.333,2,0.125,6.0078125,5.8828125,6.916666667,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;0.666667;1.000000;6.000000,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:48:1256.625000:1,LH,48,1256.625000,m.315 beat 1.625,1,0.125,20.716145833,20.591145833,4.125,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;1.000000;3.375000;4.125000,barline;key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:48:1261.125000:1,LH,48,1261.125000,m.316 beat 2.125,1,0.125,16.216145833,16.091145833,3.625,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;1.000000;2.875000;3.625000,barline;key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:48:1265.125000:1,LH,48,1265.125000,m.317 beat 2.125,1,0.125,12.216145833,12.091145833,5.0,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;1.000000;2.875000;5.000000,barline;key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:53:1270.125000:1,LH,53,1270.125000,m.318 beat 3.125,1,0.25,7.216145833,6.966145833,0.375,medium,P2,1,1220.75,0.25,0,0,ambiguous-candidate,0.125000;0.166667;0.250000;0.333333;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.25,,routine; written duration follows score/readability
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:54:1261.125000:1,LH,54,1261.125000,m.316 beat 2.125,1,0.125,16.216145833,16.091145833,3.625,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;1.000000;2.875000;3.625000,barline;key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Scriabin_Sonatas_5_315,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:54:1265.125000:1,LH,54,1265.125000,m.317 beat 2.125,1,0.125,12.216145833,12.091145833,5.0,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;1.000000;2.875000;5.000000,barline;key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
