hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,62,1.250000,P1,5,62,0.000000
RH,68,1.250000,P1,5,68,0.000000
RH,89,1.250000,P1,1,89,0.000000
LH,58,1.333333,P1,5,58,0.000000
LH,46,2.250000,P1,5,46,1.000000
LH,58,2.250000,P1,1,58,1.000000
LH,50,2.500000,P1,5,50,1.250000
LH,58,2.500000,P1,1,58,1.000000
LH,46,2.625000,P1,5,46,1.000000
LH,50,2.750000,P1,5,50,1.250000
RH,62,2.750000,P1,1,62,1.250000
RH,65,2.875000,P1,1,65,1.500000
LH,50,3.000000,P1,5,50,1.500000
RH,62,3.000000,P1,1,62,1.750000
LH,53,3.125000,P1,5,53,1.750000
LH,50,3.250000,P1,5,50,2.000000
RH,65,3.250000,P1,1,65,2.000000
LH,53,3.375000,P1,5,53,2.250000
RH,68,3.375000,P1,1,68,2.250000
LH,50,3.500000,P1,5,50,2.500000
RH,65,3.500000,P1,1,65,2.500000
LH,53,3.666667,P1,5,53,2.750000
RH,62,3.666667,P1,1,62,2.750000
LH,53,3.875000,P1,5,53,3.000000
RH,68,3.875000,P1,1,68,3.000000
LH,56,4.000000,P1,5,56,3.250000
RH,65,4.000000,P1,1,65,3.250000
RH,68,4.125000,P1,1,68,3.500000
LH,53,4.250000,P1,5,53,3.500000
RH,70,4.333333,P1,1,70,3.750000
LH,56,4.375000,P1,5,56,3.750000
LH,53,4.500000,P1,5,53,4.000000
RH,68,4.500000,P1,1,68,4.000000
LH,56,4.625000,P1,5,56,4.250000
RH,65,4.625000,P1,1,65,4.250000
LH,58,4.750000,P1,5,58,4.500000
RH,70,4.750000,P1,1,70,4.500000
RH,62,5.000000,P1,5,62,4.750000
RH,68,5.000000,P1,1,68,4.750000
LH,58,5.125000,P1,5,58,5.000000
RH,70,5.125000,P1,1,70,5.000000
RH,62,5.250000,P1,5,62,5.250000
RH,74,5.250000,P1,1,74,5.250000
LH,58,5.500000,P1,5,58,5.500000
RH,70,5.500000,P1,1,70,5.500000
RH,62,5.625000,P1,5,62,5.750000
RH,68,5.625000,P1,1,68,5.750000
RH,62,5.875000,P1,5,62,6.000000
RH,77,5.875000,P1,1,77,6.000000
RH,65,6.000000,P1,5,65,6.250000
RH,74,6.000000,P1,1,74,6.250000
RH,62,6.125000,P1,5,62,6.500000
RH,77,6.125000,P1,1,77,6.500000
RH,65,6.250000,P1,5,65,6.750000
RH,80,6.250000,P1,1,80,6.750000
RH,62,6.375000,P1,5,62,7.000000
RH,77,6.375000,P1,1,77,7.000000
RH,65,6.500000,P1,5,65,7.250000
RH,74,6.500000,P1,1,74,7.250000
RH,65,6.750000,P1,5,65,7.500000
RH,80,6.750000,P1,1,80,7.500000
RH,68,6.875000,P1,5,68,7.750000
RH,77,6.875000,P1,1,77,7.750000
RH,65,7.000000,P1,5,65,8.000000
RH,80,7.000000,P1,1,80,8.000000
RH,68,7.250000,P1,5,68,8.250000
RH,82,7.250000,P1,1,82,8.250000
RH,65,7.375000,P1,5,65,8.500000
RH,80,7.375000,P1,1,80,8.500000
RH,68,7.500000,P1,5,68,8.750000
RH,77,7.500000,P1,1,77,8.750000
RH,82,7.666667,P1,1,82,9.000000
RH,74,7.875000,P1,5,74,9.000000
RH,80,7.875000,P1,1,80,9.250000
RH,82,8.000000,P1,1,82,9.500000
RH,74,8.125000,P1,5,74,9.500000
RH,86,8.125000,P1,1,86,9.750000
RH,82,8.333333,P1,1,82,10.000000
RH,74,8.500000,P1,5,74,10.000000
RH,80,8.500000,P1,1,80,10.250000
RH,86,8.625000,P1,1,86,10.500000
RH,77,8.875000,P1,5,77,10.500000
RH,82,8.875000,P1,1,82,10.750000
RH,86,9.000000,P1,1,86,11.000000
RH,89,9.125000,P1,1,89,11.250000
RH,86,9.333333,P1,1,86,11.500000
RH,82,9.500000,P1,1,82,11.750000
RH,89,9.625000,P1,1,89,12.000000
RH,86,9.875000,P1,1,86,12.250000
RH,89,10.000000,P1,1,89,12.500000
RH,92,10.125000,P1,1,92,12.750000
RH,77,10.250000,P1,5,77,13.000000
RH,89,10.250000,P1,1,89,13.000000
RH,80,10.333333,P1,5,80,13.000000
RH,86,10.375000,P1,1,86,13.250000
RH,77,10.625000,P1,5,77,13.500000
RH,82,10.625000,P1,1,82,13.500000
RH,74,10.666667,P1,5,74,13.500000
RH,81,10.750000,P1,1,81,13.750000
RH,82,10.875000,P1,1,82,14.000000
RH,86,11.125000,P1,1,86,14.250000
RH,89,11.250000,P1,1,89,14.500000
RH,86,11.500000,P1,1,86,14.750000
RH,89,11.625000,P1,1,89,15.000000
RH,86,11.750000,P1,1,86,15.250000
RH,89,11.875000,P1,1,89,15.500000
RH,92,12.000000,P1,1,92,15.750000
RH,77,12.250000,P1,5,77,16.000000
RH,80,12.250000,P1,5,80,16.000000
RH,89,12.250000,P1,1,89,16.000000
RH,86,12.375000,P1,1,86,16.250000
RH,74,12.625000,P1,5,74,16.500000
RH,77,12.625000,P1,5,77,16.500000
RH,82,12.625000,P1,1,82,16.500000
RH,81,12.750000,P1,1,81,16.750000
RH,82,12.875000,P1,1,82,17.000000
RH,86,13.125000,P1,1,86,17.250000
RH,89,13.250000,P1,1,89,17.500000
RH,86,13.375000,P1,1,86,17.750000
RH,77,13.500000,P1,1,77,18.000000
RH,74,13.750000,P1,1,74,18.250000
RH,77,13.875000,P1,1,77,18.500000
RH,65,14.125000,P1,5,65,19.000000
RH,68,14.125000,P1,5,68,19.000000
RH,77,14.125000,P1,1,77,19.000000
RH,80,14.125000,P1,1,80,18.750000
RH,74,14.333333,P1,1,74,19.250000
RH,62,14.625000,P1,5,62,19.500000
RH,65,14.625000,P1,5,65,19.500000
RH,70,14.625000,P1,1,70,19.500000
RH,69,14.750000,P1,1,69,19.750000
RH,70,14.875000,P1,1,70,20.000000
RH,74,15.000000,P1,1,74,20.250000
RH,77,15.250000,P1,1,77,20.500000
RH,74,15.375000,P1,1,74,20.750000
RH,77,15.500000,P1,1,77,21.000000
RH,74,15.666667,P1,1,74,21.250000
RH,77,15.875000,P1,1,77,21.500000
RH,80,16.000000,P1,1,80,21.750000
RH,65,16.125000,P1,5,65,22.000000
RH,68,16.125000,P1,5,68,22.000000
RH,77,16.125000,P1,1,77,22.000000
RH,74,16.333333,P1,1,74,22.250000
RH,62,16.500000,P1,5,62,22.500000
RH,65,16.500000,P1,5,65,22.500000
RH,70,16.500000,P1,1,70,22.500000
RH,69,16.666667,P1,1,69,22.750000
RH,70,16.750000,P1,1,70,23.000000
RH,74,17.000000,P1,1,74,23.250000
RH,74,17.250000,P1,1,74,23.250000
LH,46,17.750000,P1,5,46,24.000000
LH,50,17.750000,P1,5,50,24.000000
LH,53,17.750000,P1,5,53,24.000000
LH,58,17.750000,P1,5,58,24.000000
RH,68,17.750000,P1,1,68,24.000000
RH,74,17.750000,P1,1,74,24.000000
RH,77,17.750000,P1,1,77,24.000000
RH,80,17.750000,P1,1,80,24.000000
LH,46,18.250000,P1,5,46,24.500000
LH,58,18.250000,P1,1,58,24.500000
LH,57,18.500000,P1,1,57,24.750000
LH,46,18.625000,P1,5,46,25.000000
LH,58,18.625000,P1,1,58,25.000000
LH,57,18.666667,P1,1,57,25.250000
LH,50,18.875000,P1,5,50,25.500000
RH,60,18.875000,P1,1,60,25.500000
LH,58,19.000000,P1,1,58,25.750000
LH,53,19.125000,P1,5,53,26.000000
RH,63,19.125000,P1,1,63,26.000000
RH,62,19.375000,P1,1,62,26.250000
LH,58,19.500000,P1,5,58,26.500000
RH,67,19.500000,P1,1,67,26.500000
RH,65,19.666667,P1,1,65,26.750000
RH,62,19.750000,P1,5,62,27.000000
RH,70,19.875000,P1,1,70,27.000000
RH,69,20.000000,P1,1,69,27.250000
RH,65,20.125000,P1,5,65,27.500000
RH,72,20.125000,P1,1,72,27.500000
RH,70,20.333333,P1,1,70,27.750000
RH,68,20.375000,P1,5,68,28.000000
RH,75,20.375000,P1,1,75,28.000000
RH,74,20.625000,P1,1,74,28.250000
RH,68,20.750000,P1,5,68,28.500000
RH,70,20.750000,P1,5,70,28.500000
RH,79,20.750000,P1,1,79,28.500000
RH,77,21.000000,P1,1,77,28.750000
RH,70,21.500000,P1,5,70,29.000000
RH,68,21.625000,P1,5,68,29.000000
RH,82,21.875000,P1,1,82,29.000000
RH,67,22.875000,P1,5,67,30.000000
RH,70,22.875000,P1,5,70,30.000000
RH,82,22.875000,P1,1,82,30.000000
RH,63,23.000000,P1,5,63,30.000000
RH,79,23.333333,P1,1,79,30.500000
RH,75,23.666667,P1,1,75,31.000000
RH,74,24.000000,P1,1,74,31.500000
LH,58,24.125000,P1,5,58,31.500000
RH,65,24.125000,P1,5,65,31.500000
RH,68,24.125000,P1,5,68,31.500000
RH,70,24.125000,P1,5,70,31.500000
RH,77,24.500000,P1,1,77,32.000000
RH,82,24.750000,P1,1,82,32.500000
RH,67,25.250000,P1,5,67,33.000000
RH,70,25.250000,P1,5,70,33.000000
RH,82,25.250000,P1,1,82,33.000000
RH,63,25.333333,P1,5,63,33.000000
RH,79,25.625000,P1,1,79,33.500000
RH,75,26.000000,P1,1,75,34.000000
RH,75,26.375000,P1,1,75,34.500000
RH,79,26.750000,P1,1,79,35.000000
RH,64,27.125000,P1,5,64,35.500000
RH,67,27.125000,P1,5,67,35.500000
RH,70,27.125000,P1,5,70,35.500000
RH,72,27.125000,P1,5,72,35.500000
RH,84,27.125000,P1,1,84,35.500000
RH,68,27.500000,P1,5,68,36.000000
RH,72,27.500000,P1,5,72,36.000000
RH,84,27.500000,P1,1,84,36.000000
RH,65,27.625000,P1,5,65,36.000000
RH,80,27.875000,P1,1,80,36.500000
RH,77,28.250000,P1,1,77,37.000000
RH,60,28.625000,P1,5,60,37.500000
RH,67,28.625000,P1,5,67,37.500000
RH,70,28.625000,P1,5,70,37.500000
RH,72,28.625000,P1,5,72,37.500000
RH,76,28.625000,P1,1,76,37.500000
RH,79,29.000000,P1,1,79,38.000000
RH,84,29.333333,P1,1,84,38.500000
RH,68,29.750000,P1,5,68,39.000000
RH,72,29.750000,P1,5,72,39.000000
RH,84,29.750000,P1,1,84,39.000000
RH,65,29.875000,P1,5,65,39.000000
RH,80,30.125000,P1,1,80,39.500000
RH,77,30.500000,P1,1,77,40.000000
RH,74,30.875000,P1,1,74,40.500000
RH,77,31.250000,P1,1,77,41.000000
RH,68,31.500000,P1,5,68,41.500000
RH,70,31.500000,P1,5,70,41.500000
RH,82,31.500000,P1,1,82,41.500000
RH,62,31.625000,P1,5,62,41.500000
RH,65,31.625000,P1,5,65,41.500000
RH,63,31.875000,P1,5,63,42.000000
RH,70,31.875000,P1,5,70,42.000000
RH,82,31.875000,P1,1,82,42.000000
RH,67,32.000000,P1,5,67,42.000000
RH,79,32.333333,P1,1,79,42.500000
RH,75,32.666667,P1,1,75,43.000000
RH,65,33.000000,P1,5,65,43.500000
RH,72,33.000000,P1,1,72,43.500000
LH,56,33.125000,P1,5,56,43.500000
RH,60,33.125000,P1,5,60,43.500000
RH,77,33.375000,P1,1,77,44.000000
RH,80,33.750000,P1,1,80,44.500000
RH,67,34.125000,P1,5,67,45.000000
RH,70,34.125000,P1,1,70,45.000000
LH,58,34.250000,P1,5,58,45.000000
RH,63,34.250000,P1,5,63,45.000000
RH,75,34.500000,P1,1,75,45.500000
RH,79,34.875000,P1,1,79,46.000000
RH,65,35.250000,P1,5,65,46.500000
RH,68,35.250000,P1,1,68,46.500000
LH,58,35.333333,P1,5,58,46.500000
RH,62,35.333333,P1,5,62,46.500000
RH,74,35.625000,P1,1,74,47.000000
LH,58,35.875000,P1,5,58,47.500000
RH,77,35.875000,P1,1,77,47.500000
RH,68,36.000000,P1,1,68,47.500000
LH,58,36.375000,P1,5,58,48.000000
RH,67,36.375000,P1,1,67,48.000000
RH,75,36.375000,P1,1,75,48.000000
LH,55,36.750000,P1,5,55,48.500000
LH,51,37.125000,P1,5,51,49.000000
RH,79,37.125000,P1,1,79,49.000000
LH,50,37.500000,P1,5,50,49.500000
RH,80,37.500000,P1,1,80,49.500000
RH,79,37.666667,P1,1,79,49.750000
LH,53,37.750000,P1,5,53,50.000000
RH,80,37.750000,P1,1,80,50.000000
RH,77,38.000000,P1,1,77,50.250000
LH,58,38.125000,P1,5,58,50.500000
RH,82,38.125000,P1,1,82,50.500000
RH,80,38.250000,P1,1,80,50.750000
LH,58,38.375000,P1,5,58,51.000000
RH,79,38.375000,P1,1,79,51.000000
LH,55,38.875000,P1,5,55,51.500000
RH,94,38.875000,P1,1,94,51.500000
LH,51,39.125000,P1,5,51,52.000000
LH,51,39.500000,P1,5,51,52.500000
LH,55,39.875000,P1,5,55,53.000000
LH,52,40.250000,P1,5,52,53.500000
RH,60,40.250000,P1,5,60,53.500000
RH,67,40.333333,P1,1,67,53.500000
RH,60,40.625000,P1,5,60,54.000000
LH,53,40.666667,P1,5,53,54.000000
LH,56,41.000000,P1,5,56,54.500000
LH,53,41.333333,P1,5,53,55.000000
RH,68,41.333333,P1,1,68,55.000000
LH,52,41.666667,P1,5,52,55.500000
RH,70,41.666667,P1,1,70,55.500000
RH,68,41.875000,P1,1,68,55.750000
LH,55,42.000000,P1,5,55,56.000000
RH,70,42.000000,P1,1,70,56.000000
RH,67,42.125000,P1,1,67,56.250000
RH,60,42.250000,P1,5,60,56.500000
RH,72,42.250000,P1,1,72,56.500000
RH,70,42.375000,P1,1,70,56.750000
RH,60,42.625000,P1,5,60,57.000000
RH,68,42.625000,P1,1,68,57.000000
LH,56,43.000000,P1,5,56,57.500000
RH,84,43.000000,P1,1,84,57.500000
LH,53,43.375000,P1,5,53,58.000000
LH,50,43.666667,P1,5,50,58.500000
LH,53,44.000000,P1,5,53,59.000000
LH,50,44.375000,P1,5,50,59.500000
LH,58,44.375000,P1,5,58,59.500000
RH,77,44.375000,P1,1,77,59.500000
LH,51,44.750000,P1,5,51,60.000000
LH,58,44.750000,P1,5,58,60.000000
LH,55,45.125000,P1,5,55,60.500000
LH,51,45.375000,P1,5,51,61.000000
