hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,48,2.375000,P1,1,48,0.250000
LH,55,2.500000,P1,1,55,0.500000
RH,60,2.750000,P1,1,60,0.750000
RH,64,2.875000,P1,1,64,1.000000
RH,60,3.125000,P1,1,60,1.250000
RH,67,3.250000,P1,1,67,1.500000
RH,72,3.375000,P1,1,72,1.750000
RH,76,3.500000,P1,1,76,2.000000
RH,72,3.666667,P1,1,72,2.250000
RH,79,3.875000,P1,1,79,2.500000
RH,84,4.000000,P1,1,84,2.750000
RH,88,4.125000,P1,1,88,3.000000
RH,84,4.333333,P1,1,84,3.250000
RH,91,4.500000,P1,1,91,3.500000
RH,96,4.625000,P1,1,96,3.750000
RH,100,4.750000,P1,1,100,4.000000
RH,96,4.875000,P1,1,96,4.250000
RH,91,5.000000,P1,1,91,4.500000
RH,84,5.250000,P1,1,84,4.750000
RH,88,5.375000,P1,1,88,5.000000
RH,84,5.500000,P1,1,84,5.250000
RH,79,5.625000,P1,1,79,5.500000
RH,72,5.750000,P1,1,72,5.750000
RH,76,6.000000,P1,1,76,6.000000
RH,72,6.125000,P1,1,72,6.250000
RH,67,6.250000,P1,1,67,6.500000
RH,60,6.500000,P1,1,60,6.750000
RH,64,6.625000,P1,1,64,7.000000
RH,60,6.750000,P1,1,60,7.250000
LH,55,6.875000,P1,1,55,7.500000
LH,48,7.125000,P1,1,48,7.750000
LH,29,7.333333,P1,5,29,8.000000
LH,41,7.333333,P1,5,41,8.000000
LH,48,7.625000,P1,1,48,8.250000
LH,57,7.750000,P1,1,57,8.500000
RH,60,7.875000,P1,1,60,8.750000
RH,65,8.125000,P1,1,65,9.000000
RH,60,8.250000,P1,1,60,9.250000
RH,69,8.375000,P1,1,69,9.500000
RH,72,8.625000,P1,1,72,9.750000
RH,77,8.750000,P1,1,77,10.000000
RH,72,8.875000,P1,1,72,10.250000
RH,81,9.000000,P1,1,81,10.500000
RH,84,9.250000,P1,1,84,10.750000
RH,89,9.375000,P1,1,89,11.000000
RH,84,9.500000,P1,1,84,11.250000
RH,93,9.666667,P1,1,93,11.500000
RH,96,9.750000,P1,1,96,11.750000
LH,30,10.000000,P1,5,30,12.000000
LH,42,10.000000,P1,5,42,12.000000
RH,100,10.000000,P1,1,100,12.000000
RH,96,10.125000,P1,1,96,12.250000
RH,93,10.333333,P1,1,93,12.500000
RH,84,10.500000,P1,1,84,12.750000
RH,88,10.666667,P1,1,88,13.000000
RH,84,10.750000,P1,1,84,13.250000
RH,81,11.000000,P1,1,81,13.500000
RH,72,11.125000,P1,1,72,13.750000
RH,76,11.333333,P1,1,76,14.000000
RH,72,11.500000,P1,1,72,14.250000
RH,69,11.625000,P1,1,69,14.500000
RH,60,11.750000,P1,1,60,14.750000
RH,62,12.000000,P1,1,62,15.000000
RH,60,12.250000,P1,1,60,15.250000
LH,57,12.375000,P1,1,57,15.500000
LH,48,12.625000,P1,1,48,15.750000
LH,31,12.875000,P1,5,31,16.000000
LH,43,12.875000,P1,5,43,16.000000
LH,47,13.125000,P1,1,47,16.250000
LH,55,13.250000,P1,1,55,16.500000
LH,59,13.500000,P1,1,59,16.750000
RH,62,13.625000,P1,1,62,17.000000
LH,59,13.875000,P1,1,59,17.250000
RH,67,14.000000,P1,1,67,17.500000
RH,71,14.125000,P1,1,71,17.750000
LH,30,14.250000,P1,5,30,18.000000
LH,42,14.250000,P1,5,42,18.000000
RH,74,14.250000,P1,1,74,18.000000
RH,71,14.500000,P1,1,71,18.250000
RH,79,14.625000,P1,1,79,18.500000
RH,83,14.750000,P1,1,83,18.750000
LH,28,15.000000,P1,5,28,19.000000
LH,40,15.000000,P1,5,40,19.000000
RH,86,15.000000,P1,1,86,19.000000
RH,83,15.125000,P1,1,83,19.250000
RH,91,15.333333,P1,1,91,19.500000
RH,93,15.333333,P1,1,93,19.750000
RH,93,15.500000,P1,1,93,19.750000
LH,26,15.666667,P1,5,26,20.000000
LH,38,15.666667,P1,5,38,20.000000
RH,98,15.750000,P1,1,98,20.000000
RH,93,15.875000,P1,1,93,20.250000
RH,90,16.125000,P1,1,90,20.500000
RH,84,16.250000,P1,1,84,20.750000
RH,86,16.375000,P1,1,86,21.000000
RH,81,16.500000,P1,1,81,21.250000
RH,78,16.750000,P1,1,78,21.500000
RH,72,16.875000,P1,1,72,21.750000
RH,74,17.000000,P1,1,74,22.000000
RH,69,17.250000,P1,1,69,22.250000
RH,66,17.333333,P1,1,66,22.500000
RH,60,17.500000,P1,1,60,22.750000
RH,62,17.666667,P1,1,62,23.000000
LH,57,17.875000,P1,1,57,23.250000
LH,54,18.000000,P1,1,54,23.500000
LH,48,18.250000,P1,1,48,23.750000
LH,31,18.375000,P1,5,31,24.000000
LH,43,18.375000,P1,5,43,24.000000
LH,48,18.666667,P1,1,48,24.250000
LH,53,18.875000,P1,1,53,24.500000
LH,56,19.000000,P1,1,56,24.750000
RH,62,19.250000,P1,1,62,25.000000
RH,60,19.375000,P1,1,60,25.250000
RH,65,19.500000,P1,1,65,25.500000
RH,68,19.666667,P1,1,68,25.750000
RH,74,19.875000,P1,1,74,26.000000
RH,72,20.000000,P1,1,72,26.250000
RH,77,20.125000,P1,1,77,26.500000
RH,80,20.333333,P1,1,80,26.750000
RH,86,20.500000,P1,1,86,27.000000
RH,84,20.625000,P1,1,84,27.250000
RH,89,20.750000,P1,1,89,27.500000
RH,92,20.875000,P1,1,92,27.750000
RH,98,21.125000,P1,1,98,28.000000
RH,91,21.250000,P1,1,91,28.250000
RH,89,21.375000,P1,1,89,28.500000
RH,83,21.500000,P1,1,83,28.750000
RH,86,21.750000,P1,1,86,29.000000
RH,79,21.875000,P1,1,79,29.250000
RH,77,22.000000,P1,1,77,29.500000
RH,71,22.250000,P1,1,71,29.750000
RH,74,22.375000,P1,1,74,30.000000
RH,67,22.500000,P1,1,67,30.250000
RH,65,22.666667,P1,1,65,30.500000
LH,59,22.875000,P1,1,59,30.750000
RH,63,23.125000,P1,1,63,31.000000
LH,55,23.333333,P1,1,55,31.250000
LH,53,23.500000,P1,1,53,31.500000
LH,47,23.750000,P1,1,47,31.750000
LH,36,24.000000,P1,5,36,32.000000
LH,48,24.000000,P1,5,48,32.000000
LH,55,24.500000,P1,1,55,32.500000
RH,60,24.625000,P1,1,60,32.750000
RH,64,24.750000,P1,1,64,33.000000
RH,60,25.000000,P1,1,60,33.250000
RH,67,25.125000,P1,1,67,33.500000
RH,72,25.333333,P1,1,72,33.750000
RH,76,25.500000,P1,1,76,34.000000
RH,72,25.625000,P1,1,72,34.250000
RH,79,25.750000,P1,1,79,34.500000
RH,84,25.875000,P1,1,84,34.750000
RH,88,26.000000,P1,1,88,35.000000
RH,84,26.250000,P1,1,84,35.250000
RH,91,26.333333,P1,1,91,35.500000
RH,96,26.500000,P1,1,96,35.750000
RH,100,26.666667,P1,1,100,36.000000
RH,96,26.750000,P1,1,96,36.250000
RH,91,27.000000,P1,1,91,36.500000
RH,84,27.125000,P1,1,84,36.750000
RH,88,27.250000,P1,1,88,37.000000
RH,84,27.375000,P1,1,84,37.250000
RH,79,27.500000,P1,1,79,37.500000
RH,72,27.750000,P1,1,72,37.750000
RH,76,27.875000,P1,1,76,38.000000
RH,72,28.000000,P1,1,72,38.250000
RH,67,28.250000,P1,1,67,38.500000
RH,60,28.375000,P1,1,60,38.750000
RH,64,28.500000,P1,1,64,39.000000
RH,60,28.750000,P1,1,60,39.250000
LH,55,28.875000,P1,1,55,39.500000
LH,48,29.125000,P1,1,48,39.750000
LH,33,29.250000,P1,5,33,40.000000
LH,45,29.250000,P1,5,45,40.000000
LH,48,29.500000,P1,1,48,40.250000
LH,53,29.666667,P1,1,53,40.500000
RH,60,29.875000,P1,1,60,40.750000
RH,65,30.000000,P1,1,65,41.000000
RH,60,30.250000,P1,1,60,41.250000
RH,65,30.375000,P1,1,65,41.500000
RH,72,30.500000,P1,1,72,41.750000
RH,77,30.666667,P1,1,77,42.000000
RH,72,30.750000,P1,1,72,42.250000
RH,77,31.000000,P1,1,77,42.500000
RH,84,31.125000,P1,1,84,42.750000
RH,89,31.250000,P1,1,89,43.000000
RH,84,31.500000,P1,1,84,43.250000
RH,89,31.500000,P1,1,89,43.500000
RH,96,31.666667,P1,1,96,43.750000
RH,100,31.875000,P1,1,100,44.000000
RH,96,32.000000,P1,1,96,44.250000
RH,90,32.125000,P1,1,90,44.500000
RH,84,32.333333,P1,1,84,44.750000
RH,88,32.500000,P1,1,88,45.000000
RH,84,32.666667,P1,1,84,45.250000
RH,78,32.750000,P1,1,78,45.500000
RH,72,32.875000,P1,1,72,45.750000
RH,76,33.125000,P1,1,76,46.000000
RH,72,33.250000,P1,1,72,46.250000
RH,66,33.375000,P1,1,66,46.500000
RH,60,33.625000,P1,1,60,46.750000
RH,64,33.750000,P1,1,64,47.000000
RH,60,33.875000,P1,1,60,47.250000
LH,54,34.000000,P1,1,54,47.500000
LH,48,34.250000,P1,1,48,47.750000
LH,31,34.375000,P1,5,31,48.000000
LH,43,34.375000,P1,5,43,48.000000
LH,48,34.666667,P1,1,48,48.250000
LH,55,34.875000,P1,1,55,48.500000
RH,60,35.000000,P1,1,60,48.750000
RH,62,35.250000,P1,1,62,49.000000
RH,60,35.375000,P1,1,60,49.250000
RH,67,35.500000,P1,1,67,49.500000
RH,72,35.666667,P1,1,72,49.750000
RH,74,35.875000,P1,1,74,50.000000
RH,72,36.000000,P1,1,72,50.250000
RH,79,36.125000,P1,1,79,50.500000
RH,84,36.333333,P1,1,84,50.750000
RH,86,36.500000,P1,1,86,51.000000
RH,84,36.625000,P1,1,84,51.250000
RH,91,36.750000,P1,1,91,51.500000
RH,96,36.875000,P1,1,96,51.750000
RH,98,37.000000,P1,1,98,52.000000
RH,95,37.250000,P1,1,95,52.250000
RH,91,37.375000,P1,1,91,52.500000
RH,83,37.500000,P1,1,83,52.750000
RH,86,37.750000,P1,1,86,53.000000
RH,83,37.875000,P1,1,83,53.250000
RH,79,38.000000,P1,1,79,53.500000
RH,71,38.125000,P1,1,71,53.750000
RH,74,38.375000,P1,1,74,54.000000
RH,71,38.500000,P1,1,71,54.250000
RH,67,38.666667,P1,1,67,54.500000
LH,59,38.875000,P1,1,59,54.750000
RH,62,39.000000,P1,1,62,55.000000
LH,59,39.250000,P1,1,59,55.250000
LH,55,39.375000,P1,1,55,55.500000
LH,47,39.500000,P1,1,47,55.750000
LH,36,39.750000,P1,5,36,56.000000
LH,48,39.750000,P1,5,48,56.000000
LH,50,40.000000,P1,1,50,56.250000
LH,55,40.250000,P1,1,55,56.500000
RH,62,40.375000,P1,1,62,56.750000
RH,64,40.625000,P1,1,64,57.000000
RH,62,40.750000,P1,1,62,57.250000
RH,67,40.875000,P1,1,67,57.500000
RH,74,41.125000,P1,1,74,57.750000
RH,76,41.250000,P1,1,76,58.000000
RH,74,41.375000,P1,1,74,58.250000
RH,79,41.625000,P1,1,79,58.500000
RH,86,41.750000,P1,1,86,58.750000
RH,88,41.875000,P1,1,88,59.000000
RH,86,42.000000,P1,1,86,59.250000
RH,91,42.125000,P1,1,91,59.500000
RH,98,42.333333,P1,1,98,59.750000
RH,100,42.500000,P1,1,100,60.000000
RH,96,42.666667,P1,1,96,60.250000
RH,91,42.875000,P1,1,91,60.500000
RH,84,43.000000,P1,1,84,60.750000
RH,88,43.125000,P1,1,88,61.000000
RH,84,43.250000,P1,1,84,61.250000
RH,79,43.375000,P1,1,79,61.500000
RH,72,43.625000,P1,1,72,61.750000
RH,76,43.750000,P1,1,76,62.000000
RH,72,44.000000,P1,1,72,62.250000
RH,67,44.125000,P1,1,67,62.500000
RH,60,44.250000,P1,1,60,62.750000
RH,64,44.500000,P1,1,64,63.000000
RH,60,44.750000,P1,1,60,63.250000
LH,55,45.000000,P1,1,55,63.500000
LH,48,45.333333,P1,1,48,63.750000
LH,33,45.625000,P1,5,33,64.000000
LH,45,45.625000,P1,5,45,64.000000
LH,52,46.000000,P1,1,52,64.250000
RH,60,46.125000,P1,1,60,64.500000
RH,64,46.333333,P1,1,64,64.750000
RH,65,46.500000,P1,1,65,65.000000
RH,64,46.666667,P1,1,64,65.250000
RH,72,46.875000,P1,1,72,65.500000
RH,76,47.000000,P1,1,76,65.750000
RH,77,47.125000,P1,1,77,66.000000
RH,76,47.250000,P1,1,76,66.250000
RH,84,47.500000,P1,1,84,66.500000
RH,88,47.625000,P1,1,88,66.750000
RH,89,47.750000,P1,1,89,67.000000
RH,88,47.875000,P1,1,88,67.250000
RH,96,48.125000,P1,1,96,67.500000
RH,100,48.250000,P1,1,100,67.750000
LH,35,48.500000,P1,5,35,68.000000
LH,47,48.500000,P1,5,47,68.000000
RH,101,48.500000,P1,1,101,68.000000
RH,98,48.625000,P1,1,98,68.250000
RH,95,48.750000,P1,1,95,68.500000
RH,86,49.000000,P1,1,86,68.750000
RH,89,49.125000,P1,1,89,69.000000
RH,86,49.250000,P1,1,86,69.250000
RH,83,49.375000,P1,1,83,69.500000
RH,74,49.625000,P1,1,74,69.750000
LH,33,49.750000,P1,5,33,70.000000
LH,45,49.750000,P1,5,45,70.000000
RH,77,49.750000,P1,1,77,70.000000
RH,74,50.000000,P1,1,74,70.250000
RH,71,50.125000,P1,1,71,70.500000
RH,62,50.250000,P1,1,62,70.750000
RH,65,50.500000,P1,1,65,71.000000
RH,62,50.625000,P1,1,62,71.250000
LH,59,50.875000,P1,1,59,71.500000
LH,50,51.125000,P1,1,50,71.750000
LH,32,51.250000,P1,5,32,72.000000
LH,44,51.250000,P1,5,44,72.000000
LH,50,51.500000,P1,1,50,72.250000
LH,59,51.666667,P1,1,59,72.500000
RH,62,51.875000,P1,1,62,72.750000
RH,64,52.000000,P1,1,64,73.000000
RH,62,52.125000,P1,1,62,73.250000
RH,71,52.333333,P1,1,71,73.500000
RH,74,52.500000,P1,1,74,73.750000
RH,76,52.625000,P1,1,76,74.000000
RH,74,52.750000,P1,1,74,74.250000
RH,83,53.000000,P1,1,83,74.500000
RH,86,53.125000,P1,1,86,74.750000
RH,88,53.250000,P1,1,88,75.000000
RH,86,53.375000,P1,1,86,75.250000
RH,95,53.500000,P1,1,95,75.500000
RH,98,53.666667,P1,1,98,75.750000
LH,33,53.875000,P1,5,33,76.000000
LH,45,53.875000,P1,5,45,76.000000
RH,100,53.875000,P1,1,100,76.000000
RH,96,54.000000,P1,1,96,76.250000
RH,93,54.125000,P1,1,93,76.500000
RH,84,54.333333,P1,1,84,76.750000
RH,88,54.500000,P1,1,88,77.000000
RH,84,54.625000,P1,1,84,77.250000
RH,81,54.750000,P1,1,81,77.500000
RH,72,55.000000,P1,1,72,77.750000
LH,31,55.125000,P1,5,31,78.000000
LH,43,55.125000,P1,5,43,78.000000
RH,76,55.125000,P1,1,76,78.000000
RH,72,55.333333,P1,1,72,78.250000
RH,69,55.500000,P1,1,69,78.500000
RH,60,55.625000,P1,1,60,78.750000
RH,64,55.875000,P1,1,64,79.000000
RH,60,56.000000,P1,1,60,79.250000
LH,57,56.250000,P1,1,57,79.500000
LH,48,56.375000,P1,1,48,79.750000
LH,29,56.625000,P1,5,29,80.000000
LH,41,56.625000,P1,5,41,80.000000
LH,48,56.875000,P1,1,48,80.250000
LH,57,57.125000,P1,1,57,80.500000
RH,60,57.250000,P1,1,60,80.750000
RH,64,57.375000,P1,1,64,81.000000
RH,60,57.625000,P1,1,60,81.250000
RH,69,57.750000,P1,1,69,81.500000
RH,72,57.875000,P1,1,72,81.750000
RH,76,58.000000,P1,1,76,82.000000
RH,72,58.250000,P1,1,72,82.250000
RH,81,58.375000,P1,1,81,82.500000
RH,84,58.500000,P1,1,84,82.750000
RH,88,58.666667,P1,1,88,83.000000
RH,84,58.875000,P1,1,84,83.250000
RH,93,59.000000,P1,1,93,83.500000
RH,96,59.125000,P1,1,96,83.750000
RH,99,59.333333,P1,1,99,84.000000
RH,95,59.500000,P1,1,95,84.250000
RH,93,59.750000,P1,1,93,84.500000
RH,83,59.875000,P1,1,83,84.750000
RH,87,60.000000,P1,1,87,85.000000
RH,83,60.125000,P1,1,83,85.250000
RH,81,60.333333,P1,1,81,85.500000
RH,71,60.500000,P1,1,71,85.750000
RH,75,60.666667,P1,1,75,86.000000
RH,71,60.750000,P1,1,71,86.250000
RH,69,61.000000,P1,1,69,86.500000
LH,59,61.125000,P1,1,59,86.750000
RH,63,61.333333,P1,1,63,87.000000
LH,59,61.500000,P1,1,59,87.250000
LH,57,61.625000,P1,1,57,87.500000
