segment_id,row_no,event_id,hand,pitch,onset_ql,onset_location,groups,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note,baseline_published_score_pedal,review_priority,reference_tie_start
Chopin_Scherzos_20_254,1,ChopinScherzos_20:LH:35:1017.875000:5,LH,35,1017.875,m.255 beat 2.875,F,yes,change,change,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),none,medium,0
Chopin_Scherzos_20_254,3,ChopinScherzos_20:LH:35:1020.375000:5,LH,35,1020.375,m.256 beat 1.375,F,yes,hold,stop,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),none,medium,0
Chopin_Scherzos_20_254,6,ChopinScherzos_20:LH:35:1022.875000:5,LH,35,1022.875,m.256 beat 3.875,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,10,ChopinScherzos_20:LH:35:1026.125000:5,LH,35,1026.125,m.257 beat 3.125,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,13,ChopinScherzos_20:LH:36:1019.750000:5,LH,36,1019.75,m.255 beat 4.750,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,15,ChopinScherzos_20:LH:42:1020.000000:5,LH,42,1020.0,m.256 beat 1.000,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,19,ChopinScherzos_20:LH:42:1023.250000:5,LH,42,1023.25,m.256 beat 4.250,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,24,ChopinScherzos_20:LH:42:1025.750000:1,LH,42,1025.75,m.257 beat 2.750,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,28,ChopinScherzos_20:LH:50:1020.000000:4,LH,50,1020.0,m.256 beat 1.000,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,32,ChopinScherzos_20:LH:50:1023.250000:4,LH,50,1023.25,m.256 beat 4.250,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,35,ChopinScherzos_20:LH:50:1025.750000:4,LH,50,1025.75,m.257 beat 2.750,F,yes,hold,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,38,ChopinScherzos_20:LH:53:1025.875000:4,LH,53,1025.875,m.257 beat 2.875,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,44,ChopinScherzos_20:LH:54:1014.000000:5,LH,54,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,50,ChopinScherzos_20:LH:55:1017.000000:5,LH,55,1017.0,m.255 beat 2.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,53,ChopinScherzos_20:LH:56:1017.000000:5,LH,56,1017.0,m.255 beat 2.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,54,ChopinScherzos_20:LH:58:1017.125000:5,LH,58,1017.125,m.255 beat 2.125,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,60,ChopinScherzos_20:LH:59:1014.000000:1,LH,59,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,75,ChopinScherzos_20:RH:62:1014.000000:2,RH,62,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,81,ChopinScherzos_20:RH:62:1025.750000:6,RH,62,1025.75,m.257 beat 2.750,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,82,ChopinScherzos_20:RH:62:1026.125000:6,RH,62,1026.125,m.257 beat 3.125,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,95,ChopinScherzos_20:RH:65:1014.000000:3,RH,65,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,98,ChopinScherzos_20:RH:65:1023.000000:6,RH,65,1023.0,m.256 beat 4.000,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,106,ChopinScherzos_20:RH:66:1025.750000:7,RH,66,1025.75,m.257 beat 2.750,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,107,ChopinScherzos_20:RH:66:1026.125000:7,RH,66,1026.125,m.257 beat 3.125,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,115,ChopinScherzos_20:RH:67:1014.000000:5,RH,67,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,124,ChopinScherzos_20:RH:71:1023.250000:7,RH,71,1023.25,m.256 beat 4.250,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,133,ChopinScherzos_20:RH:74:1022.875000:7,RH,74,1022.875,m.256 beat 3.875,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,134,ChopinScherzos_20:RH:74:1023.250000:8,RH,74,1023.25,m.256 beat 4.250,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,135,ChopinScherzos_20:RH:75:1023.000000:7,RH,75,1023.0,m.256 beat 4.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,140,ChopinScherzos_20:RH:77:1014.000000:7,RH,77,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,148,ChopinScherzos_20:RH:78:1022.875000:8,RH,78,1022.875,m.256 beat 3.875,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,153,ChopinScherzos_20:RH:79:1014.000000:7,RH,79,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,162,ChopinScherzos_20:RH:82:1019.750000:7,RH,82,1019.75,m.255 beat 4.750,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,163,ChopinScherzos_20:RH:83:1012.000000:4,RH,83,1012.0,m.254 beat 1.000,U,uncertain,uncertain,none,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),,medium,0
Chopin_Scherzos_20_254,168,ChopinScherzos_20:RH:83:1014.000000:4,RH,83,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,171,ChopinScherzos_20:RH:83:1017.875000:7,RH,83,1017.875,m.255 beat 2.875,F,yes,change,change,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),none,medium,0
Chopin_Scherzos_20_254,172,ChopinScherzos_20:RH:83:1020.250000:7,RH,83,1020.25,m.256 beat 1.250,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,177,ChopinScherzos_20:RH:84:1014.000000:6,RH,84,1014.0,m.254 beat 3.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,185,ChopinScherzos_20:RH:86:1014.000000:4,RH,86,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,188,ChopinScherzos_20:RH:86:1017.875000:7,RH,86,1017.875,m.255 beat 2.875,F,yes,change,change,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),none,medium,0
Chopin_Scherzos_20_254,190,ChopinScherzos_20:RH:86:1020.000000:7,RH,86,1020.0,m.256 beat 1.000,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
