segment_id,row_no,event_id,hand,pitch,onset_ql,onset_location,groups,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note,baseline_published_score_pedal,review_priority,reference_tie_start
Schubert_Wanderer_fantasie_1189,15,SchubertWanderer_fantasie:LH:47:2376.125000:1,LH,47,2376.125,m.1189 beat 1.125,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,medium,0
Schubert_Wanderer_fantasie_1189,50,SchubertWanderer_fantasie:LH:55:2383.875000:1,LH,55,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,medium,0
Schubert_Wanderer_fantasie_1189,62,SchubertWanderer_fantasie:RH:62:2383.875000:2,RH,62,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,medium,0
Schubert_Wanderer_fantasie_1189,70,SchubertWanderer_fantasie:RH:65:2383.875000:1,RH,65,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,medium,0
Schubert_Wanderer_fantasie_1189,73,SchubertWanderer_fantasie:RH:67:2383.875000:1,RH,67,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,medium,0
Schubert_Wanderer_fantasie_1189,74,SchubertWanderer_fantasie:RH:74:2383.875000:4,RH,74,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.125,pedal-only,pedal carries sustain; keep short written note,,medium,
Schubert_Wanderer_fantasie_1189,82,SchubertWanderer_fantasie:RH:79:2383.875000:4,RH,79,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,medium,0
Schubert_Wanderer_fantasie_1189,86,SchubertWanderer_fantasie:RH:83:2383.875000:3,RH,83,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,,boundary/uncertain event; decision follows score/readability,,medium,0
Schubert_Wanderer_fantasie_1189,92,SchubertWanderer_fantasie:RH:84:2381.000000:3,RH,84,2381.0,m.1191 beat 2.000,H,yes,change,none,0.25,,routine; written duration follows score/readability,,high,0
Schubert_Wanderer_fantasie_1189,107,SchubertWanderer_fantasie:RH:86:2383.875000:3,RH,86,2383.875,m.1192 beat 2.875,U,uncertain,uncertain,none,0.25,,boundary/uncertain event; decision follows score/readability,,medium,0
Schubert_Wanderer_fantasie_1189,108,SchubertWanderer_fantasie:RH:88:2376.000000:1,RH,88,2376.0,m.1189 beat 1.000,U,uncertain,uncertain,none,0.25,notation-shortening,reference duration 0.25; shorten acoustic extension to 0.25 (score convention; pedal carries the tail),,normal,0
Schubert_Wanderer_fantasie_1189,129,SchubertWanderer_fantasie:RH:93:2376.125000:2,RH,93,2376.125,m.1189 beat 1.125,U,uncertain,uncertain,none,0.25,,boundary/uncertain event; decision follows score/readability,,medium,0
Schubert_Wanderer_fantasie_1189,140,SchubertWanderer_fantasie:RH:96:2376.125000:3,RH,96,2376.125,m.1189 beat 1.125,U,uncertain,uncertain,none,0.125,pedal-only,pedal carries sustain; keep short written note,,medium,
Schubert_Wanderer_fantasie_1189,149,SchubertWanderer_fantasie:RH:98:2376.125000:2,RH,98,2376.125,m.1189 beat 1.125,U,uncertain,uncertain,none,0.25,,boundary/uncertain event; decision follows score/readability,,medium,0
