hand,pitch,onset_ql,reason
LH,30,3.0,outside-or-invalid-beat-map
RH,66,3.0,outside-or-invalid-beat-map
LH,36,8.25,score-midi-no-match
LH,36,8.375,score-midi-no-match
LH,39,8.75,score-midi-no-match
RH,75,10.0,score-midi-no-match
LH,44,10.875,score-midi-no-match
RH,75,10.875,score-midi-no-match
LH,44,11.666666666666666,score-midi-no-match
RH,78,12.375,score-midi-no-match
LH,46,13.333333333333332,score-midi-no-match
LH,47,14.0,score-midi-no-match
RH,80,14.0,score-midi-no-match
RH,80,14.75,score-midi-no-match
RH,80,15.375,score-midi-no-match
RH,80,16.125,score-midi-no-match
RH,74,16.5,score-midi-no-match
RH,80,16.5,score-midi-no-match
RH,73,17.75,score-midi-no-match
RH,79,17.875,score-midi-no-match
LH,50,18.375,score-midi-no-match
LH,44,19.75,score-midi-no-match
LH,47,19.875,score-midi-no-match
RH,71,20.0,score-midi-no-match
LH,44,20.375,score-midi-no-match
RH,74,20.875,score-midi-no-match
LH,39,24.0,score-midi-no-match
RH,73,24.125,score-midi-no-match
RH,62,24.375,score-midi-no-match
RH,74,24.375,score-midi-no-match
RH,73,27.375,score-midi-no-match
LH,39,28.333333333333332,score-midi-no-match
LH,48,29.625,score-midi-no-match
LH,52,32.25,score-midi-no-match
LH,45,32.875,score-midi-no-match
LH,50,33.5,score-midi-no-match
LH,41,34.125,score-midi-no-match
RH,65,34.125,score-midi-no-match
RH,77,34.25,score-midi-no-match
LH,44,34.375,score-midi-no-match
RH,70,34.5,score-midi-no-match
LH,41,34.666666666666664,score-midi-no-match
LH,53,34.666666666666664,score-midi-no-match
RH,64,35.0,score-midi-no-match
LH,39,35.33333333333333,score-midi-no-match
RH,60,35.75,score-midi-no-match
LH,41,36.0,score-midi-no-match
LH,53,36.0,score-midi-no-match
RH,62,36.0,score-midi-no-match
RH,74,36.0,score-midi-no-match
RH,72,38.0,score-midi-no-match
RH,74,38.0,score-midi-no-match
RH,74,38.33333333333333,score-midi-no-match
RH,80,39.75,score-midi-no-match
LH,52,40.33333333333333,score-midi-no-match
RH,74,40.5,score-midi-no-match
RH,84,41.125,score-midi-no-match
RH,85,41.375,score-midi-no-match
LH,56,41.5,score-midi-no-match
LH,58,42.125,score-midi-no-match
RH,87,42.75,score-midi-no-match
RH,90,42.75,score-midi-no-match
RH,85,43.0,score-midi-no-match
RH,88,43.0,score-midi-no-match
RH,60,43.125,score-midi-no-match
RH,90,43.25,score-midi-no-match
RH,88,43.5,score-midi-no-match
RH,92,44.0,score-midi-no-match
RH,93,44.0,score-midi-no-match
RH,86,44.33333333333333,score-midi-no-match
RH,92,44.375,score-midi-no-match
RH,62,44.666666666666664,score-midi-no-match
RH,86,44.666666666666664,score-midi-no-match
LH,59,47.875,score-midi-no-match
RH,90,47.875,score-midi-no-match
RH,83,48.0,score-midi-no-match
RH,87,48.5,score-midi-no-match
RH,85,48.875,score-midi-no-match
RH,74,49.125,score-midi-no-match
RH,85,52.5,score-midi-no-match
RH,71,54.875,score-midi-no-match
RH,70,55.125,score-midi-no-match
RH,82,55.25,score-midi-no-match
LH,51,55.625,score-midi-no-match
RH,85,55.875,score-midi-no-match
RH,77,56.125,score-midi-no-match
RH,87,56.125,score-midi-no-match
RH,72,58.25,score-midi-no-match
LH,55,58.666666666666664,score-midi-no-match
LH,48,58.875,score-midi-no-match
RH,77,58.875,score-midi-no-match
RH,79,58.875,score-midi-no-match
LH,55,59.0,score-midi-no-match
LH,53,59.125,score-midi-no-match
RH,77,59.125,score-midi-no-match
LH,55,59.25,score-midi-no-match
RH,79,59.25,score-midi-no-match
RH,82,59.375,score-midi-no-match
LH,53,59.5,score-midi-no-match
RH,77,59.5,score-midi-no-match
RH,79,59.5,score-midi-no-match
LH,53,59.75,score-midi-no-match
LH,55,59.75,score-midi-no-match
RH,77,59.75,score-midi-no-match
RH,79,59.75,score-midi-no-match
RH,82,59.75,score-midi-no-match
RH,82,60.125,score-midi-no-match
RH,77,60.33333333333333,score-midi-no-match
LH,55,60.375,score-midi-no-match
LH,53,60.625,score-midi-no-match
LH,55,60.625,score-midi-no-match
RH,77,60.625,score-midi-no-match
RH,79,60.625,score-midi-no-match
LH,49,61.0,score-midi-no-match
LH,55,61.25,score-midi-no-match
RH,79,61.25,score-midi-no-match
LH,53,61.5,score-midi-no-match
LH,55,61.5,score-midi-no-match
RH,77,61.5,score-midi-no-match
RH,79,61.5,score-midi-no-match
RH,82,61.625,score-midi-no-match
LH,48,61.875,score-midi-no-match
LH,50,61.875,score-midi-no-match
RH,77,62.0,score-midi-no-match
LH,52,62.125,score-midi-no-match
LH,53,62.125,score-midi-no-match
RH,77,62.25,score-midi-no-match
LH,53,62.33333333333333,score-midi-no-match
LH,55,62.33333333333333,score-midi-no-match
RH,79,62.33333333333333,score-midi-no-match
LH,51,62.625,score-midi-no-match
RH,82,62.625,score-midi-no-match
LH,53,62.875,score-midi-no-match
LH,55,62.875,score-midi-no-match
RH,77,62.875,score-midi-no-match
RH,80,62.875,score-midi-no-match
LH,51,63.0,score-midi-no-match
LH,51,63.33333333333333,score-midi-no-match
RH,75,63.5,score-midi-no-match
