pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
87,27,2,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.125,0.0,0.036458333,0,0,0,0.939298307,key-release-grid+pedal-acoustic-grid,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:87:56.125000:2,normal,,,unmatched,external,,,,,,,,,,,,
87,27,2,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.208333333,0.083333333,0.046875,0,0,1,0.848862903,next-voice-onset,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:87:56.125000:2,normal,,,unmatched,external,,,,,,,,,,,,
88,90,2,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.125,0.0,0.036458333,0,0,0,0.939298307,key-release-grid+pedal-acoustic-grid,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:88:56.125000:2,normal,0,reference-score,labeled,external,P1,1,61.666666667,0.333333333,0,0,,,,,,
88,90,2,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.208333333,0.083333333,0.046875,0,0,1,0.848862903,next-voice-onset,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:88:56.125000:2,normal,1,reference-score,labeled,external,P1,1,61.666666667,0.333333333,0,0,,,,,,
64,84,3,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.125,0.0,0.036458333,0,0,0,0.939298307,key-release-grid+pedal-acoustic-grid,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:64:56.125000:3,normal,0,reference-score,labeled,external,P1,5,61.666666667,0.333333333,0,0,,,,,,
64,84,3,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.208333333,0.083333333,0.046875,0,0,1,0.848862903,next-voice-onset,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:64:56.125000:3,normal,1,reference-score,labeled,external,P1,5,61.666666667,0.333333333,0,0,,,,,,
76,88,4,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.125,0.0,0.036458333,0,0,0,0.939298307,key-release-grid+pedal-acoustic-grid,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:76:56.125000:4,normal,0,reference-score,labeled,external,P1,1,61.666666667,0.333333333,0,0,,,,,,
76,88,4,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.208333333,0.083333333,0.046875,0,0,1,0.848862903,next-voice-onset,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:76:56.125000:4,normal,1,reference-score,labeled,external,P1,1,61.666666667,0.333333333,0,0,,,,,,
77,27,4,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.125,0.0,0.036458333,0,0,0,0.939298307,key-release-grid+pedal-acoustic-grid,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:77:56.125000:4,normal,,,unmatched,external,,,,,,,,,,,,
77,27,4,56.125,0.03125,0.125,0.161458333,0.036458333,0.208333333,0.208333333,0.083333333,0.046875,0,0,1,0.848862903,next-voice-onset,ChopinEtudes_op_25_10,RH,ChopinEtudes_op_25_10:RH:77:56.125000:4,normal,,,unmatched,external,,,,,,,,,,,,
