hand,pitch,onset_ql,reason
LH,50,1.0,outside-or-invalid-beat-map
LH,37,26.5,score-midi-no-match
LH,52,27.875,score-midi-no-match
LH,52,28.375,score-midi-no-match
LH,53,28.75,score-midi-no-match
LH,58,68.0,musicxml-no-match
RH,62,70.0,musicxml-no-match
RH,74,72.0,score-midi-no-match
RH,61,76.0,musicxml-no-match
RH,65,78.0,musicxml-no-match
LH,38,79.5,score-midi-no-match
RH,71,80.75,score-midi-no-match
LH,56,83.875,score-midi-no-match
RH,61,89.5,score-midi-no-match
LH,47,93.5,score-midi-no-match
RH,64,95.5,score-midi-no-match
LH,43,99.0,score-midi-no-match
LH,50,101.0,score-midi-no-match
RH,72,103.0,score-midi-no-match
LH,56,105.75,score-midi-no-match
RH,100,106.75,score-midi-no-match
RH,85,107.125,score-midi-no-match
RH,60,108.75,score-midi-no-match
RH,77,113.33333333333333,score-midi-no-match
RH,60,114.0,score-midi-no-match
RH,93,114.0,score-midi-no-match
RH,62,114.5,score-midi-no-match
LH,50,115.66666666666666,score-midi-no-match
LH,38,119.375,score-midi-no-match
RH,68,120.25,musicxml-ambiguous
RH,69,121.375,score-midi-no-match
LH,40,122.375,score-midi-no-match
LH,40,123.375,score-midi-no-match
RH,71,128.25,musicxml-ambiguous
LH,46,129.375,score-midi-no-match
LH,43,130.375,score-midi-no-match
LH,48,134.125,score-midi-no-match
LH,45,134.625,score-midi-no-match
LH,35,134.875,score-midi-no-match
RH,66,134.875,score-midi-no-match
RH,65,135.0,score-midi-no-match
LH,45,135.25,score-midi-no-match
RH,65,135.25,score-midi-no-match
RH,79,135.5,score-midi-no-match
LH,43,136.125,score-midi-no-match
LH,52,137.75,score-midi-no-match
LH,52,138.25,score-midi-no-match
RH,68,139.0,score-midi-no-match
RH,67,139.125,score-midi-no-match
RH,67,139.33333333333331,score-midi-no-match
LH,36,140.0,score-midi-no-match
RH,73,144.5,musicxml-ambiguous
RH,74,144.66666666666666,score-midi-no-match
LH,51,151.75,score-midi-no-match
RH,76,152.5,musicxml-ambiguous
LH,48,155.625,score-midi-no-match
RH,71,155.625,score-midi-no-match
LH,51,155.66666666666666,score-midi-no-match
RH,71,155.875,score-midi-no-match
LH,41,156.0,score-midi-no-match
RH,77,156.0,score-midi-no-match
RH,74,156.125,score-midi-no-match
LH,52,156.25,score-midi-no-match
RH,65,156.25,score-midi-no-match
RH,68,156.25,score-midi-no-match
LH,53,156.33333333333331,score-midi-no-match
RH,98,157.125,score-midi-no-match
RH,101,157.125,score-midi-no-match
LH,33,157.33333333333331,score-midi-no-match
RH,88,157.625,score-midi-no-match
RH,100,157.75,score-midi-no-match
RH,92,158.125,score-midi-no-match
RH,90,159.125,score-midi-no-match
LH,33,160.625,score-midi-no-match
LH,44,160.875,score-midi-no-match
LH,45,161.25,score-midi-no-match
LH,52,163.0,score-midi-no-match
RH,78,163.0,score-midi-no-match
RH,71,163.625,score-midi-no-match
RH,65,164.0,score-midi-no-match
RH,64,164.5,score-midi-no-match
RH,75,165.0,score-midi-no-match
LH,52,165.875,musicxml-ambiguous
RH,71,166.75,score-midi-no-match
LH,52,168.0,musicxml-ambiguous
RH,75,169.0,score-midi-no-match
RH,73,169.125,score-midi-no-match
LH,50,170.0,musicxml-ambiguous
LH,47,170.625,score-midi-no-match
LH,39,172.125,score-midi-no-match
LH,43,172.75,score-midi-no-match
RH,80,172.75,score-midi-no-match
RH,82,173.0,score-midi-no-match
LH,38,173.125,score-midi-no-match
RH,64,174.125,musicxml-ambiguous
LH,37,175.125,score-midi-no-match
RH,87,175.125,score-midi-no-match
LH,49,175.875,score-midi-no-match
RH,64,176.125,musicxml-ambiguous
RH,81,176.875,score-midi-no-match
LH,42,177.125,score-midi-no-match
LH,34,177.25,score-midi-no-match
RH,83,177.25,score-midi-no-match
LH,44,177.75,score-midi-no-match
RH,60,178.125,musicxml-ambiguous
LH,50,178.33333333333331,score-midi-no-match
LH,59,178.66666666666666,score-midi-no-match
LH,55,178.875,score-midi-no-match
LH,47,179.125,score-midi-no-match
RH,93,180.75,score-midi-no-match
RH,98,181.33333333333331,score-midi-no-match
RH,94,181.66666666666666,score-midi-no-match
RH,100,182.0,score-midi-no-match
RH,90,183.25,score-midi-no-match
RH,86,183.75,score-midi-no-match
RH,88,186.0,score-midi-no-match
RH,80,186.125,score-midi-no-match
LH,46,187.25,score-midi-no-match
RH,78,187.25,score-midi-no-match
LH,41,188.75,score-midi-no-match
LH,38,189.25,score-midi-no-match
RH,74,189.25,score-midi-no-match
LH,41,191.25,score-midi-no-match
RH,66,191.25,score-midi-no-match
LH,55,192.125,musicxml-ambiguous
RH,62,192.125,score-midi-no-match
LH,54,192.375,musicxml-ambiguous
LH,52,193.75,score-midi-no-match
LH,57,194.25,score-midi-no-match
RH,63,194.33333333333331,score-midi-no-match
LH,59,194.375,score-midi-no-match
LH,48,194.625,score-midi-no-match
LH,58,194.625,score-midi-no-match
LH,41,195.5,score-midi-no-match
LH,52,195.875,score-midi-no-match
LH,57,196.5,score-midi-no-match
RH,60,196.5,score-midi-no-match
LH,50,197.75,score-midi-no-match
LH,50,198.33333333333331,score-midi-no-match
LH,43,227.66666666666666,score-midi-no-match
RH,61,247.25,score-midi-no-match
RH,62,259.5,score-midi-no-match
RH,82,259.875,score-midi-no-match
RH,85,259.875,musicxml-no-match
RH,87,260.875,musicxml-no-match
RH,77,261.66666666666663,score-midi-no-match
RH,88,261.875,score-midi-no-match
RH,89,262.0,score-midi-no-match
RH,87,262.5,score-midi-no-match
RH,88,262.5,score-midi-no-match
RH,91,262.875,musicxml-no-match
LH,53,263.5,score-midi-no-match
RH,72,270.75,score-midi-no-match
RH,72,272.25,score-midi-no-match
RH,68,273.375,score-midi-no-match
LH,42,274.5,score-midi-no-match
LH,45,276.125,score-midi-no-match
LH,57,277.625,score-midi-no-match
LH,57,279.125,score-midi-no-match
LH,29,279.625,score-midi-no-match
RH,61,280.3333333333333,score-midi-no-match
RH,65,280.875,score-midi-no-match
RH,69,280.875,score-midi-no-match
RH,75,280.875,score-midi-no-match
RH,70,288.0,score-midi-no-match
RH,76,288.5,score-midi-no-match
RH,76,294.25,score-midi-no-match
LH,38,297.625,score-midi-no-match
LH,26,299.375,score-midi-no-match
LH,26,300.375,score-midi-no-match
LH,26,301.375,score-midi-no-match
LH,48,301.75,duplicate-alignment-key
LH,28,302.375,score-midi-no-match
LH,56,302.375,musicxml-ambiguous
LH,28,303.375,score-midi-no-match
LH,28,304.5,score-midi-no-match
LH,26,305.5,score-midi-no-match
LH,29,306.5,score-midi-no-match
LH,29,307.625,score-midi-no-match
LH,29,308.625,score-midi-no-match
LH,29,309.625,score-midi-no-match
LH,32,309.625,score-midi-no-match
LH,31,310.5,score-midi-no-match
LH,59,310.5,musicxml-ambiguous
LH,31,311.625,score-midi-no-match
LH,31,312.5,score-midi-no-match
LH,31,313.625,score-midi-no-match
LH,26,314.0,score-midi-no-match
RH,68,318.5,musicxml-ambiguous
RH,62,326.0,score-midi-no-match
RH,71,326.375,musicxml-ambiguous
LH,51,327.5,score-midi-no-match
LH,48,331.625,score-midi-no-match
RH,60,331.75,score-midi-no-match
LH,39,331.875,score-midi-no-match
LH,40,331.875,score-midi-no-match
LH,48,332.125,score-midi-no-match
RH,66,332.875,score-midi-no-match
RH,65,333.0,score-midi-no-match
RH,65,333.125,score-midi-no-match
LH,56,333.75,score-midi-no-match
LH,43,334.125,score-midi-no-match
LH,52,334.5,score-midi-no-match
LH,40,334.875,score-midi-no-match
RH,79,334.875,score-midi-no-match
LH,50,335.125,score-midi-no-match
RH,60,335.75,score-midi-no-match
RH,62,335.75,score-midi-no-match
LH,57,335.875,score-midi-no-match
LH,50,336.125,score-midi-no-match
RH,68,336.875,score-midi-no-match
RH,67,337.0,score-midi-no-match
RH,67,337.25,score-midi-no-match
LH,36,337.875,score-midi-no-match
LH,45,339.375,score-midi-no-match
RH,71,340.375,musicxml-ambiguous
LH,38,340.875,score-midi-no-match
LH,50,341.125,score-midi-no-match
LH,34,341.5,score-midi-no-match
LH,26,341.875,score-midi-no-match
LH,28,342.0,score-midi-no-match
LH,56,342.5,score-midi-no-match
RH,73,343.125,score-midi-no-match
RH,75,344.125,score-midi-no-match
LH,54,344.5,score-midi-no-match
