pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision
61,70,3,452.125,0.03125,0.125,0.125,0.0,0.208333333,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,ProkofievToccata,RH,ProkofievToccata:RH:61:452.125000:3,normal,,,unmatched,external,,,,,,,,,,,,
61,70,3,452.125,0.03125,0.125,0.125,0.0,0.208333333,0.208333333,0.083333333,0.083333333,0,0,1,0.838746562,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:61:452.125000:3,normal,,,unmatched,external,,,,,,,,,,,,
64,77,3,452.125,0.03125,0.125,0.125,0.0,0.208333333,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,ProkofievToccata,RH,ProkofievToccata:RH:64:452.125000:3,normal,,,unmatched,external,,,,,,,,,,,,
64,77,3,452.125,0.03125,0.125,0.125,0.0,0.208333333,0.208333333,0.083333333,0.083333333,0,0,1,0.838746562,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:64:452.125000:3,normal,,,unmatched,external,,,,,,,,,,,,
62,75,3,452.333333333,0.083333333,0.125,0.125,0.0,0.166666667,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,ProkofievToccata,RH,ProkofievToccata:RH:62:452.333333:3,normal,,,unmatched,external,,,,,,,,,,,,
62,75,3,452.333333333,0.083333333,0.125,0.125,0.0,0.166666667,0.166666667,0.041666667,0.041666667,0,0,1,0.901838446,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:62:452.333333:3,normal,,,unmatched,external,,,,,,,,,,,,
63,76,3,452.5,0.125,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,ProkofievToccata,RH,ProkofievToccata:RH:63:452.500000:3,normal,,,unmatched,external,,,,,,,,,,,,
63,76,3,452.5,0.125,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:63:452.500000:3,normal,,,unmatched,external,,,,,,,,,,,,
66,77,3,452.5,0.125,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,ProkofievToccata,RH,ProkofievToccata:RH:66:452.500000:3,normal,,,ambiguous-candidate,external,P1,1,434.25,0.25,0,0,,,,,,
66,77,3,452.5,0.125,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:66:452.500000:3,normal,,,ambiguous-candidate,external,P1,1,434.25,0.25,0,0,,,,,,
64,85,3,452.75,0.1875,0.125,6.518229167,6.393229167,0.125,0.125,0.0,6.393229167,0,0,1,0.720116436,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:64:452.750000:3,medium,,,unmatched,external,,,,,,,,,,,,
65,79,3,452.875,0.21875,0.125,6.393229167,6.268229167,0.25,0.125,0.0,6.268229167,0,0,0,0.700135279,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:65:452.875000:3,medium,,,unmatched,external,,,,,,,,,,,,
65,79,3,452.875,0.21875,0.125,6.393229167,6.268229167,0.25,0.25,0.125,6.143229167,0,0,1,0.56531772,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:65:452.875000:3,medium,,,unmatched,external,,,,,,,,,,,,
68,79,3,452.875,0.21875,0.125,6.393229167,6.268229167,0.25,0.125,0.0,6.268229167,0,0,0,0.700135279,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:68:452.875000:3,medium,,,unmatched,external,,,,,,,,,,,,
68,79,3,452.875,0.21875,0.125,6.393229167,6.268229167,0.25,0.25,0.125,6.143229167,0,0,1,0.56531772,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:68:452.875000:3,medium,,,unmatched,external,,,,,,,,,,,,
65,78,3,453.125,0.28125,0.125,6.143229167,6.018229167,0.125,0.125,0.0,6.018229167,0,0,1,0.720182608,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:65:453.125000:3,medium,,,unmatched,external,,,,,,,,,,,,
66,79,3,453.25,0.3125,0.125,6.018229167,5.893229167,0.25,0.125,0.0,5.893229167,0,0,0,0.70021216,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:66:453.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
66,79,3,453.25,0.3125,0.125,6.018229167,5.893229167,0.25,0.25,0.125,5.768229167,0,0,1,0.565407043,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:66:453.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
69,82,3,453.25,0.3125,0.125,6.018229167,5.893229167,0.25,0.125,0.0,5.893229167,0,0,0,0.70021216,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:69:453.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
69,82,3,453.25,0.3125,0.125,6.018229167,5.893229167,0.25,0.25,0.125,5.768229167,0,0,1,0.565407043,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:69:453.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
66,84,3,453.5,0.375,0.125,5.768229167,5.643229167,0.166666667,0.125,0.0,5.643229167,0,0,0,0.700286386,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:66:453.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
66,84,3,453.5,0.375,0.125,5.768229167,5.643229167,0.166666667,0.166666667,0.041666667,5.6015625,0,0,1,0.664332159,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:66:453.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
67,74,3,453.666666667,0.416666667,0.125,5.6015625,5.4765625,0.208333333,0.125,0.0,5.4765625,0,0,0,0.700349793,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:67:453.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
67,74,3,453.666666667,0.416666667,0.125,5.6015625,5.4765625,0.208333333,0.208333333,0.083333333,5.393229167,0,0,1,0.612923789,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:67:453.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
70,72,3,453.666666667,0.416666667,0.125,5.6015625,5.4765625,0.208333333,0.125,0.0,5.4765625,0,0,0,0.700349793,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:70:453.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
70,72,3,453.666666667,0.416666667,0.125,5.6015625,5.4765625,0.208333333,0.208333333,0.083333333,5.393229167,0,0,1,0.612923789,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:70:453.666667:3,medium,,,unmatched,external,,,,,,,,,,,,
67,88,3,453.875,0.46875,0.125,5.393229167,5.268229167,0.25,0.125,0.0,5.268229167,0,0,0,0.700449143,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:67:453.875000:3,medium,,,unmatched,external,,,,,,,,,,,,
67,88,3,453.875,0.46875,0.125,5.393229167,5.268229167,0.25,0.25,0.125,5.143229167,0,0,1,0.565682378,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:67:453.875000:3,medium,,,unmatched,external,,,,,,,,,,,,
68,81,3,454.125,0.53125,0.125,5.143229167,5.018229167,0.125,0.125,0.0,5.018229167,0,0,1,0.72060628,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:68:454.125000:3,medium,,,unmatched,external,,,,,,,,,,,,
71,75,3,454.125,0.53125,0.125,5.143229167,5.018229167,0.125,0.125,0.0,5.018229167,0,0,1,0.72060628,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:71:454.125000:3,medium,,,unmatched,external,,,,,,,,,,,,
68,77,3,454.25,0.5625,0.25,5.018229167,4.768229167,0.25,0.25,0.0,4.768229167,0,0,1,0.720818392,key-release-grid+next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:68:454.250000:3,medium,,,unmatched,external,,,,,,,,,,,,
69,77,3,454.5,0.625,0.166666667,4.768229167,4.6015625,0.166666667,0.166666667,0.0,4.6015625,0,0,1,0.720999586,next-voice-onset,ProkofievToccata,RH,ProkofievToccata:RH:69:454.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
69,77,3,454.5,0.625,0.166666667,4.768229167,4.6015625,0.166666667,0.125,0.041666667,4.643229167,0,0,0,0.644981925,key-release-grid,ProkofievToccata,RH,ProkofievToccata:RH:69:454.500000:3,medium,,,unmatched,external,,,,,,,,,,,,
