pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note
61,77,1,16.125,0.03125,0.333333333,0.997395833,0.6640625,0.75,0.333333333,0.0,0.6640625,0,0,0,0.812683828,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.125000:1,medium,,,unmatched,external,,,,,,,,
61,77,1,16.125,0.03125,0.333333333,0.997395833,0.6640625,0.75,0.375,0.041666667,0.622395833,0,0,0,0.762492342,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.125000:1,medium,,,unmatched,external,,,,,,,,
61,77,1,16.125,0.03125,0.333333333,0.997395833,0.6640625,0.75,0.25,0.083333333,0.747395833,0,0,0,0.694497752,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.125000:1,medium,,,unmatched,external,,,,,,,,
61,77,1,16.125,0.03125,0.333333333,0.997395833,0.6640625,0.75,0.75,0.416666667,0.247395833,0,0,1,0.51000297,next-voice-onset,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.125000:1,medium,,,unmatched,external,,,,,,,,
63,99,2,16.125,0.03125,0.375,0.997395833,0.622395833,0.875,0.375,0.0,0.622395833,0,0,0,0.818461252,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:63:16.125000:2,medium,,,ambiguous-candidate,external,P1,1,14.5,0.5,0,0,,
63,99,2,16.125,0.03125,0.375,0.997395833,0.622395833,0.875,0.333333333,0.041666667,0.6640625,0,0,0,0.756714918,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:63:16.125000:2,medium,,,ambiguous-candidate,external,P1,1,14.5,0.5,0,0,,
63,99,2,16.125,0.03125,0.375,0.997395833,0.622395833,0.875,0.5,0.125,0.497395833,0,0,0,0.682792887,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:63:16.125000:2,medium,,,ambiguous-candidate,external,P1,1,14.5,0.5,0,0,,
63,99,2,16.125,0.03125,0.375,0.997395833,0.622395833,0.875,0.875,0.5,0.122395833,0,0,1,0.493366083,next-voice-onset,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:63:16.125000:2,medium,,,ambiguous-candidate,external,P1,1,14.5,0.5,0,0,,
61,73,1,16.875,0.21875,0.25,0.25,0.0,1.791666667,0.25,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.875000:1,normal,,,unmatched,external,,,,,,,,
61,73,1,16.875,0.21875,0.25,0.25,0.0,1.791666667,0.333333333,0.083333333,0.083333333,0,0,0,0.818746562,key-release-grid+pedal-acoustic-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.875000:1,normal,,,unmatched,external,,,,,,,,
61,73,1,16.875,0.21875,0.25,0.25,0.0,1.791666667,1.791666667,1.541666667,1.541666667,0,0,1,0.091373711,next-voice-onset,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:61:16.875000:1,normal,,,unmatched,external,,,,,,,,
64,81,2,17.0,0.25,0.25,4.171875,3.921875,0.625,0.25,0.0,3.921875,0,0,0,0.702259652,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:64:17.000000:2,medium,,,unmatched,external,,,,,,,,
64,81,2,17.0,0.25,0.25,4.171875,3.921875,0.625,0.333333333,0.083333333,3.838541667,0,0,0,0.59503451,key-release-grid,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:64:17.000000:2,medium,,,unmatched,external,,,,,,,,
64,81,2,17.0,0.25,0.25,4.171875,3.921875,0.625,0.625,0.375,3.546875,0,0,1,0.354200427,next-voice-onset,ScriabinSonatas_5,RH,ScriabinSonatas_5:RH:64:17.000000:2,medium,,,unmatched,external,,,,,,,,
