segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:27:1375.333333:3,LH,27,1375.333333,m.344 beat 4.333,3,0.125,4.4375,4.3125,0.333333333,medium,,,,,,,unmatched,0.125000;0.333333,key-release-grid;next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:27:1379.875000:3,LH,27,1379.875000,m.345 beat 4.875,3,0.125,4.84375,4.71875,0.125,medium,,,,,,,unmatched,0.125000,barline+key-release-grid+next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:28:1371.500000:3,LH,28,1371.500000,m.343 beat 4.500,3,0.125,3.71875,3.59375,0.375,medium,,,,,,,unmatched,0.125000;0.375000,key-release-grid;next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:30:1371.375000:3,LH,30,1371.375000,m.343 beat 4.375,3,0.125,0.125,0.0,0.125,normal,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset+pedal-acoustic-grid,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:30:1375.333333:3,LH,30,1375.333333,m.344 beat 4.333,3,0.125,4.4375,4.3125,0.333333333,medium,,,,,,,unmatched,0.125000;0.333333,key-release-grid;next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:37:1380.000000:3,LH,37,1380.000000,m.346 beat 1.000,3,0.125,4.71875,4.59375,0.375,medium,,,,,,,unmatched,0.125000;0.375000,key-release-grid;next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1371.375000:3,LH,39,1371.375000,m.343 beat 4.375,3,0.125,0.125,0.0,0.125,normal,P2,1,1215.0,3.0,0,1,reference-duration-not-candidate,0.125000,key-release-grid+next-voice-onset+pedal-acoustic-grid,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1375.333333:3,LH,39,1375.333333,m.344 beat 4.333,3,0.125,4.4375,4.3125,0.333333333,medium,,,,,,,unmatched,0.125000;0.333333,key-release-grid;next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:39:1379.875000:3,LH,39,1379.875000,m.345 beat 4.875,3,0.125,4.84375,4.71875,0.125,medium,,,,,,,unmatched,0.125000,barline+key-release-grid+next-voice-onset,,,,,,
Scriabin_Sonatas_5_343,ScriabinSonatas_5,Scriabin,Sonatas_5,ScriabinSonatas_5:LH:40:1371.500000:3,LH,40,1371.500000,m.343 beat 4.500,3,0.125,3.71875,3.59375,0.375,medium,,,,,,,unmatched,0.125000;0.375000,key-release-grid;next-voice-onset,,,,,,
