pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note
60,44,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,1.75,0.0,0.408854167,1,0,0,0.803382506,key-release-grid,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:60:3.875000:1,medium,,,unmatched,external,,,,,,,,
60,44,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,1.875,0.125,0.283854167,1,0,1,0.699723467,next-voice-onset,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:60:3.875000:1,medium,,,unmatched,external,,,,,,,,
60,44,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,1.666666667,0.083333333,0.4921875,1,0,0,0.688460427,key-release-grid,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:60:3.875000:1,medium,,,unmatched,external,,,,,,,,
60,44,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,0.125,1.625,2.033854167,0,1,0,0.088918544,barline,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:60:3.875000:1,medium,,,unmatched,external,,,,,,,,
64,48,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,1.75,0.0,0.408854167,1,0,0,0.803382506,key-release-grid,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:64:3.875000:1,medium,,,unmatched,external,,,,,,,,
64,48,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,1.875,0.125,0.283854167,1,0,1,0.699723467,next-voice-onset,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:64:3.875000:1,medium,,,unmatched,external,,,,,,,,
64,48,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,1.666666667,0.083333333,0.4921875,1,0,0,0.688460427,key-release-grid,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:64:3.875000:1,medium,,,unmatched,external,,,,,,,,
64,48,1,3.875,0.96875,1.75,2.158854167,0.408854167,1.875,0.125,1.625,2.033854167,0,1,0,0.088918544,barline,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:64:3.875000:1,medium,,,unmatched,external,,,,,,,,
62,49,1,5.75,0.4375,0.125,0.283854167,0.158854167,0.25,0.125,0.0,0.158854167,0,0,0,0.906610611,key-release-grid,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:62:5.750000:1,normal,,,ambiguous-candidate,external,P1,1,2.0,0.25,0,0,,
62,49,1,5.75,0.4375,0.125,0.283854167,0.158854167,0.25,0.25,0.125,0.033854167,0,0,1,0.805207831,next-voice-onset+pedal-acoustic-grid,BeethovenPiano_Sonatas_3-1,RH,BeethovenPiano_Sonatas_3-1:RH:62:5.750000:1,normal,,,ambiguous-candidate,external,P1,1,2.0,0.25,0,0,,
