pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note
61,84,1,26.25,0.5625,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:26.250000:1,normal,,,unmatched,external,,,,,,,,
61,84,1,26.25,0.5625,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:26.250000:1,normal,,,unmatched,external,,,,,,,,
61,69,1,26.5,0.625,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:26.500000:1,normal,,,reference-duration-not-candidate,external,P1,1,17.0,0.5,0,0,,
61,69,1,26.5,0.625,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:26.500000:1,normal,,,reference-duration-not-candidate,external,P1,1,17.0,0.5,0,0,,
61,72,1,26.75,0.6875,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:26.750000:1,normal,,,reference-duration-not-candidate,external,P1,1,17.5,0.5,0,0,,
61,72,1,26.75,0.6875,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:26.750000:1,normal,,,reference-duration-not-candidate,external,P1,1,17.5,0.5,0,0,,
61,80,1,27.0,0.75,0.125,0.795833333,0.670833333,0.25,0.125,0.0,0.670833333,0,0,0,0.811771982,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.000000:1,medium,,,reference-duration-not-candidate,external,P1,1,18.0,0.5,0,0,,
61,80,1,27.0,0.75,0.125,0.795833333,0.670833333,0.25,0.25,0.125,0.545833333,0,0,1,0.695021064,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.000000:1,medium,,,reference-duration-not-candidate,external,P1,1,18.0,0.5,0,0,,
61,86,1,27.25,0.8125,0.125,0.545833333,0.420833333,0.25,0.125,0.0,0.420833333,0,0,0,0.850876394,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.250000:1,medium,,,reference-duration-not-candidate,external,P1,1,18.5,0.5,0,0,,
61,86,1,27.25,0.8125,0.125,0.545833333,0.420833333,0.25,0.25,0.125,0.295833333,0,0,1,0.740453909,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.250000:1,medium,,,reference-duration-not-candidate,external,P1,1,18.5,0.5,0,0,,
61,96,1,27.5,0.875,0.125,0.295833333,0.170833333,0.25,0.125,0.0,0.170833333,0,0,0,0.903661829,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.500000:1,normal,,,reference-duration-not-candidate,external,P1,1,19.0,0.5,0,0,,
61,96,1,27.5,0.875,0.125,0.295833333,0.170833333,0.25,0.25,0.125,0.045833333,0,0,1,0.801781835,next-voice-onset+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.500000:1,normal,,,reference-duration-not-candidate,external,P1,1,19.0,0.5,0,0,,
60,97,1,27.75,0.9375,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:60:27.750000:1,normal,,,unmatched,external,,,,,,,,
60,97,1,27.75,0.9375,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,1,1,0.820337542,barline+next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:60:27.750000:1,normal,,,unmatched,external,,,,,,,,
61,81,1,27.75,0.9375,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.750000:1,normal,,,unmatched,external,,,,,,,,
61,81,1,27.75,0.9375,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,1,1,0.820337542,barline+next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:27.750000:1,normal,,,unmatched,external,,,,,,,,
69,91,1,27.75,0.9375,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:27.750000:1,normal,,,unmatched,external,,,,,,,,
69,91,1,27.75,0.9375,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,1,1,0.820337542,barline+next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:27.750000:1,normal,,,unmatched,external,,,,,,,,
61,93,1,28.0,0.0,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.000000:1,normal,,,reference-duration-not-candidate,external,P1,1,20.0,0.5,0,0,,
61,93,1,28.0,0.0,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.000000:1,normal,,,reference-duration-not-candidate,external,P1,1,20.0,0.5,0,0,,
69,88,1,28.0,0.0,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:28.000000:1,normal,,,reference-duration-not-candidate,external,P1,1,20.0,0.5,0,0,,
69,88,1,28.0,0.0,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:28.000000:1,normal,,,reference-duration-not-candidate,external,P1,1,20.0,0.5,0,0,,
61,99,1,28.25,0.0625,0.125,2.270833333,2.145833333,0.25,0.125,0.0,2.145833333,0,0,0,0.719038456,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.250000:1,medium,,,reference-duration-not-candidate,external,P1,1,20.5,0.5,0,0,,
61,99,1,28.25,0.0625,0.125,2.270833333,2.145833333,0.25,0.25,0.125,2.020833333,0,0,1,0.587280078,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.250000:1,medium,,,reference-duration-not-candidate,external,P1,1,20.5,0.5,0,0,,
69,94,1,28.25,0.0625,0.125,2.270833333,2.145833333,0.25,0.125,0.0,2.145833333,0,0,0,0.719038456,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:28.250000:1,medium,,,reference-duration-not-candidate,external,P1,1,20.5,0.5,0,0,,
69,94,1,28.25,0.0625,0.125,2.270833333,2.145833333,0.25,0.25,0.125,2.020833333,0,0,1,0.587280078,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:28.250000:1,medium,,,reference-duration-not-candidate,external,P1,1,20.5,0.5,0,0,,
61,100,1,28.5,0.125,0.125,2.020833333,1.895833333,0.25,0.125,0.0,1.895833333,0,0,0,0.725699227,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.500000:1,medium,,,reference-duration-not-candidate,external,P1,1,21.0,0.5,0,0,,
61,100,1,28.5,0.125,0.125,2.020833333,1.895833333,0.25,0.25,0.125,1.770833333,0,0,1,0.59501879,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.500000:1,medium,,,reference-duration-not-candidate,external,P1,1,21.0,0.5,0,0,,
69,90,1,28.5,0.125,0.125,2.020833333,1.895833333,0.25,0.125,0.0,1.895833333,0,0,0,0.725699227,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:28.500000:1,medium,,,reference-duration-not-candidate,external,P1,1,21.0,0.5,0,0,,
69,90,1,28.5,0.125,0.125,2.020833333,1.895833333,0.25,0.25,0.125,1.770833333,0,0,1,0.59501879,next-voice-onset,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:69:28.500000:1,medium,,,reference-duration-not-candidate,external,P1,1,21.0,0.5,0,0,,
61,104,1,28.75,0.1875,0.125,1.770833333,1.645833333,0.25,0.125,0.0,1.645833333,0,0,0,0.734690328,key-release-grid,LisztMephisto_Waltz,RH,LisztMephisto_Waltz:RH:61:28.750000:1,medium,,,reference-duration-not-candidate,external,P1,1,21.5,0.5,0,0,,
