segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:30:887.250000:1,LH,30,887.250000,m.222 beat 4.250,1,0.125,0.272916667,0.147916667,0.25,normal,,,,,,,unmatched,0.125000;0.250000,key-release-grid;next-voice-onset+pedal-acoustic-grid,no,hold,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:30:887.500000:1,LH,30,887.500000,m.222 beat 4.500,1,0.333333333,1.970833333,1.6375,0.5,medium,,,,,,,unmatched,0.250000;0.333333;0.375000;0.500000,barline+next-voice-onset;key-release-grid,yes,release,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:31:888.000000:1,LH,31,888.000000,m.223 beat 1.000,1,0.125,1.470833333,1.345833333,134.375,medium,,,,,,,unmatched,0.125000;1.333333;1.500000;4.000000;134.375000,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:32:886.500000:3,LH,32,886.500000,m.222 beat 3.500,3,0.125,1.022916667,0.897916667,0.833333333,medium,,,,,,,unmatched,0.125000;0.833333,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:33:887.333333:3,LH,33,887.333333,m.222 beat 4.333,3,0.5,2.1375,1.6375,1.916666667,medium,,,,,,,unmatched,0.500000;0.666667;1.916667,barline+key-release-grid;key-release-grid;next-voice-onset,yes,release,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:34:886.500000:1,LH,34,886.500000,m.222 beat 3.500,1,0.625,1.022916667,0.397916667,0.75,medium,,,,,,,unmatched,0.500000;0.625000;0.666667;0.750000,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:35:886.500000:3,LH,35,886.500000,m.222 beat 3.500,3,0.125,1.022916667,0.897916667,0.833333333,medium,,,,,,,unmatched,0.125000;0.833333,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:35:897.000000:4,LH,35,897.000000,m.225 beat 2.000,4,0.125,3.495833333,3.370833333,2.75,medium,,,,,,,unmatched,0.125000;2.750000,key-release-grid;next-voice-onset,yes,change,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:36:884.375000:3,LH,36,884.375000,m.222 beat 1.375,3,0.125,3.147916667,3.022916667,0.958333333,medium,,,,,,,unmatched,0.125000;0.958333,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:36:886.500000:2,LH,36,886.500000,m.222 beat 3.500,2,0.5,1.022916667,0.522916667,3.0,medium,,,,,,,unmatched,0.500000;0.666667;1.000000;1.500000;3.000000,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:36:897.000000:4,LH,36,897.000000,m.225 beat 2.000,4,0.125,3.495833333,3.370833333,2.75,medium,,,,,,,unmatched,0.125000;2.750000,key-release-grid;next-voice-onset,yes,change,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:37:885.333333:3,LH,37,885.333333,m.222 beat 2.333,3,0.166666667,2.189583333,2.022916667,0.166666667,medium,,,,,,,unmatched,0.125000;0.166667,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:37:885.500000:3,LH,37,885.500000,m.222 beat 2.500,3,0.333333333,2.022916667,1.689583333,0.625,medium,,,,,,,unmatched,0.250000;0.333333;0.375000;0.625000,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:37:889.500000:2,LH,37,889.500000,m.223 beat 2.500,2,0.125,0.125,0.0,3.25,normal,,,,,,,unmatched,0.125000;2.500000;3.250000,barline;key-release-grid+pedal-acoustic-grid;next-voice-onset,no,change,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:38:886.125000:3,LH,38,886.125000,m.222 beat 3.125,3,0.125,1.397916667,1.272916667,0.375,medium,,,,,,,unmatched,0.125000;0.375000,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:38:888.500000:4,LH,38,888.500000,m.223 beat 1.500,4,0.125,0.970833333,0.845833333,0.125,medium,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:39:885.333333:2,LH,39,885.333333,m.222 beat 2.333,2,0.125,2.189583333,2.064583333,0.541666667,medium,,,,,,,unmatched,0.125000;0.541667,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:40:888.625000:4,LH,40,888.625000,m.223 beat 1.625,4,0.125,0.845833333,0.720833333,0.5,medium,,,,,,,unmatched,0.125000;0.500000,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:41:888.000000:4,LH,41,888.000000,m.223 beat 1.000,4,0.125,1.470833333,1.345833333,0.5,medium,,,,,,,unmatched,0.125000;0.500000,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:42:886.500000:4,LH,42,886.500000,m.222 beat 3.500,4,0.375,1.022916667,0.647916667,0.75,medium,,,,,,,unmatched,0.333333;0.375000;0.500000;0.750000,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:42:887.250000:4,LH,42,887.250000,m.222 beat 4.250,4,0.125,0.272916667,0.147916667,0.25,normal,,,,,,,unmatched,0.125000;0.250000,key-release-grid;next-voice-onset+pedal-acoustic-grid,no,hold,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:42:887.500000:4,LH,42,887.500000,m.222 beat 4.500,4,0.333333333,1.970833333,1.6375,0.5,medium,,,,,,,unmatched,0.250000;0.333333;0.375000;0.500000,barline+next-voice-onset;key-release-grid,yes,release,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:42:895.125000:4,LH,42,895.125000,m.224 beat 4.125,4,0.125,1.827083333,1.702083333,1.75,medium,,,,,,,unmatched,0.125000;0.875000;1.666667;1.750000,barline;key-release-grid;next-voice-onset+pedal-acoustic-grid;pedal-acoustic-grid,yes,change,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:42:896.875000:4,LH,42,896.875000,m.225 beat 1.875,4,0.125,0.125,0.0,0.125,normal,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset+pedal-acoustic-grid,no,change,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:44:893.500000:4,LH,44,893.500000,m.224 beat 2.500,4,0.125,1.577083333,1.452083333,1.625,medium,,,,,,,unmatched,0.125000;1.500000;1.625000,key-release-grid;next-voice-onset+pedal-acoustic-grid;pedal-acoustic-grid,yes,change,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:47:897.000000:4,LH,47,897.000000,m.225 beat 2.000,4,0.125,3.495833333,3.370833333,2.75,medium,,,,,,,unmatched,0.125000;2.750000,key-release-grid;next-voice-onset,yes,change,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:48:884.375000:2,LH,48,884.375000,m.222 beat 1.375,2,0.125,3.147916667,3.022916667,0.958333333,medium,,,,,,,unmatched,0.125000;0.958333,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:48:897.000000:3,LH,48,897.000000,m.225 beat 2.000,3,0.125,3.495833333,3.370833333,0.75,medium,,,,,,,unmatched,0.125000;0.750000,key-release-grid;next-voice-onset,yes,change,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:49:885.333333:3,LH,49,885.333333,m.222 beat 2.333,3,0.166666667,2.189583333,2.022916667,0.166666667,medium,,,,,,,unmatched,0.125000;0.166667,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:49:885.500000:1,LH,49,885.500000,m.222 beat 2.500,1,0.5,2.022916667,1.522916667,0.625,medium,,,,,,,unmatched,0.500000;0.625000,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:49:889.500000:3,LH,49,889.500000,m.223 beat 2.500,3,0.125,0.125,0.0,2.375,normal,,,,,,,unmatched,0.125000;2.375000,key-release-grid+pedal-acoustic-grid;next-voice-onset,no,change,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:50:886.125000:1,LH,50,886.125000,m.222 beat 3.125,1,0.125,1.397916667,1.272916667,0.375,medium,,,,,,,unmatched,0.125000;0.375000,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:50:888.500000:4,LH,50,888.500000,m.223 beat 1.500,4,0.125,0.970833333,0.845833333,0.125,medium,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:51:885.375000:1,LH,51,885.375000,m.222 beat 2.375,1,0.125,2.147916667,2.022916667,0.125,medium,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:51:899.666667:3,LH,51,899.666667,m.225 beat 4.667,3,0.125,0.829166667,0.704166667,1.083333333,medium,,,,,,,unmatched,0.125000;0.333333;0.666667;0.750000;0.875000;1.083333,barline;key-release-grid;next-voice-onset;pedal-acoustic-grid,yes,hold,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:51:899.750000:2,LH,51,899.750000,m.225 beat 4.750,2,0.125,0.745833333,0.620833333,0.25,medium,,,,,,,unmatched,0.125000;0.250000,barline+next-voice-onset;key-release-grid,yes,hold,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:53:885.875000:2,LH,53,885.875000,m.222 beat 2.875,2,0.125,1.647916667,1.522916667,0.125,medium,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:53:889.250000:3,LH,53,889.250000,m.223 beat 2.250,3,0.125,0.220833333,0.095833333,0.25,normal,,,,,,,unmatched,0.125000;0.250000,key-release-grid;next-voice-onset+pedal-acoustic-grid,no,change,stop,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:53:892.666667:4,LH,53,892.666667,m.224 beat 1.667,4,0.125,0.739583333,0.614583333,0.208333333,medium,,,,,,,unmatched,0.125000;0.208333,key-release-grid;next-voice-onset,yes,hold,start,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:53:892.875000:4,LH,53,892.875000,m.224 beat 1.875,4,0.125,0.53125,0.40625,0.25,medium,,,,,,,unmatched,0.125000;0.250000,key-release-grid;next-voice-onset,yes,hold,none,,,
Liszt_Mephisto_Waltz_222,LisztMephisto_Waltz,Liszt,Mephisto_Waltz,LisztMephisto_Waltz:LH:53:893.125000:4,LH,53,893.125000,m.224 beat 2.125,4,0.125,0.28125,0.15625,0.125,normal,,,,,,,unmatched,0.125000,key-release-grid+next-voice-onset,no,hold,none,,,
