hand,pitch,start_ql,start_location,duration_ql,part_id,voice,tie_start,tie_stop
LH,56,885.000000,m.222 beat 2.000,1.000000,P1,6,0,0
LH,56,885.000000,m.222 beat 2.000,0.500000,P1,7,0,0
LH,56,886.500000,m.222 beat 3.500,1.000000,P1,6,0,0
LH,56,886.500000,m.222 beat 3.500,0.500000,P1,7,0,0
LH,46,889.500000,m.223 beat 2.500,0.500000,P1,6,0,0
LH,56,891.000000,m.223 beat 4.000,1.000000,P1,6,0,0
LH,56,891.000000,m.223 beat 4.000,0.500000,P1,7,0,0
LH,39,892.500000,m.224 beat 1.500,1.000000,P1,6,0,0
LH,55,894.000000,m.224 beat 3.000,1.000000,P1,6,0,0
LH,55,894.000000,m.224 beat 3.000,0.500000,P1,7,0,0
LH,44,895.500000,m.224 beat 4.500,1.000000,P1,8,0,0
LH,54,897.000000,m.225 beat 2.000,1.000000,P1,6,0,0
LH,54,897.000000,m.225 beat 2.000,0.500000,P1,7,0,0
LH,54,898.500000,m.225 beat 3.500,1.000000,P1,6,0,0
LH,54,898.500000,m.225 beat 3.500,0.500000,P1,7,0,0
RH,72,884.000000,m.222 beat 1.000,1.000000,P1,5,0,0
RH,72,884.000000,m.222 beat 1.000,0.500000,P1,6,0,0
RH,84,884.000000,m.222 beat 1.000,0.166667,P1,1,0,0
RH,89,884.166667,m.222 beat 1.167,0.166667,P1,1,0,0
RH,96,884.333333,m.222 beat 1.333,0.166667,P1,1,0,0
RH,63,884.500000,m.222 beat 1.500,0.500000,P1,6,0,0
RH,65,884.500000,m.222 beat 1.500,0.500000,P1,6,0,0
RH,95,884.500000,m.222 beat 1.500,0.166667,P1,1,0,0
RH,94,884.666667,m.222 beat 1.667,0.166667,P1,1,0,0
RH,93,884.833333,m.222 beat 1.833,0.166667,P1,1,0,0
RH,92,885.000000,m.222 beat 2.000,0.166667,P1,1,0,0
RH,91,885.166667,m.222 beat 2.167,0.166667,P1,1,0,0
RH,90,885.333333,m.222 beat 2.333,0.166667,P1,1,0,0
RH,71,885.500000,m.222 beat 2.500,1.000000,P1,5,0,0
RH,71,885.500000,m.222 beat 2.500,0.500000,P1,7,0,0
RH,89,885.500000,m.222 beat 2.500,0.166667,P1,1,0,0
RH,88,885.666667,m.222 beat 2.667,0.166667,P1,1,0,0
RH,87,885.833333,m.222 beat 2.833,0.166667,P1,1,0,0
RH,63,886.000000,m.222 beat 3.000,0.500000,P1,7,0,0
RH,65,886.000000,m.222 beat 3.000,0.500000,P1,7,0,0
RH,86,886.000000,m.222 beat 3.000,0.166667,P1,1,0,0
RH,85,886.166667,m.222 beat 3.167,0.166667,P1,1,0,0
RH,84,886.333333,m.222 beat 3.333,0.166667,P1,1,0,0
RH,83,886.500000,m.222 beat 3.500,0.166667,P1,1,0,0
RH,82,886.666667,m.222 beat 3.667,0.166667,P1,1,0,0
RH,81,886.833333,m.222 beat 3.833,0.166667,P1,1,0,0
RH,71,887.000000,m.222 beat 4.000,1.000000,P1,5,0,0
RH,71,887.000000,m.222 beat 4.000,0.500000,P1,7,0,0
RH,80,887.000000,m.222 beat 4.000,0.166667,P1,1,0,0
RH,79,887.166667,m.222 beat 4.167,0.166667,P1,1,0,0
RH,78,887.333333,m.222 beat 4.333,0.166667,P1,1,0,0
RH,62,887.500000,m.222 beat 4.500,1.000000,P1,7,1,1
RH,65,887.500000,m.222 beat 4.500,1.000000,P1,7,1,1
RH,77,887.500000,m.222 beat 4.500,0.166667,P1,1,0,0
RH,78,887.666667,m.222 beat 4.667,0.166667,P1,1,0,0
RH,77,887.833333,m.222 beat 4.833,0.166667,P1,1,0,0
RH,70,888.000000,m.223 beat 1.000,0.500000,P1,5,0,0
RH,76,888.000000,m.223 beat 1.000,0.250000,P1,1,0,0
RH,77,888.250000,m.223 beat 1.250,0.250000,P1,1,0,0
RH,78,888.500000,m.223 beat 1.500,0.250000,P1,1,0,0
RH,77,888.750000,m.223 beat 1.750,0.250000,P1,1,0,0
RH,83,889.000000,m.223 beat 2.000,0.250000,P1,1,0,0
RH,82,889.250000,m.223 beat 2.250,0.250000,P1,1,0,0
RH,76,889.750000,m.223 beat 2.750,0.250000,P1,1,0,0
RH,64,890.000000,m.223 beat 3.000,1.000000,P1,5,0,0
RH,64,890.000000,m.223 beat 3.000,0.500000,P1,6,0,0
RH,76,890.000000,m.223 beat 3.000,0.250000,P1,1,0,0
RH,76,890.250000,m.223 beat 3.250,0.250000,P1,1,0,0
RH,61,890.500000,m.223 beat 3.500,0.500000,P1,6,0,0
RH,88,890.500000,m.223 beat 3.500,0.250000,P1,1,0,0
RH,76,890.750000,m.223 beat 3.750,0.250000,P1,1,0,0
RH,83,891.250000,m.223 beat 4.250,0.250000,P1,1,0,0
RH,71,891.500000,m.223 beat 4.500,1.000000,P1,5,0,0
RH,71,891.500000,m.223 beat 4.500,0.500000,P1,7,0,0
RH,83,891.500000,m.223 beat 4.500,0.250000,P1,1,0,0
RH,83,891.750000,m.223 beat 4.750,0.250000,P1,1,0,0
RH,61,892.000000,m.224 beat 1.000,0.500000,P1,7,0,0
RH,64,892.000000,m.224 beat 1.000,0.500000,P1,7,0,0
