hand,pitch,onset_ql,reason
RH,76,3.0,outside-or-invalid-beat-map
RH,71,3.125,outside-or-invalid-beat-map
LH,59,3.25,outside-or-invalid-beat-map
RH,76,5.375,score-midi-no-match
RH,74,6.666666666666666,musicxml-no-match
RH,78,6.666666666666666,musicxml-no-match
LH,59,6.75,musicxml-no-match
RH,62,6.75,musicxml-no-match
RH,66,6.75,musicxml-no-match
RH,62,9.375,musicxml-no-match
RH,66,9.375,musicxml-no-match
LH,54,9.5,musicxml-no-match
LH,59,9.5,musicxml-no-match
LH,47,9.625,musicxml-no-match
RH,76,13.375,score-midi-no-match
LH,59,13.5,score-midi-no-match
RH,67,13.5,score-midi-no-match
RH,64,13.625,musicxml-no-match
RH,71,14.625,musicxml-no-match
LH,54,14.666666666666666,musicxml-no-match
RH,71,14.666666666666666,musicxml-no-match
LH,59,15.875,musicxml-no-match
RH,64,15.875,musicxml-no-match
RH,67,15.875,musicxml-no-match
RH,76,15.875,musicxml-no-match
RH,62,16.125,score-midi-no-match
RH,71,16.125,score-midi-no-match
RH,74,16.125,score-midi-no-match
LH,54,16.25,score-midi-no-match
RH,71,16.333333333333332,musicxml-no-match
RH,76,17.125,musicxml-no-match
RH,67,17.25,musicxml-no-match
RH,64,17.333333333333332,musicxml-no-match
LH,59,19.875,musicxml-no-match
RH,64,19.875,musicxml-no-match
LH,40,20.0,musicxml-no-match
LH,47,20.0,musicxml-no-match
LH,52,20.0,musicxml-no-match
LH,55,20.0,musicxml-no-match
RH,74,23.666666666666664,score-midi-no-match
RH,71,23.75,score-midi-no-match
LH,55,23.875,score-midi-no-match
LH,59,23.875,score-midi-no-match
RH,62,23.875,score-midi-no-match
RH,73,25.0,musicxml-no-match
LH,52,25.125,musicxml-no-match
RH,61,25.125,musicxml-no-match
RH,74,26.25,score-midi-no-match
LH,55,26.333333333333332,musicxml-no-match
LH,59,26.333333333333332,musicxml-no-match
RH,71,26.375,musicxml-no-match
LH,52,26.625,score-midi-no-match
RH,67,26.625,score-midi-no-match
RH,73,26.625,score-midi-no-match
RH,61,26.75,score-midi-no-match
RH,67,26.75,musicxml-no-match
RH,61,26.875,musicxml-no-match
RH,62,27.75,musicxml-no-match
RH,71,27.75,musicxml-no-match
RH,74,27.75,musicxml-no-match
LH,59,30.0,musicxml-no-match
RH,62,30.0,musicxml-no-match
LH,43,30.125,musicxml-no-match
LH,50,30.125,musicxml-no-match
LH,55,30.125,musicxml-no-match
RH,74,32.33333333333333,musicxml-no-match
RH,66,32.375,musicxml-no-match
RH,69,32.375,musicxml-no-match
LH,54,32.5,musicxml-no-match
LH,57,32.5,musicxml-no-match
RH,62,32.5,musicxml-no-match
LH,54,35.125,musicxml-no-match
LH,57,35.125,musicxml-no-match
LH,38,35.25,musicxml-no-match
LH,45,35.25,musicxml-no-match
RH,61,37.0,score-midi-no-match
RH,73,37.0,score-midi-no-match
RH,60,37.5,score-midi-no-match
RH,72,37.5,score-midi-no-match
LH,54,38.375,score-midi-no-match
RH,66,38.75,musicxml-no-match
RH,71,38.75,musicxml-no-match
RH,74,38.75,musicxml-no-match
RH,62,41.375,musicxml-ambiguous
LH,35,41.5,musicxml-no-match
LH,47,41.5,musicxml-no-match
RH,74,45.5,score-midi-no-match
LH,55,46.875,musicxml-no-match
RH,64,46.875,musicxml-no-match
RH,67,46.875,musicxml-no-match
RH,76,46.875,musicxml-no-match
LH,59,47.125,score-midi-no-match
RH,62,47.125,score-midi-no-match
RH,71,47.125,musicxml-no-match
RH,74,47.125,score-midi-no-match
RH,67,48.125,musicxml-no-match
RH,76,48.125,musicxml-no-match
LH,55,48.25,musicxml-no-match
RH,64,48.25,musicxml-no-match
LH,55,50.75,musicxml-no-match
LH,59,50.75,musicxml-no-match
RH,64,50.75,musicxml-no-match
LH,40,50.875,musicxml-no-match
LH,47,50.875,musicxml-no-match
LH,52,50.875,score-midi-no-match
RH,62,54.25,score-midi-no-match
RH,71,54.25,score-midi-no-match
RH,74,54.25,score-midi-no-match
LH,55,54.375,score-midi-no-match
LH,59,54.375,score-midi-no-match
RH,73,55.375,musicxml-no-match
LH,52,55.5,musicxml-no-match
RH,61,55.5,musicxml-no-match
RH,67,55.666666666666664,score-midi-no-match
RH,74,56.666666666666664,score-midi-no-match
LH,55,56.75,musicxml-no-match
LH,59,56.75,musicxml-no-match
RH,62,56.75,musicxml-no-match
LH,52,57.0,score-midi-no-match
RH,61,57.0,score-midi-no-match
RH,67,57.0,score-midi-no-match
RH,73,57.0,score-midi-no-match
RH,67,57.25,musicxml-no-match
RH,74,58.125,musicxml-no-match
RH,62,58.25,musicxml-no-match
RH,71,58.25,musicxml-no-match
LH,59,61.0,musicxml-no-match
RH,62,61.0,musicxml-no-match
LH,43,61.125,musicxml-no-match
LH,55,61.125,musicxml-no-match
LH,50,61.25,musicxml-no-match
RH,69,64.0,score-midi-no-match
RH,73,64.0,score-midi-no-match
LH,57,64.125,score-midi-no-match
RH,61,64.125,score-midi-no-match
