hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,62,2.250000,P1,2,62,1.000000
RH,64,3.375000,P1,2,64,1.500000
RH,65,4.750000,P1,2,65,2.000000
RH,67,6.750000,P1,2,67,2.750000
RH,65,7.000000,P1,2,65,2.875000
RH,64,7.333333,P1,2,64,3.000000
RH,69,8.625000,P1,2,69,3.500000
RH,62,9.875000,P1,2,62,4.000000
RH,67,11.125000,P1,2,67,4.500000
RH,69,13.333333,P1,2,69,5.250000
RH,67,13.875000,P1,2,67,5.500000
RH,65,14.375000,P1,2,65,5.750000
RH,64,15.000000,P1,2,64,6.000000
RH,65,15.500000,P1,2,65,6.250000
RH,64,16.125000,P1,2,64,6.500000
RH,67,16.125000,P1,1,67,6.500000
RH,62,16.750000,P1,2,62,6.750000
RH,69,17.250000,P1,1,69,7.000000
RH,60,17.333333,P1,2,60,7.000000
RH,62,17.875000,P1,2,62,7.250000
RH,60,18.375000,P1,2,60,7.500000
RH,71,18.375000,P1,1,71,7.500000
LH,59,19.000000,P1,2,59,7.750000
RH,72,19.625000,P1,1,72,8.000000
LH,57,19.666667,P1,2,57,8.000000
RH,66,20.875000,P1,2,66,8.500000
RH,74,21.500000,P1,1,74,8.750000
RH,72,21.750000,P1,1,72,8.875000
RH,67,22.125000,P1,2,67,9.000000
RH,71,22.125000,P1,1,71,9.000000
RH,76,23.250000,P1,1,76,9.500000
RH,69,24.500000,P1,1,69,10.000000
RH,66,25.750000,P1,2,66,10.500000
RH,74,25.750000,P1,1,74,10.500000
RH,64,26.375000,P1,2,64,10.750000
RH,66,27.000000,P1,2,66,11.000000
RH,76,27.625000,P1,1,76,11.250000
RH,62,28.250000,P1,2,62,11.500000
RH,74,28.250000,P1,1,74,11.500000
RH,72,28.750000,P1,1,72,11.750000
RH,67,29.375000,P1,2,67,12.000000
RH,71,29.375000,P1,1,71,12.000000
RH,67,30.000000,P1,1,67,12.250000
LH,55,30.666667,P1,7,55,12.500000
RH,69,30.666667,P1,1,69,12.500000
RH,65,30.750000,P1,2,65,12.500000
RH,71,31.250000,P1,1,71,12.750000
LH,57,31.875000,P1,7,57,13.000000
RH,72,31.875000,P1,1,72,13.000000
RH,64,32.000000,P1,2,64,13.000000
RH,71,32.500000,P1,1,71,13.250000
LH,59,33.125000,P1,7,59,13.500000
RH,62,33.125000,P1,2,62,13.500000
RH,72,33.125000,P1,1,72,13.500000
RH,74,33.666667,P1,1,74,13.750000
RH,76,34.333333,P1,1,76,14.000000
RH,74,34.875000,P1,1,74,14.250000
RH,76,35.500000,P1,1,76,14.500000
RH,62,36.000000,P1,7,62,14.750000
RH,78,36.000000,P1,1,78,14.750000
RH,60,36.333333,P1,7,60,14.875000
LH,59,36.625000,P1,7,59,15.000000
RH,79,36.625000,P1,1,79,15.000000
RH,64,37.875000,P1,7,64,15.500000
RH,67,37.875000,P1,2,67,15.500000
RH,71,37.875000,P1,1,71,15.500000
LH,57,39.125000,P1,5,57,16.000000
RH,72,39.125000,P1,1,72,16.000000
RH,62,40.375000,P1,5,62,16.500000
RH,65,40.375000,P1,2,65,16.500000
RH,69,40.375000,P1,1,69,16.500000
RH,64,41.000000,P1,2,64,16.750000
RH,65,41.625000,P1,2,65,17.000000
RH,74,41.625000,P1,1,74,17.000000
RH,64,42.250000,P1,5,64,17.250000
RH,72,42.250000,P1,1,72,17.250000
RH,71,42.750000,P1,1,71,17.500000
RH,62,42.875000,P1,5,62,17.500000
RH,60,43.375000,P1,5,60,17.750000
RH,69,43.375000,P1,1,69,17.750000
LH,59,44.000000,P1,5,59,18.000000
